"Day","Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe"
50,"2018-04-20","Bestiary","Essence",14.72773,1.69386,14.32955,2,9.66955,5.78068,6.97909,12.25,4,3.975,3.86477,4,11,2.99818,10,1.26023,3.56523,5.68818,6.98,10.15318,13.50523,139.54591,12.51795,33.73295,0.42705,0.46705,0.42205,0.41273,0.415,0.47273,0.44886,0.4175,5.20341,2.30045,0.47273,1.00773,0.45409,0.47273,0.47273,0.47273,0.99864,0.46932,0.47182,0.47273,0.47273,0.98705,0.47068,0.47273,0.46614,0.47273,0.45886,0.47273,0.99523,6.91568,0.99023,5,0.77955,2,1.98386,2.81295,4.52909,1.90614,1,1.99295,2.30341,3,1,3.68205,0.94545,1.32455,1.80545,2.84136,4,0.47273,0.47273,0.46114,0.46545,0.45409,0.46977,0.43841,0.47182,0.43432,0.47227,0.46818,0.45932,0.44909,0.4725,0.43182,0.46864,0.47273,0.4675,0.41705,0.46091,0.45705,0.46659,0.43136,0.45659,0.4325,0.42568,0.455,0.46955,0.46477,0.45614,0.46705,0.4725
51,"2018-04-21","Bestiary","Essence",14.93386,1.00045,14.82341,2,10.00955,5.48523,6.98364,12.97364,4,4.72818,3.94295,4.02432,11,2.57341,9.99182,1.62205,3.97364,5.71045,6.9925,10.81409,13.02114,144.99682,11.89705,31.33227,0.43,0.47409,0.45909,0.4575,0.43795,0.47477,0.47568,0.39045,5.00886,1.80795,0.47568,1.15205,0.475,0.47568,0.47545,0.59568,0.99045,0.47568,0.47568,0.47568,0.47568,1,0.47568,0.47477,0.475,0.47568,0.47568,0.47568,0.91864,6.57818,0.99205,5.03955,0.91227,2,2,2.72295,4.07386,1.86455,1,2,2.01614,2.99341,1,3.205,0.92545,1.95205,1.87977,2.99114,4,0.47182,0.46705,0.47568,0.47568,0.47568,0.47568,0.46568,0.47568,0.41705,0.46932,0.47568,0.47182,0.43273,0.47568,0.475,0.42091,0.4675,0.47364,0.37295,0.43568,0.47364,0.47205,0.47,0.43886,0.47432,0.47386,0.47386,0.46864,0.47568,0.47568,0.47568,0.47114
52,"2018-04-22","Bestiary","Essence",14.73977,1.10432,14.45864,2,10,5.33432,7,13.30432,4,4.50773,4,4.21818,11,2,10,1.57182,3.97295,5.48864,6.91682,10.84682,13.24659,155.68864,12.05886,30.45386,0.46318,0.44136,0.42159,0.42318,0.41295,0.45568,0.44909,0.38682,5.29182,1.65386,0.47545,0.99841,0.47,0.47545,0.47545,0.47659,0.94795,0.47545,0.47545,0.47545,0.46727,1,0.47545,0.47545,0.47545,0.47182,0.46932,0.47545,0.49159,6.28136,0.99773,5.16886,0.95773,2.53273,1.80591,2.22364,3.92068,1.57068,1,1.90295,2,3,1,3.435,0.64477,1.87091,1.775,3,3.84295,0.47636,0.46795,0.465,0.47545,0.47341,0.44682,0.45409,0.46523,0.44523,0.46386,0.45341,0.46659,0.47545,0.47545,0.43591,0.46091,0.41341,0.45409,0.46477,0.42818,0.46477,0.39364,0.40159,0.43295,0.43909,0.46795,0.42295,0.28795,0.43273,0.44591,0.41364,0.41273
53,"2018-04-23","Bestiary","Essence",14.99667,1.16356,14.87467,1.82467,9.71711,5.31133,6.98756,13.56533,4,4.83067,4,4.68667,11,2.40333,9.37133,1.076,3.89156,5.60178,6.98244,11.53556,12.05689,146.84578,11.88844,30.11111,0.45467,0.42133,0.38756,0.39578,0.374,0.43044,0.432,0.37756,5.08111,1.76733,0.47,0.99956,0.46978,0.47,0.47,0.56556,0.99511,0.47,0.47,0.47,0.468,0.97333,0.46467,0.47,0.47,0.46933,0.46867,0.47,0.56889,6.14622,1,5.21956,0.95778,2.78311,1.99822,2.036,4.798,1.98778,1,2,2,3,1,3.47267,0.554,1.24044,1.60244,2.99378,3.962,0.46978,0.47,0.47,0.47,0.45711,0.45733,0.44733,0.46067,0.468,0.46644,0.40467,0.46089,0.47,0.47,0.44778,0.47,0.396,0.45489,0.47,0.45289,0.44644,0.44311,0.42311,0.43956,0.38711,0.44711,0.44333,0.43378,0.42378,0.44289,0.25244,0.434
54,"2018-04-24","Bestiary","Essence",14.562,1.77022,15,1.91978,9.28,5.50178,5.864,12.95467,4,4.38622,4,4.15578,11,2.54778,9.25,1.59111,3.96622,5,6.86267,12,12.49889,155.454,11.61222,29.82422,0.43289,0.45756,0.41889,0.40311,0.38667,0.41756,0.446,0.384,5.28156,1.74978,0.47,1.19622,0.47,0.47,0.47,0.9,1.02244,0.47,0.47,0.47,0.47,0.80311,0.46978,0.47,0.47,0.47,0.47,0.47,0.99822,6.00822,1,4.94422,0.93889,2.61289,2,2.53911,4.74244,2,1.55556,2,2,3,1,3.43289,0.53667,1.59311,2,2.98733,4,0.47,0.47,0.47,0.46756,0.46867,0.47,0.45444,0.452,0.47,0.45333,0.45689,0.47,0.47,0.46,0.46822,0.47,0.46956,0.45822,0.44467,0.46733,0.47,0.46756,0.45689,0.46644,0.46356,0.42889,0.46889,0.45667,0.44067,0.45489,0.38489,0.44333
55,"2018-04-25","Bestiary","Essence",15,1.32911,14.63133,2,9.97711,5.48933,5.31089,13,3.98489,4.00556,4,4,11,2,9.99156,1.34667,3.86911,5,6.97378,12,12.54511,161.38044,14.26644,28.92622,0.43556,0.46489,0.45022,0.41467,0.41356,0.43844,0.45644,0.40933,5.10978,1.03444,0.46822,0.99111,0.47,0.45844,0.47,0.57022,1.02511,0.47089,0.47,0.47,0.47,0.95644,0.47,0.47,0.47,0.47,0.47,0.47,0.86244,6,1,5,0.95622,2.73133,2,2.83756,4.84244,1.51911,1.94511,1.97156,2,3,1,3.65333,0.92511,1.55156,2,3,4,0.47,0.47,0.47,0.46844,0.46244,0.47,0.45844,0.34756,0.47,0.43378,0.45689,0.47,0.47,0.38022,0.46578,0.47,0.46956,0.46289,0.44889,0.31889,0.47,0.46933,0.47,0.46444,0.46467,0.46711,0.46844,0.46956,0.44044,0.45267,0.45933,0.44822
56,"2018-04-26","Bestiary","Essence",14.83844,1.476,14.02822,2,10,5.89111,6,12.88667,4,4.12044,4,4.00378,11,2,10.288,1.49511,4,5,6.71644,11.46489,12.28178,164.66622,14.98489,29.29867,0.45689,0.47,0.46933,0.45378,0.46867,0.43867,0.47,0.43867,4.97822,1.91511,0.47,0.962,0.46667,0.46756,0.47,0.47,1.02044,0.47,0.47,0.47,0.47,0.84889,0.47,0.47,0.47,0.47,0.47,0.47,0.90578,6,0.99711,4.99178,0.98022,2,2,2.74778,4,1.40133,1.45889,1.86089,2,3,1,3.93022,0.95178,1.64422,2,3,4,0.46733,0.47,0.47,0.47,0.41778,0.47,0.44089,0.42244,0.47,0.47,0.47,0.46689,0.46978,0.422,0.47,0.47,0.46733,0.408,0.46822,0.44578,0.33244,0.46667,0.47,0.47,0.44422,0.46911,0.47,0.47,0.45911,0.47,0.46644,0.46289
57,"2018-04-27","Bestiary","Essence",13.85956,1.56356,14.64156,2,9.94711,6,6.20067,12.38556,4,4,3.99644,4.22289,10.98756,2,10.48444,1.31889,4.03111,5,6.69067,10.90911,12.62711,170.02133,14.21778,30.11689,0.45667,0.45156,0.47244,0.432,0.448,0.39356,0.46978,0.40533,5.22244,1.014,0.46733,0.94889,0.46178,0.47222,0.474,0.474,1,0.474,0.474,0.474,0.474,0.86867,0.474,0.474,0.474,0.474,0.474,0.474,0.92067,5.95067,0.96511,5,0.99356,2.05933,2,2.01644,3.92844,1.42844,1.44911,1.32178,2,3,1,3.98356,0.956,1.55956,1.96867,3,4,0.474,0.474,0.474,0.474,0.46644,0.452,0.46156,0.44578,0.474,0.474,0.474,0.46911,0.47178,0.46533,0.474,0.474,0.44933,0.45067,0.28267,0.474,0.452,0.474,0.474,0.45,0.458,0.43511,0.47089,0.46933,0.42733,0.456,0.44867,0.45867
58,"2018-04-28","Bestiary","Essence",14,1.00633,15,2,10,6,6.84082,13,4,4,4,5,11,2,11,2,4,5,7,11.08872,12.08051,169.03,15,31.0001,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,5,2,0.47,1,0.47,0.47,0.47,0.57,0.9801,0.47,0.47,0.47,0.47,1,0.47,0.47,0.47,0.47,0.47,0.47,1,6,1,4.21082,1,2,2,2,4,1.9702,1.5002,1,2,2.05,1,4,0.97,2,2,3,4,0.47,0.42,0.47,0.47,0.47,0.47,0.47,0.47,0.3801,0.47,0.47,0.4501,0.42,0.47,0.47,0.47,0.47,0.47,0.31,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.47,0.47,0.47
59,"2018-04-29","Bestiary","Essence",14.93,1,15.64092,1.5,10,5.19,6,13,4,4,4,5,11,2,9,2,4,5,7,10.71082,13,148.27694,15.4602,32.0001,0.45,0.47,0.47,0.47,0.47,0.47,0.47,0.47,5,1,0.47,1,0.47,0.47,0.47,0.8501,1,0.47,0.47,0.47,0.47,1,0.47,0.47,0.47,0.47,0.47,0.47,1,6,0.98,4,1,2,1.39,2,4,2,1.13,1,2,3,1,3.70041,0.9601,1.9201,2,3,4,0.47,0.29,0.47,0.4502,0.47,0.47,0.47,0.47,0.46,0.47,0.47,0.4,0.4301,0.4601,0.47,0.47,0.47,0.29,0.42,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.35,0.47,0.33,0.4501
60,"2018-04-30","Bestiary","Essence",14.63371,1,15,1.50082,10,6,6.28692,13,4,4,4,5,11,2,9,1.21041,5,5,7,10,12,153.99286,14.9402,36.57,0.47,0.48,0.47,0.48,0.48,0.47,0.48,0.47,5,1,0.48,1,0.48,0.47,0.48,0.48,1,0.48,0.48,0.48,0.48,0.94,0.48,0.48,0.48,0.48,0.48,0.48,1,5.20143,1,4,0.98,2.96,2,2,4,2,1.62,1,2,3,1,3,0.96,2,2,3,4,0.48,0.15,0.48,0.25571,0.48,0.48,0.48,0.47,0.48,0.48,0.47,0.47,0.4551,0.4551,0.48,0.48,0.4651,0.46,0.48,0.48,0.48,0.47,0.48,0.48,0.45,0.48,0.4751,0.48,0.44,0.48,0.48,0.2602
61,"2018-05-01","Bestiary","Essence",15,1.04531,14.18551,2,9.6402,5.35,6.6351,11.8602,4,4,4,5,11,2,10,1.69143,5,5,7,10.2198,12,151.77061,14.32,38,0.48,0.48,0.43,0.48,0.48,0.43,0.48,0.48,5,1.35,0.48,0.9851,0.47,0.48,0.48,0.48,1,0.48,0.48,0.48,0.48,0.9651,0.48,0.48,0.48,0.48,0.48,0.48,1,5,1,4.01531,1,3,2,2,4,1.7751,1.61,1,2,3,1,4,0.9502,2,2,3,4,0.48,0.47,0.48,0.46,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.4351,0.48,0.48,0.48,0.4751,0.4751,0.48,0.48,0.35
62,"2018-05-02","Bestiary","Essence",15,1,13,2,9.54184,6,6.67041,10.9802,4,4,4,4.82,11,2,10,1.88,4.67,5,7,10.93347,12.2702,150.6,15,38,0.47,0.47,0.47,0.47,0.47,0.43,0.47,0.41,5,1.17,0.47,1,0.47,0.47,0.47,0.48,1,0.47,0.47,0.47,0.47,0.95,0.47,0.47,0.47,0.47,0.47,0.47,0.96,5,1,4.23,1,3,2,2,4,1.7602,1,1,2,3,1,3.78,0.5,1,2,3,4,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.42
63,"2018-05-03","Bestiary","Essence",13.86,1,13.33092,2,9.1401,6,6.00031,10,4,4,4,4,11,2,10,1.5,4.03,5,7,10.26,13,151.31082,14.00051,38.60214,0.47,0.47,0.47,0.47,0.47,0.43,0.35,0.37,5,1,0.47,1,0.47,0.47,0.47,0.47,1,0.47,0.47,0.44031,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,5,0.9,4.00071,1,2,2,2,3,1.9301,1,1,2,3,1,3,0.47,1,2,3,3.96,0.47,0.47,0.45,0.47,0.4601,0.47,0.47,0.35,0.47,0.47,0.47,0.47,0.43,0.42,0.47,0.47,0.47,0.4401,0.47,0.37,0.4,0.4501,0.3601,0.47,0.44,0.47,0.47,0.41,0.4501,0.47,0.47,0.37
64,"2018-05-04","Bestiary","Essence",12,1,15,2,9.73,6,6,10,3,4,4,4,10,2,10,1,4,5,7,10,13.24,151.84122,14.1,40,0.41,0.44,0.4,0.44,0.42,0.4101,0.31,0.23,5,1,0.4,1,0.4001,0.44,0.4401,0.44,1,0.39,0.43,0.39,0.4401,0.44,0.4,0.43,0.41,0.4,0.45,0.42,0.45,5,0.9,4.35133,1,2,1,2,4,1.7402,1,1,1.3701,3,1,3,0.48,1,2,3,4,0.45,0.39,0.44,0.4,0.39,0.41,0.34,0.41,0.4,0.44,0.42,0.44,0.1901,0.39,0.34,0.45,0.42,0.4,0.4,0.1,0.1801,0.45,0.1,0.4101,0.4,0.41,0.4,0.11,0.41,0.45,0.4,0.12
65,"2018-05-05","Bestiary","Essence",10,1,13.24,1,8.99,6,5.77061,9,3,4,3,4,10,2,10,1,3,5,7,9.98,13.43,149.59316,10.63408,37.29,0.4,0.44,0.42,0.44,0.43,0.44,0.41,0.28,5,1,0.4,0.87,0.3701,0.44,0.44,0.44,1,0.41,0.41,0.44,0.44,0.44,0.4,0.44,0.41,0.35,0.39,0.4001,0.44,5,0.86,4,1,2,1.95,2,4,1.00306,1,1,2,3,1,2.98,0.44,1,1.8001,3,4,0.44,0.4,0.44,0.41,0.38,0.41,0.34,0.42,0.4,0.44,0.41,0.44,0.38,0.41,0.39,0.44,0.41,0.4102,0.42,0.1,0.41,0.44,0.33,0.44,0.4,0.41,0.4,0.4,0.41,0.44,0.44,0.35
66,"2018-05-06","Bestiary","Essence",10,1,13.22,1,8.89,5.82273,5.9,9,3,4,3,4,10,2,10,1,3,4.99,7,10,12,132.01286,10.31031,28.85122,0.4,0.405,0.41,0.44,0.4,0.11,0.39,0.39,4,1,0.41,0.91,0.3301,0.41,0.44,0.44,1,0.44,0.42,0.44,0.44,0.44,0.4,0.44,0.38,0.3701,0.39,0.4,0.44,5,0.81,4,1,2,2,2,3.5,1,1,1,2,3,1,2.75,0.45,1,1,3,4,0.3801,0.3701,0.44,0.2,0.37,0.37,0.3001,0.37,0.37,0.3601,0.38,0.39,0.2401,0.31,0.37,0.4,0.4,0.19,0.4,0.1,0.3401,0.4101,0.38,0.42,0.17,0.4,0.41,0.41,0.4,0.27,0.34,0.4
67,"2018-05-07","Bestiary","Essence",10,1,13.27,1.02786,8,4.68,5,9,3,4,2.22,3.11,10,2,10,1,3,5,6.05,10,12,135.85184,12.19,25.39,0.37,0.39,0.42,0.42,0.36,0.11,0.36,0.38,4,1,0.41,0.4802,0.36,0.39,0.43,0.43,1,0.43,0.39,0.43,0.42,0.43,0.37,0.4,0.4,0.37,0.4,0.4,0.43,4.70306,0.86,4,1,2,1,2,3,1.06102,1,1,2,2.81,1,3,0.47,1,1,3,3.89071,0.38,0.37,0.39,0.25,0.2,0.36,0.37,0.37,0.36,0.3601,0.37,0.29,0.31,0.26,0.35,0.39,0.41,0.23,0.38,0.16,0.37,0.39,0.36,0.42,0.36,0.3701,0.36,0.41,0.39,0.31,0.35544,0.37
68,"2018-05-08","Bestiary","Essence",10,1,12,1,8,5,5,9,3,4,2.46,3.69649,9.45,2,10,1,3,5,6.05194,10,12,145,13.89625,25,0.11,0.09,0.3919,0.42,0.25829,0.1,0.22,0.25,4,1,0.42,0.43,0.3901,0.43,0.43,0.43,1,0.42,0.39,0.43,0.41,0.43,0.3801,0.41,0.42,0.37,0.36,0.43,0.43,4.08796,0.86,4,0.92,1.98,1,2,3,1.82,1,1,1.81,2,1,3,0.48,1,1,2.64,3.91,0.34,0.38,0.39,0.33,0.36,0.36,0.36,0.36,0.36,0.23,0.36,0.36,0.33,0.31,0.36,0.39,0.12,0.18,0.19041,0.28,0.24,0.24,0.36,0.11,0.15,0.21,0.25,0.37,0.27,0.09,0.16,0.33
69,"2018-05-09","Bestiary","Essence",10,1,11.76,1,8.31,5.66639,5,9,3,4,2.45733,4,10,2,10,1,3,5,6.49,10.33,12.68,141.88367,14,27.79,0.29,0.08,0.36,0.38,0.29,0.1,0.23,0.3,5,1,0.41,0.4101,0.4,0.38,0.41,0.37,0.90102,0.41,0.38,0.41,0.38,0.41,0.3901,0.41,0.4,0.37,0.36,0.41,0.41,5,0.88,4,0.82,1.98,1,2,3,2,1,1,1.69,2,1,3,0.49,1,1,1.978,4,0.36,0.36,0.4,0.33,0.34,0.3601,0.36,0.34,0.36,0.34,0.36,0.36,0.3401,0.34,0.35,0.41,0.37,0.15,0.32,0.34,0.21,0.12,0.36,0.19,0.2,0.29,0.25,0.38,0.16,0.09,0.14,0.34
70,"2018-05-10","Bestiary","Essence",10,1,11,1,8,5.67,5,9,3,4,2.61,3.37769,10,2,10,1,3,5,6.56,10.49,13.83122,147.23184,14,27.1852,0.30462,0.08,0.35,0.38,0.31,0.1,0.36,0.31,4.9402,1,0.38,0.54051,0.4,0.37,0.4,0.38,0.8202,0.4,0.34,0.3901,0.38,0.4,0.38,0.4,0.34,0.34,0.34,0.4,0.4,4.56,0.98,4,0.77304,1,1,2,3.9075,2,1,1,1.78,2,1,2.83,0.54,1,1,1.98,3.74,0.37,0.34,0.34,0.33,0.33,0.35,0.34,0.34,0.37,0.30085,0.34,0.34,0.33,0.34,0.34,0.4,0.36,0.24,0.33,0.34,0.28,0.24,0.33,0.35,0.2401,0.33,0.2301,0.38,0.2,0.09,0.19613,0.3
71,"2018-05-11","Bestiary","Essence",10,1,11.05,1,8,5,5,9,3,4,2.38,3,9,2,8.12,1,3,5,6.61,11.36,14.38667,150,14,25,0.34,0.21,0.38,0.38104,0.32,0.29,0.35,0.32,4,1,0.35,0.39,0.39,0.37,0.39,0.39,0.9351,0.39,0.37,0.38,0.39,0.39,0.39,0.39,0.32,0.39,0.3251,0.38,0.39,4,1,4,0.8,1,1,2,3.79,2,1.46,1,2,1.91717,1,3,0.8525,1,1,2,3.03,0.39,0.38,0.32,0.32,0.32,0.38,0.32,0.3,0.39,0.31,0.32,0.37,0.32,0.32,0.32,0.39,0.37,0.32,0.27,0.3478,0.33,0.23,0.27,0.31071,0.23,0.32,0.28,0.34,0.21,0.15,0.32,0.32
72,"2018-05-12","Bestiary","Essence",10,1,11,1,7.21,5,5,9.69,3,4,2.6,3,9.48,2,8,1,3,5,7,11.41,15,158.88,20,35.02633,0.38,0.36571,0.35,0.38,0.37371,0.29032,0.37,0.32,4,1.82092,0.34,0.38,0.32,0.38,0.38,0.38,1,0.38,0.33122,0.38,0.33,0.38,0.38,0.38,0.32,0.37,0.38,0.3501,0.38,4.24552,1,3.8355,1,1,1,1.35,4,1.78297,2,1,1.54,2,1,2,0.68,1,1.21625,2,3.01,0.38,0.37,0.37,0.32,0.32,0.38,0.32,0.32,0.34431,0.32,0.33,0.33,0.32,0.28,0.30077,0.38,0.38,0.32569,0.35,0.37,0.31977,0.24,0.3,0.32,0.27134,0.32,0.32,0.38,0.30125,0.15431,0.34352,0.32
73,"2018-05-13","Bestiary","Essence",10,1,13,1,7.81167,5,5,10.2,3,4,2.63,3.11,10,2,8.18,1,3,5,7.25625,10.7,15.65306,195.15735,21.18628,32.74,0.39,0.39,0.39,0.32,0.39,0.33,0.39,0.33767,5,1.9951,0.37,0.46061,0.3851,0.39,0.39,0.39,0.88041,0.39,0.39,0.39,0.3851,0.68082,0.39,0.39,0.3551,0.39,0.39,0.39,0.39,4.47,1,4.34,1,1,1,2,4,2,2,1,2,1.37,1,2.59,1,1,2,2.84667,3.15,0.39,0.33,0.37,0.32,0.31,0.39,0.37239,0.37649,0.36,0.36,0.36,0.33385,0.32,0.27,0.32,0.39,0.39,0.39,0.25538,0.39,0.35,0.18,0.31,0.13,0.39,0.33,0.33,0.39,0.39,0.18,0.39,0.32
74,"2018-05-14","Bestiary","Essence",10,1,11.72,1,8.2,5.09,5.43867,10.38,3,4,3.28,3.97059,10,2,10.07,1,3,4.87949,8,9.83,16.08898,170,30,35,0.39,0.37,0.31,0.31,0.39,0.39,0.39,0.35,4.5151,0.98,0.39,0.88531,0.39,0.39,0.56082,0.4,0.9351,0.41,0.39,0.39,0.37,1,0.39,0.39,0.39,0.39,0.39,0.39,0.39,5,1,4.75058,1,1,1,2,4,2,2,1,2,1.65,1,2.67556,1,1,2,2.92,3,0.39,0.35,0.39,0.34,0.3,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.31,0.29,0.32,0.39,0.39,0.39,0.34,0.39,0.3625,0.19,0.31,0.23521,0.39,0.32,0.31,0.39,0.39,0.19,0.33,0.31
75,"2018-05-15","Bestiary","Essence",11.45,1,11.52,1,8.32,5,5,10.72,3,4.61,3.66,3.57,10,2,10.115,1,3.05,4.04,7.075,10.9,16,180,45.79,35.99245,0.39,0.39,0.31,0.34,0.39,0.27321,0.39,0.37,5,0.43,0.39,0.98,0.39,0.39,0.9051,0.93,1,0.78,0.39,0.39,0.39,1,0.39,0.39,0.39,0.39,0.39,0.41,0.39,4.04,1,4.89,1,1.25,2,2,2,2,2,1,2,2,1,2.83,1,1,2,3,3.84,0.39,0.39,0.39,0.35714,0.31,0.39,0.32,0.37,0.36,0.36989,0.35,0.32,0.38,0.26,0.31,0.39,0.39,0.39,0.34,0.39,0.38,0.24837,0.25433,0.39,0.39,0.36112,0.15435,0.39,0.38,0.28,0.35404,0.31
76,"2018-05-16","Bestiary","Essence",11.27,1,11,1,8.61,5.05,5.96,9.41,3,4.78,3.59833,3.94,10,2,10.03,1,4,4,7.89,10,27.44551,160,40,34.10235,0.4,0.4,0.31,0.36,0.39,0.33,0.4,0.4,5,1,0.4,1,0.4,0.4,0.42,0.68,1,0.8,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5,1,5,1,3,2,2,4,2,2,1,2.19,1.61,1,2.83,1,1,2,3,4,0.4,0.4,0.4,0.39,0.31,0.4,0.38,0.4,0.38,0.33,0.38397,0.32,0.4,0.22,0.31,0.4,0.4,0.37,0.33,0.4,0.4,0.33183,0.31,0.37,0.4,0.39,0.17,0.4,0.4,0.28,0.37,0.31
77,"2018-05-17","Bestiary","Essence",17.14,1.318,17,1,8.46565,5.01,5.81,11,3,4.78031,3.33,3.94,10.52,2,10.42,1,3.94,4.2253,7.45105,10.81,30,150,45,40,0.42,0.42,0.31,0.38,0.4,0.23,0.41,0.42,5,1,0.42,1,0.42,0.42,0.42,0.43,1,0.86051,0.42,0.42,0.42,0.42,0.42,0.42,0.37,0.42,0.42,0.42,0.4201,5,1,5,1,3,2,2,4,2,2,1,2.892,2.3,1,2.95,0.97,1.27,2,3,3.995,0.42,0.42,0.42,0.41,0.3,0.42,0.33,0.42,0.37122,0.31,0.42,0.32211,0.42,0.25263,0.31,0.42,0.42,0.35,0.35,0.42,0.42,0.36,0.25,0.41,0.41,0.36,0.27,0.38,0.38,0.2,0.4,0.31
78,"2018-05-18","Bestiary","Essence",15.17,1.7,17,1,8.91,5.94,6,10.96,3.76,5.45,3.99,3.94,10,2.59,11,1,3.76,4.6,6.41,10.71,28.23,146.86735,42.95306,40,0.43,0.37554,0.33,0.34,0.41,0.2292,0.41,0.43,5,1,0.42,1,0.43,0.43,0.43,0.43,1,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.88,4.99,1,4.23,1,3,2,2,4,2,2,1,2,3,1,3,0.91526,1.54,2,3,4,0.43,0.37,0.4,0.43,0.39,0.43,0.35,0.43,0.33,0.33,0.43,0.32,0.41,0.25,0.32,0.43,0.4,0.32,0.33,0.43,0.43,0.31,0.27,0.43,0.43,0.33,0.3231,0.32,0.31,0.24,0.32,0.25
