"Day","Date","League","Type","Apprentice.Cartographer.s.Sextant","Armourer.s.Scrap","Blacksmith.s.Whetstone","Blessed.Orb","Blessing.of.Chayula","Blessing.of.Esh","Blessing.of.Tul","Blessing.of.Uul.Netol","Blessing.of.Xoph","Cartographer.s.Chisel","Chromatic.Orb","Divine.Orb","Exalted.Orb","Gemcutter.s.Prism","Glassblower.s.Bauble","Jeweller.s.Orb","Journeyman.Cartographer.s.Sextant","Master.Cartographer.s.Sextant","Mirror.of.Kalandra","Offering.to.the.Goddess","Orb.of.Alchemy","Orb.of.Alteration","Orb.of.Annulment","Orb.of.Augmentation","Orb.of.Chance","Orb.of.Fusing","Orb.of.Regret","Orb.of.Scouring","Orb.of.Transmutation","Portal.Scroll","Regal.Orb","Scroll.of.Wisdom","Silver.Coin","Vaal.Orb","Ancient.Orb","Annulment.Shard","Engineer.s.Orb","Exalted.Shard","Harbinger.s.Orb","Mirror.Shard","Orb.of.Binding","Orb.of.Horizons","Perandus.Coin","Stacked.Deck","Timeless.Karui.Emblem","Timeworn.Reliquary.Key","Apprentice.Cartographer.s.Seal","Journeyman.Cartographer.s.Seal","Master.Cartographer.s.Seal","Ancient.Reliquary.Key","Eternal.Orb","Abrasive.Catalyst","Awakened.Sextant","Awakener.s.Orb","Crusader.s.Exalted.Orb","Fertile.Catalyst","Hunter.s.Exalted.Orb","Imbued.Catalyst","Intrinsic.Catalyst","Prime.Sextant","Prismatic.Catalyst","Redeemer.s.Exalted.Orb","Simple.Sextant","Tempering.Catalyst","Turbulent.Catalyst","Warlord.s.Exalted.Orb"
35,"2019-01-10","Betrayal HC","Currency",1,0.03572,0.04545,0.23077,145,10,3,6,2,0.3125,0.10319,12,70.34128,1.2433,0.36364,0.12747,1.5,2,6853.52532,3.845,0.28571,0.13043,24.56874,0.04194,0.07636,0.5,0.42857,0.31111,0.03327,0.03988,0.91531,0.00942,0.18182,0.5,8.90347,1.19898,0.68,3,6,262.42424,0.5,1,0.01913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2019-01-11","Betrayal HC","Currency",0.91853,0.03565,0.04506,0.23077,153.83061,10,3,6,2,0.30769,0.10665,12,78.88926,1.25,0.37807,0.13158,1.5,2,7874.82919,4,0.28571,0.13333,25,0.0419,0.07634,0.52632,0.41746,0.3125,0.03332,0.04,0.93547,0.01134,0.18182,0.52632,8.5,1.5,0.48754,3.28776,6,250,0.49847,1,0.01896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2019-01-12","Betrayal HC","Currency",0.9,0.03547,0.04487,0.21522,150,10,3,6,2,0.30303,0.11114,12.69444,80,1.25,0.36364,0.13333,1.5,1.9684,9773.6,4,0.28571,0.13483,25,0.0393,0.07634,0.52632,0.41667,0.3125,0.03331,0.04105,0.94109,0.01169,0.18182,0.55556,8,1.20455,0.33333,3,6,328.72,0.4,1,0.01895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2019-01-13","Betrayal HC","Currency",0.9,0.03571,0.04301,0.21429,150,10,3,5,2,0.3,0.12195,13,80,1.25636,0.36364,0.13333,1.5,1.95117,9773.6,4,0.28571,0.13872,25.90156,0.04072,0.07634,0.55556,0.41667,0.3125,0.03274,0.04,0.94157,0.01081,0.18182,0.55556,8,1.657,0.33333,4,6,400,0.38637,0.91909,0.01837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2019-01-14","Betrayal HC","Currency",0.9,0.03459,0.04151,0.22506,140.40042,10,3.88081,5,2,0.29412,0.125,14,79,1.26479,0.36364,0.14085,1.5,2,10270,4.6193,0.28571,0.14286,27.64514,0.04001,0.07692,0.58536,0.41667,0.31765,0.03333,0.03578,0.92626,0.01155,0.18322,0.55556,7.84643,2,0.33333,4,6,395,0.3308,0.95015,0.01834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2019-01-15","Betrayal HC","Currency",0.87092,0.03563,0.04,0.23289,139.93646,10,4,5,2,0.29412,0.1277,14,79,1.2919,0.36364,0.14286,1.7119,2,10436.86735,5,0.27778,0.14286,30.42984,0.04328,0.07692,0.58824,0.4,0.32258,0.03333,0.03333,0.90909,0.01231,0.1884,0.55556,8,2,0.33333,4,6,395,0.37634,1,0.01844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2019-01-16","Betrayal HC","Currency",0.9,0.03443,0.04,0.2343,139.029,10,4,5,2,0.29412,0.125,14,79,1.25,0.36209,0.14286,1.74229,2,11549.8,5,0.27778,0.14943,32,0.04989,0.07692,0.58979,0.40237,0.33248,0.03333,0.03333,0.90909,0.01247,0.18792,0.55556,8,2.109,0.33333,4,6,363.22303,0.48774,1,0.01818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2019-01-17","Betrayal HC","Currency",0.89522,0.03457,0.03878,0.23518,140,10,4,5,2,0.29412,0.12742,15,80,1.25,0.36364,0.15431,1.70699,2,11268,5,0.27027,0.14965,32,0.04656,0.07692,0.61937,0.41667,0.3228,0.03333,0.03333,0.90909,0.01241,0.1965,0.55556,8,2.21919,0.33333,4,6,364,0.5,1,0.01818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2019-01-18","Betrayal HC","Currency",0.88831,0.03468,0.03999,0.23339,139.8883,10.45876,4,5,2,0.29412,0.12308,15,80,1.27688,0.35535,0.15252,1.5,1.81293,9359.18367,5,0.26316,0.14928,32.52648,0.04305,0.07692,0.62361,0.41667,0.33333,0.03125,0.03333,0.91034,0.01216,0.2,0.57094,8,2,0.33333,3.96,7,360,0.5,1,0.01835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2019-01-19","Betrayal HC","Currency",0.9,0.03416,0.04013,0.23287,136.07808,12.605,4,5,1,0.29412,0.12244,15,80,1.29507,0.33333,0.15385,1.5,1.70952,9301.81818,5,0.25,0.14286,33,0.04273,0.07692,0.60976,0.40609,0.33333,0.03241,0.03333,0.98382,0.01219,0.198,0.56506,8,1.69697,0.33333,3.96875,6,360,0.5,0.99515,0.01816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2019-01-20","Betrayal HC","Currency",0.9,0.03271,0.03904,0.22568,138.4024,12.97629,4,5,1.09343,0.29412,0.11765,15,81.22203,1.29717,0.33333,0.14949,1.5,1.8,9459.45012,5,0.2439,0.14286,32,0.04706,0.07692,0.61728,0.41667,0.33333,0.03237,0.03333,0.95206,0.01201,0.2,0.58272,8,1.33047,0.33333,3.832,5.48103,368.97335,0.5,0.96138,0.01834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2019-01-21","Betrayal HC","Currency",0.88661,0.03319,0.03846,0.23077,141.0105,14.81818,4,5.21414,1.05108,0.29412,0.11494,15,86,1.25214,0.33333,0.14723,1.4615,2,10260.144,5,0.2381,0.13888,32.71727,0.04811,0.07692,0.6006,0.41667,0.33333,0.03322,0.0298,0.95317,0.01198,0.2,0.60254,9,1.74198,0.48633,4,5.18402,391.687,0.5,0.90219,0.01921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2019-01-22","Betrayal HC","Currency",0.8908,0.03541,0.03846,0.21725,140,13.84582,4,5,1,0.28659,0.10776,14,86.31053,1.3,0.3252,0.14493,1.5,2,10334.07012,4.06761,0.23256,0.13726,32,0.04872,0.07692,0.60242,0.41667,0.33333,0.03314,0.02976,0.9789,0.01185,0.2,0.66364,8.789,2.828,0.53333,4,5,392.37808,0.5,0.8,0.02941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2019-01-23","Betrayal HC","Currency",0.9,0.03322,0.03846,0.2,135,12,4,5,1,0.29412,0.10826,14,89,1.3,0.32243,0.14904,1.44658,2,10607.70113,4.00029,0.22727,0.13514,32,0.04762,0.07692,0.59939,0.4406,0.33333,0.03704,0.02835,0.97889,0.00986,0.2,0.65776,8.60102,1.41237,0.33333,4,5.55923,399.98963,0.5,0.8,0.01976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2019-01-24","Betrayal HC","Currency",0.9,0.03329,0.03846,0.2,130,13.16138,4,5,1,0.29412,0.1073,14,90,1.30324,0.30373,0.15152,1.41224,2,10734.64875,4,0.22222,0.13448,31,0.05063,0.07692,0.59401,0.45475,0.3713,0.03734,0.03981,0.99172,0.01091,0.2,0.66667,7.6404,2.217,0.33333,4,6,450,0.50842,0.95908,0.01818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"2019-01-25","Betrayal HC","Currency",0.9,0.03333,0.03836,0.2,125.20313,13.242,4,5,1.00805,0.29412,0.10526,14,90.05172,1.3,0.28571,0.14625,1.4,2,10734.07456,4,0.21739,0.12987,31,0.05,0.07692,0.58824,0.44444,0.38462,0.03831,0.03595,1,0.00992,0.2,0.66667,7,2.19899,0.33333,4,6,450.25862,0.5,0.90665,0.02322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"2019-01-26","Betrayal HC","Currency",0.9,0.03333,0.03848,0.2,125,13.27475,3.619,5.30745,1,0.28571,0.0969,14,91.41901,1.33333,0.28571,0.14706,1.29507,2,10946.37018,4,0.20408,0.12195,30.63719,0.05242,0.07795,0.58824,0.43141,0.38462,0.03796,0.03198,0.99674,0.00934,0.2,0.66667,7,2.0995,0.33333,4,6,451.2381,0.5,0.98496,0.02356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2019-01-27","Betrayal HC","Currency",0.8,0.03333,0.03965,0.2,125,12.605,3.29445,5.54783,1.03089,0.28019,0.08815,14,94.02735,1.31506,0.28088,0.14706,1.33333,2,0,4,0.19402,0.12227,30.16913,0.04916,0.08622,0.59866,0.43478,0.38462,0.03845,0.03684,1,0.00957,0.2,0.66667,7,1.69697,0.37466,4,5.96123,0,0.5,0.99105,0.02353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2019-01-28","Betrayal HC","Currency",0.80685,0.03333,0.03918,0.1975,125,11.03061,3,5.42111,1.06658,0.27778,0.08637,14,99.34313,1.33333,0.27264,0.14706,1.33333,2,0,4,0.18519,0.11723,31,0.05028,0.0907,0.6,0.44934,0.39514,0.03846,0.025,1,0.00903,0.19573,0.66667,7,1.69697,0.388,4,5.46774,993.8833,0.5,1,0.02393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"2019-01-29","Betrayal HC","Currency",0.88708,0.03325,0.03909,0.19608,126.1775,11.80625,3.32371,5.02,1,0.27778,0.08291,14,100.04898,1.33333,0.28571,0.14706,1.33333,2,0,4,0.17857,0.11554,31,0.05291,0.07783,0.6,0.5,0.41667,0.03846,0.02628,1,0.00898,0.18182,0.71429,7.27989,1.7,0.33333,4,6,801.61967,0.5,1,0.02385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"2019-01-30","Betrayal HC","Currency",0.881,0.03308,0.03846,0.19608,128.46,14,3.344,5.18265,1.724,0.27027,0.08094,14.89322,99.70929,1.3,0.28953,0.14706,1.33333,2,0,4,0.17544,0.11494,31.58833,0.05202,0.09091,0.6067,0.5,0.41667,0.03704,0.02693,1,0.00866,0.17549,0.72548,7.48125,1.7,0.43916,4,5,797.7,0.5,1,0.02381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2019-01-31","Betrayal HC","Currency",0.875,0.03258,0.03835,0.19608,127.525,14.742,3.23,5.189,1.13636,0.24383,0.07776,15,99,1.3,0.27081,0.14578,1.33333,2,0,4,0.17241,0.11494,31.4587,0.04281,0.09091,0.625,0.5,0.42766,0.03698,0.0263,1.30477,0.00851,0.1716,0.70461,7.8314,2.1,0.42432,4,5,792,0.5,1,0.01961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2019-02-01","Betrayal HC","Currency",0.83315,0.03325,0.03832,0.1991,127.60101,15.55912,3.369,5,2,0.2381,0.08,15,98,1.33333,0.25303,0.14679,1.34316,2,0,4,0.16575,0.11323,32,0.04008,0.09091,0.625,0.5,0.41667,0.03704,0.03078,1.40247,0.00833,0.18318,0.71429,10,2,0.46215,4,5,784,0.5,1,0.01961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2019-02-02","Betrayal HC","Currency",0.9,0.03332,0.03333,0.20915,134.06616,17.11856,3.31,5,2,0.2381,0.08087,15.61527,92.02141,1.33333,0.25,0.14993,1.4,1.97003,28039.36184,4,0.16667,0.12455,32,0.04678,0.09297,0.66661,0.5,0.42672,0.03704,0.03181,1.5605,0.00833,0.2,0.8,10.82493,2,0.5875,4.49947,5,736.59574,0.5,1,0.01988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2019-02-03","Betrayal HC","Currency",0.90577,0.03333,0.03333,0.21017,135.35825,19.90152,4,5,1.992,0.2381,0.08093,15.46939,86.23699,1.37757,0.2815,0.15152,1.31063,1.92261,10570.78652,4,0.18456,0.125,32.67682,0.0546,0.09911,0.66667,0.45593,0.43478,0.03704,0.0309,1.5,0.00833,0.2,0.98167,10,2,0.54838,4.92688,5,690.632,0.48215,1,0.02016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2019-02-04","Betrayal HC","Currency",0.88699,0.03333,0.03333,0.2108,135,19.166,4,5,2,0.2381,0.08187,17,85,1.37895,0.30153,0.15454,1.21045,2,11566.63031,4,0.17347,0.125,35,0.05527,0.09967,0.71429,0.45777,0.42426,0.03696,0.03009,1.44834,0.00833,0.2,1,10.462,2,0.54115,4,5,680,0.47166,1,0.02006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2019-02-05","Betrayal HC","Currency",0.9469,0.03324,0.03333,0.21296,135,14.97449,4,5,2,0.25801,0.08218,17.1275,82,1.45082,0.30065,0.15835,1.2576,2,11135.26869,4,0.18182,0.125,34.9533,0.05529,0.1,0.72727,0.49572,0.42548,0.03699,0.02849,1.4,0.00833,0.22222,0.93823,10,2.1,0.54115,4,4.48907,674.69495,0.46094,1,0.02098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2019-02-06","Betrayal HC","Currency",0.98973,0.03333,0.03333,0.1989,138.84375,17.59355,4,5,2,0.26033,0.08333,17.55493,81,1.61094,0.3041,0.16321,1.33333,2,10353.31187,4,0.18868,0.125,35,0.0542,0.09985,0.73406,0.49203,0.42868,0.03743,0.03036,1.4,0.00875,0.22222,0.99258,10.66667,2.1,0.61264,4,4,0,0.47222,1,0.02174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2019-02-07","Betrayal HC","Currency",0.98932,0.03333,0.03333,0.19789,143.95652,19.93548,3.87245,4.955,2,0.25346,0.08296,16.55968,81,1.55087,0.31926,0.16667,1.045,2,10943.1,4,0.18484,0.1249,35,0.05476,0.1,0.72278,0.47538,0.41931,0.03774,0.03091,1.3452,0.01195,0.22222,1,12.01507,2.1,0.62272,4,4,0,0.47194,1,0.02656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2019-02-08","Betrayal HC","Currency",0.99267,0.03333,0.03333,0.19775,142.76344,20.02632,3,4,2,0.25881,0.08333,17,83,1.62359,0.3173,0.17629,1.26191,2,11314.84796,4,0.18894,0.12346,34.98076,0.05423,0.09195,0.71429,0.48794,0.42857,0.03774,0.02973,1.36802,0.01451,0.23215,0.99185,9.10303,2,0.43617,4,4,0,0.47897,1,0.02647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2019-02-09","Betrayal HC","Currency",0.96446,0.03307,0.03333,0.20477,145.24785,19.54409,3,4.11083,2,0.26786,0.08333,17.96941,82,1.57921,0.30256,0.16667,1.332,2,11890,4,0.19231,0.125,35,0.04949,0.09835,0.71429,0.5,0.43438,0.03774,0.02963,1.3,0.01052,0.25,0.99491,10.18367,2.1,0.43027,3.90013,4,0,0.47897,1,0.01193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"2019-02-10","Betrayal HC","Currency",0.95179,0.03297,0.03333,0.21805,145.7337,19.62609,3.702,4,2,0.27778,0.08333,18,80.5433,1.60125,0.30138,0.16667,1.45455,2,11711.31771,4,0.19365,0.125,35,0.0393,0.1,0.71429,0.5,0.4524,0.03774,0.03333,1.31237,0.01205,0.25174,0.99787,11.44848,2.1,0.46147,3.4899,4,0,0.49911,1,0.01193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"2019-02-11","Betrayal HC","Currency",0.9238,0.03333,0.03333,0.22556,157.57742,25.84242,4,4,2.74949,0.2841,0.08405,19,77,1.78639,0.32301,0.16667,1.45043,2,11310,3.68907,0.21497,0.125,35,0.05242,0.10465,0.68835,0.54777,0.47619,0.03826,0.03333,1.31613,0.0107,0.24181,1,10.78448,2,0.46147,3.53646,3.65625,0,0.4896,0.98448,0.01192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"2019-02-12","Betrayal HC","Currency",0.91021,0.03333,0.03333,0.22665,157.487,26.06061,4,4,3,0.28571,0.08385,19,78,1.8,0.33333,0.16667,1.44804,2,0,4,0.21482,0.12321,35.54611,0.04979,0.10546,0.6734,0.5,0.47752,0.04164,0.03326,1.3737,0.00969,0.25,1,10,2,0.46147,3.619,4,0,0.4896,0.9972,0.01192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"2019-02-13","Betrayal HC","Currency",0.9,0.03333,0.03333,0.22502,154.16327,27,3.682,4,3,0.28571,0.08333,19.97753,78,1.69011,0.33333,0.174,1.42604,2,0,3.23,0.21708,0.12435,36,0.05556,0.11111,0.66667,0.5,0.49656,0.04818,0.03333,1.37021,0.00833,0.25,1,10,2,0.43378,3.722,4,0,0.43599,1,0.01704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"2019-02-14","Betrayal HC","Currency",0.86958,0.03333,0.03333,0.22727,152.375,27,3.599,4,3,0.28571,0.08333,20,78.31383,1.6,0.33333,0.17241,1.4444,1.9,0,3,0.22219,0.12484,35.212,0.05492,0.11111,0.66667,0.5,0.49838,0.03333,0.03333,1.3,0.00833,0.24987,1,10.629,1.64848,0.40716,3.722,4,0,0.41498,1,0.01713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"2019-02-15","Betrayal HC","Currency",0.82029,0.03333,0.03412,0.22821,150,27,3.609,4,3,0.28571,0.08333,20,79,1.54433,0.33333,0.17409,1.43375,1.8,0,3,0.22463,0.12704,35.60624,0.05465,0.11111,0.66667,0.48037,0.5,0.03333,0.03333,1.3,0.00833,0.2439,1,10,1.59949,0.6,3.834,4,0,0.33333,0.98662,0.01537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"2019-02-16","Betrayal HC","Currency",0.88638,0.03333,0.04486,0.22889,150,27,3.629,4,3,0.28571,0.08333,20,78.3,1.51682,0.33333,0.17235,1.46416,1.88753,0,3,0.22715,0.13122,35.64632,0.04982,0.11111,0.64092,0.45455,0.5,0.03608,0.02539,1.0179,0.00833,0.22222,1,9.67846,1.6035,0.6,3.4675,4,0,0.31678,1,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"2019-02-17","Betrayal HC","Currency",0.8878,0.03125,0.04554,0.22727,150,24.67879,3.732,4.73939,3,0.28571,0.08333,20,79,1.6,0.33333,0.16667,1.46941,1.87227,0,3,0.23224,0.13577,35,0.04909,0.11111,0.65135,0.45455,0.5,0.03973,0.02541,1,0.00833,0.227,0.90909,11.62041,1.5545,0.8286,3.74495,4,0,0.30583,1,0.01901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"2019-02-18","Betrayal HC","Currency",0.93884,0.02984,0.03665,0.23614,150,24.68571,3.732,4.85102,3,0.28571,0.08333,20,78,1.85006,0.33333,0.16667,1.45202,1.88274,0,3,0.24236,0.13809,33.70921,0.04728,0.11111,0.66432,0.45796,0.5,0.03036,0.025,1.03854,0.00833,0.22222,0.90567,15.70515,1.6096,0.515,3.64848,4,0,0.29522,1,0.01588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"2019-02-19","Betrayal HC","Currency",0.9,0.025,0.03613,0.2439,126.85,24.59082,4,4.85102,3,0.28571,0.09123,20,78,1.80258,0.33333,0.16667,1.4,1.91214,0,3,0.25,0.13976,33.97162,0.04145,0.11111,0.66667,0.47508,0.47789,0.03036,0.025,1.00104,0.00833,0.22892,0.90177,16.37576,1.6096,0.515,4,4,0,0.30135,1,0.01588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"2019-02-20","Betrayal HC","Currency",0.9,0.025,0.02786,0.25,137.67,24.59691,4,4.75714,3,0.28571,0.09288,20.44848,78,1.81925,0.33333,0.16393,1.4,1.75,0,3,0.25,0.13896,33.085,0.03333,0.11111,0.66667,0.47601,0.47619,0.025,0.025,1.00947,0.00833,0.20104,0.90909,15.85102,1.6096,0.515,4,4,0,0.28711,1,0.01604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"2019-02-21","Betrayal HC","Currency",0.9219,0.025,0.025,0.24795,131.98,24.62396,4,5,3,0.28571,0.09395,22,78,2,0.33333,0.16667,1.4352,1.76624,0,3,0.25,0.1412,33.16264,0.03333,0.11111,0.66667,0.47282,0.47757,0.02733,0.025,1.1854,0.00833,0.2,0.90909,15.85102,1.60051,0.515,4.21122,4,0,0.27426,1,0.01504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"2019-02-22","Betrayal HC","Currency",1,0.025,0.025,0.25,125.05,24.64105,4.21122,5,2.68571,0.28571,0.0946,22,79,2,0.33333,0.16667,1.46163,1.51088,0,3,0.25,0.14286,34.09899,0.03333,0.11554,0.65139,0.47772,0.47901,0.03096,0.025,1.35179,0.00833,0.2,0.90909,15.85102,2,0.66836,8,4,0,0.51655,1,0.01445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"2019-02-23","Betrayal HC","Currency",1,0.02438,0.025,0.25,124.24242,28.18182,4.79091,5,2.905,0.31365,0.08728,22,78.05448,2,0.3,0.15999,1.44611,1.90984,0,3,0.25,0.14258,33.5102,0.03333,0.11998,0.66667,0.45586,0.49108,0.03125,0.02661,1.47316,0.00833,0.19437,0.90909,11.93939,2,0.84,8,4,0,0.59794,1,0.01382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"2019-02-24","Betrayal HC","Currency",0.91454,0.025,0.02658,0.25,126.65625,28.485,12.3,6.3383,2.23125,0.33333,0.08678,21.40123,78.35714,2,0.31997,0.16393,1.35483,1.73529,0,3,0.25,0.14286,33,0.03333,0.11957,0.74196,0.52545,0.49125,0.02987,0.02685,1.43,0.00833,0.1939,1,9.5202,1.59949,0.84,8,4,0,0.7,1,0.01317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"2019-02-25","Betrayal HC","Currency",1,0.03027,0.02714,0.22879,124.43299,28.18182,6.39293,6.62121,3,0.31954,0.0912,21.46907,78.02335,2,0.31924,0.16393,1.38769,1.91317,27300,3,0.25,0.13687,40,0.03333,0.12282,0.70581,0.5,0.48503,0.02857,0.03236,1.43066,0.00833,0.19297,0.94111,9.64845,1.55,0.82828,8,4,0,0.7,1,0.01317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"2019-02-26","Betrayal HC","Currency",0.93115,0.02871,0.02557,0.23228,127.03125,28.56186,6.39293,5,3,0.33333,0.08518,21.07407,78,2,0.3172,0.16393,1.2158,1.883,27300,3,0.25,0.14187,40,0.03333,0.125,0.68058,0.55546,0.48972,0.02857,0.02169,1.5,0.00833,0.1915,1,9.7625,1.55,0.66498,8,4.56061,0,0.557,1,0.01317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
