"Day","Date","League","Type","A.Call.into.the.Void","A.Firm.Foothold","A.Forest.of.False.Idols","A.Gracious.Master","A.Master.Seeks.Help","A.Prodigious.Hand","A.Regal.Death","A.Valuable.Combination","A.Whispered.Prayer","Abnormal.Effulgence","Against.the.Tide","An.Unseen.Peril","Anarchy.s.End.I","Anarchy.s.End.II","Anarchy.s.End.III","Anarchy.s.End.IV","Ancient.Doom","Baptism.by.Death","Beyond.Sight.I","Beyond.Sight.II","Beyond.Sight.III","Beyond.Sight.IV","Blood.in.the.Eyes","Blood.of.the.Betrayed","Bountiful.Traps","Cleanser.of.Sins","Crushing.Squall","Custodians.of.Silence","Day.of.Sacrifice.I","Day.of.Sacrifice.II","Day.of.Sacrifice.III","Day.of.Sacrifice.IV","Deadly.Rivalry.I","Deadly.Rivalry.II","Deadly.Rivalry.III","Deadly.Rivalry.IV","Deadly.Rivalry.V","Deadly.Twins","Defiled.in.the.Sceptre","Dying.Cry","Echoes.of.Witchcraft","Ending.the.Torment","Erased.from.Memory","Erasmus..Gift","Fallow.At.Last","Fated.Connections","Fear.s.Wide.Reach","Fire.and.Brimstone","Fire.and.Ice","Fire.from.the.Sky","Fire..Wood.and.Stone","Flesh.of.the.Beast","Forceful.Exorcism","From.Death.Springs.Life","From.The.Void","Gilded.Within","Golden.Touch","Graceful.Flames","Heart.of.the.Fire","Heavy.Blows","Hidden.Reinforcements","Hidden.Vaal.Pathways","Holding.the.Bridge","Hunter.s.Lesson","Ice.from.Above","In.the.Grasp.of.Corruption","Kalandra.s.Craft","Lasting.Impressions","Lightning.Falls","Living.Fires","Lost.in.the.Pages","Monstrous.Treasure","Mouth.of.Horrors","Mysterious.Invaders","Nature.s.Resilience","Nemesis.of.Greed","Notched.Flesh","Overflowing.Riches","Path.of.Betrayal","Plague.of.Frogs","Plague.of.Rats","Pleasure.and.Pain","Pools.of.Wealth","Possessed.Foe","Power.Magnified","Rebirth","Reforged.Bonds","Resistant.to.Change","Risen.Blood","Roth.s.Legacy","Severed.Limbs","Smothering.Tendrils","Soil..Worms.and.Blood","Storm.on.the.Horizon","Storm.on.the.Reef","Strong.as.a.Bull","Thaumaturgical.History.I","Thaumaturgical.History.II","Thaumaturgical.History.III","Thaumaturgical.History.IV","The.Alchemist","The.Ambitious.Bandit.I","The.Ambitious.Bandit.II","The.Ambitious.Bandit.III","The.Apex.Predator","The.Beautiful.Guide","The.Beginning.and.the.End","The.Bloody.Flowers.Redux","The.Bowstring.s.Music","The.Brothers.of.Necromancy","The.Brutal.Enforcer","The.Child.of.Lunaris","The.Corrupt","The.Cursed.Choir","The.Dream.Trial","The.Dreamer.s.Dream","The.Eagle.s.Cry","The.Feral.Lord.I","The.Feral.Lord.II","The.Feral.Lord.III","The.Feral.Lord.IV","The.Feral.Lord.V","The.Flayed.Man","The.Flow.of.Energy","The.Forgotten.Garrison","The.Forgotten.Soldiers","The.Fortune.Teller.s.Collection","The.Four.Feral.Exiles","The.God.of.Misfortune","The.Hardened.Armour","The.Hollow.Pledge","The.Hungering.Swarm","The.Invader","The.Jeweller.s.Touch","The.Karui.Rebellion","The.King.s.Path","The.King.and.the.Brambles","The.Lady.in.Black","The.Last.Watch","The.Lost.Maps","The.Lost.Undying","The.Misunderstood.Queen","The.Mysterious.Gift","The.Nest","The.Petrified","The.Plaguemaw.I","The.Plaguemaw.II","The.Plaguemaw.III","The.Plaguemaw.IV","The.Plaguemaw.V","The.Prison.Guard","The.Prison.Key","The.Queen.s.Vaults","The.Scout","The.Servant.s.Heart","The.Sharpened.Blade","The.Silverwood","The.Singular.Spirit","The.Sinner.s.Stone","The.Snuffed.Flame","The.Soulless.Beast","The.Stockkeeper","The.Sword.King.s.Passion","The.Trembling.Earth","The.Twins","The.Unbreathing.Queen.I","The.Unbreathing.Queen.II","The.Unbreathing.Queen.III","The.Unbreathing.Queen.IV","The.Unbreathing.Queen.V","The.Undead.Brutes","The.Undead.Storm","The.Vanguard","The.Walking.Mountain","The.Ward.s.Ward","The.Warmongers.I","The.Warmongers.II","The.Warmongers.III","The.Warmongers.IV","The.Watcher.s.Watcher","The.Wealthy.Exile","Touched.by.the.Wind","Trash.to.Treasure","Twice.Enchanted","Unbearable.Whispers.I","Unbearable.Whispers.II","Unbearable.Whispers.III","Unbearable.Whispers.IV","Unbearable.Whispers.V","Undead.Uprising","Unnatural.Energy","Vaal.Invasion","Vaal.Winds","Visions.of.the.Drowned","Vital.Transformation","Waiting.in.Ambush","Weeping.Death","Wind.and.Thunder","Winter.s.Mournful.Melodies","A.Dishonourable.Death","A.Rift.in.Time","A.Vision.of.Ice.and.Fire","Agony.at.Dusk","Black.Devotion","Blind.Faith","Blinding.Light","Burning.Dread","Cold.Blooded.Fury","Cold.Greed","Crimson.Hues","Dance.of.Steel","Dark.Instincts","Darktongue.s.Shriek","End.of.the.Light","Greed.s.Folly","Last.of.the.Wildmen","Song.of.the.Sekhema","Sun.s.Punishment","The.Dreaded.Rhoa","The.Fall.of.an.Empire","The.Great.Leader.of.the.North","The.Great.Mind.of.the.North","The.Malevolent.Witch","The.Nightmare.Awakens","The.Queen.s.Sacrifice","The.Storm.Spire","Trapped.in.the.Tower","Battle.Hardened","Faith.Exhumed","The.Bishop.s.Legacy","The.Mentor","Ancient.Rivalries.I","Ancient.Rivalries.II","Ancient.Rivalries.III","Ancient.Rivalries.IV","Brothers.in.Arms","Echoes.of.Lost.Love","Echoes.of.Mutation","Storm.on.the.Shore","The.Aesthete.s.Spirit","The.Blacksmith"
51,"2018-10-20","Delve","Prophecy",0.52857,0.45,0.88,6,1,0.42,0.33,0.42041,0.44,0.64,0.61,0.57,0.66,0.61,0.99,1,1,0.51,0.4,1,0.96389,2,0.4931,0.33,4,12.28653,2,0.47,0.39,0.62,0.99,1.29,0.48,0.62,1,0.8802,1,0.91531,0.22,0.73041,3,0.4,0.33,1,0.62,578.54,0.43,1,3,2,0.45,1,0.42,0.66,0.62,0.5,0.5851,0.52,0.66,0.50531,0.4851,0.62,1.59,0.4251,2,4.04,0.34,0.34,2,0.85,7,62.28041,0.43,0.3751,0.68,0.37,0.35,0.88,1,1,2,0.33,1,0.48,0.4451,0.61,1,0.61,0.5351,0.33,1,0.5,0.7,0.62,0.53,0.48,0.61,0.33,0.37,0.65,0.47,0.61,0.62,8.51,1.96082,2,0.39,0.46,2,0.46531,0.33,0.62,0.55531,1,1,1.7951,0.44,0.33,0.61,0.62,0.62,1,0.55,0.4,0.44,1.09,0.9951,0.61,0.39,0.6051,0.61,0.59,0.38,12,1,188.82163,1,0.61,0.62,0.3451,0.48,1,1,0.62,0.59,0.61,0.52041,0.4,0.62,1,0.43,0.44,5,0.5602,8.9902,0.62,0.63,0.4,0.62,0.33,0.34,0.9485,0.57,0.4451,0.39,0.4,0.5,0.33,0.62,2,0.55,2,0.33,0.45,0.53571,0.4,0.33,0.62,0.69,0.51,0.62,0.97,800.18536,14,0.33,0.54,0.37041,0.7151,1.63041,0.77,0.39,1.48,23,0.84,0.62,0.9602,0.31,33.94968,0.33,7,0.5802,31.64898,0.42,0.33,1,0.76,0.34,0.4051,0.52,0.33,2,0.33,37.53,0.87,0.66,0.52,1.6525,0.33,1,0.46,1,1,0.8,0.98,4200.93167,0.61,0.6,0.93,0.65,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2018-10-21","Delve","Prophecy",0.40643,0.52082,0.6451,6,1,0.46,0.33,0.4202,0.49531,0.64,0.63,0.9,0.68,0.63,1,1,1,0.5,0.33,1,0.86,2,0.44,0.41,4,12,2,0.6,0.33,0.63,1,2,0.63,0.63,0.85,0.38,1,0.95,0.26,0.8551,2,0.3402,0.33,1,0.63,577.56571,0.4651,1,3.13265,2,0.39,1,0.34,0.61041,0.63,0.4,0.33,0.54122,0.63,0.55,0.4,0.68,1,0.33,2,0.75,0.33,0.33,2,0.86,8,64,0.35,0.39,0.9,0.34,0.4,0.64,1,1,2,0.33,1.09,0.63,0.34,0.4,1,0.63,0.33,0.43,0.84,0.55,0.63,0.6351,0.59,0.38,0.35,0.33,0.41,1,0.46653,0.44,0.8702,10,1.18,2,0.33,0.33,2,0.4751,0.48979,0.63,0.54,0.67,1,2,0.38,0.36,0.45612,0.33,0.63,1,0.66,0.4051,0.52,1.09,1,0.4402,0.33,0.75,0.63,0.86592,0.38,12,1.89,189.31224,1,0.62,0.63,0.63,0.6002,1,1,0.63,0.55,0.3402,0.33,0.33,0.63,1,0.63,0.35,5,0.91,9,0.63,0.64,0.56143,0.63,0.36,0.5,0.93,0.33,0.4,0.34,0.3951,0.33,0.33,0.63,2,0.33,2,0.33,0.55143,0.4,0.4,0.45,0.63,0.9251,0.50592,0.63,1,838.70308,14,0.4,0.3351,0.33,0.7251,1,0.82,0.39,1.47,23.39245,0.87,0.75,0.8702,0.4,35,0.33,7,0.54041,30,0.49,0.46,1.41,0.91,0.59,0.5,0.3651,0.33,2,0.33,37,0.63,0.63,0.63,1,0.33,0.9802,0.44,1,1.47,0.66061,0.9151,4227.78667,0.63,0.63,0.99,0.5802,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2018-10-22","Delve","Prophecy",0.63,0.63,1,6,1,0.4,0.63,0.4,0.56,0.65,0.64,0.7201,0.64,0.63,1,1,1,0.54,0.33,1,0.78,2,0.44,0.36,4,11.97031,1.9102,0.5001,0.37,0.62,1,2,0.45,0.57,1,0.33,1,1,0.26,1,2,0.33,0.34,1,0.63,588.66261,0.41,1,3,2,0.39,1,0.39,0.63,0.63,0.4,0.33,0.63,0.54,0.4,0.53,0.74,1.5,0.41031,2,0.75,0.33,0.38,1.49041,0.87,2.31324,62.00245,0.4,0.3602,1,0.37,0.39,0.61,1,1,2,0.38,1.09,0.7802,0.33,0.37,1,0.81,0.33,0.45,1,0.38,0.67,0.63,0.4,0.42,0.4,0.33,0.63,1,0.79,0.38,0.66,9.52061,1,2,0.34,0.33,2,0.4,0.55,0.63,0.38,0.63,1,1.88041,0.63,0.33,0.33,0.61,0.63,0.99,0.75,0.4,0.75,5.19,1,0.33,0.33,0.71,0.52,1,0.55,12,2,190.01286,0.9201,0.4,0.63,0.87133,0.63,1,1,0.64429,0.41,0.4,0.33133,0.33,0.67041,1,0.4,0.5301,5,0.64,9,0.63,0.65,0.68,0.63,0.54,0.63,1,0.33,0.51,0.43,0.33,0.50041,0.33,0.63,1,0.39,2,0.63,0.5,0.39,0.54,0.47,0.63,0.93,0.53,0.36,1,866.94182,14,0.4,0.33,0.33,1,1,0.77,0.33,0,23,0.87,0.70923,0.9,0.41,38.89,0.33,7,0.55,30.93173,0.46,0.46,2,0.8402,0.63,0.57,0.63,0.39,2,0.33,36,0.63,0.58,0.38,1.52346,0.33,1,0.54,1,1.76,0.8,0.8502,4581.51094,0.63,0.63,0.83,0.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"2018-10-23","Delve","Prophecy",0.6085,0.63,1,6,1,0.4,0.63,0.43,0.58,0.64,0.64,0.93,1,0.64,1,1,0.93,0.46,0.33,1,0.76,2,0.62,0.39,4,11,2,0.4,0.39,0.63,1,1.53,0.53244,0.61,1,0.36,1,1,0.32,1,1.7975,0.3851,0.38,1,0.63,604.43217,0.5498,0.97,4,2,0.38,1,0.50531,0.64,0.42,0.44,0.35,0.6,0.34,0.4,0.63,0.91,1,0.4,1.99,0.8,0.33,0.35,1,0.97,8,63,0.33,0.33,0.99,0.3551,0.4051,1,1,1,2,0.33,1.09,0.7502,0.33,0.3551,1,0.68,0.35,0.56,1,0.37,0.63,0.62,0.44,0.4,0.35,0.33,0.64,0.44061,0.55,0.63,0.79,8,1,2,0.34,0.33,2,0.41531,0.63,0.64,0.38,0.9251,1,1,0.62,0.42531,0.3851,0.3502,0.52,0.99,0.74,0.4,0.64,1,0.8351,0.4602,0.33,0.91,0.566,1,0.36,12.50143,1.65,190,1,0.4,0.63,0.49041,0.57,1,1,0.63906,0.5251,0.36,0.33,0.37,0.63,1,0.49,0.59,4.93143,0.8,8,0.63,0.63,0.51653,0.63,0.59,0.67,1,0.4002,0.64,0.48,0.33,0.54,0.33,0.63,2,0.3851,1.4251,0.38,0.4,0.55,0.39,0.63,0.85531,0.91,0.42,0.33,1,925.585,14.87612,0.33,0.33,0.33,1,1,1,0.33,0,22,0.94,0.89,0.84,0.61,38.47,0.33,6.96061,0.63,30,0.33,0.33,1.33864,0.89,0.64,0.41,0.5851,0.4,2,0.3802,35.2051,0.93,0.59,0.33,1.86,0.33,0.89,0.35,1.33,2,0.6051,0.98531,4766.9175,0.64,0.64,0.78,0.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"2018-10-24","Delve","Prophecy",0.63,0.45,0.94,6,1,0.35,0.33,0.4902,0.49,0.62808,0.78,0.9651,1,0.8,1,1,0.97,0.36,0.37,1,0.77,2,0.43,0.39,4.24204,12,2,0.35,0.6251,0.44,1,1.87,0.5,0.54,0.89,0.39,1,0.64,0.32,1,1.18,0.33,0.32,1,0.74,624.4075,0.64,1,4,2,0.41,1.0251,0.24,0.63,0.5,0.33,0.33,0.63,0.4,0.51,0.6251,0.68,1,0.36,1.9951,1.24,0.33,0.35,2,1,7,60,0.32,0.33,0.99,0.34,0.4151,0.71,1,1,2.29694,0.33,1,0.4951,0.33,0.33,1,0.3,0.27,0.62,1,0.61,0.61551,0.56787,0.39,0.34,0.37,0.38,0.63,0.38,0.33,0.41,0.7651,8,1,2,0.38,0.33,1.50102,0.35,0.55,0.63,0.35,0.63,1,2,0.42,0.32,0.39,0.33,0.41,0.99,0.75,0.63,0.63,1,0.70531,0.33,0.33,1,0.7,1,0.35,12.16796,1,190,1,0.36,0.62,0.6351,0.47,0.95571,1,0.66,0.4151,0.39,0.33,0.33,0.62,1,0.4251,0.38811,5,1,8,0.4951,0.64,0.33,0.63,0.49551,0.64,1,0.33,0.63,0.62,0.33,0.63,0.33,0.63,1,0.62,2,0.36,0.55,0.33,0.33,0.61,0.97,1,0.4,0.47,1,956.435,14,0.33,0.33,0.33,1,1,1,0.33,3,23,0.9075,0.9,1,0.83,38.56703,0.33,6.89061,0.62,32.02041,0.36,0.33,1.98227,0.77,0.63,0.63,0.54,0.41,2,0.33,35,1,0.41,0.33,2,0.39,0.8002,0.33,1,1.3602,0.9,0.9751,4743.46,0.53,0.83,0.92041,0.64,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2018-10-25","Delve","Prophecy",0.63,0.5,1,6,1,0.34,0.33,0.45,0.55,0.59,0.75306,0.8302,1,0.82,0.93,1,0.99,0.6,0.33,1,0.835,2,0.38,0.38,4,10.41,2,0.35,0.33,0.55,1,2,0.4,0.63,0.89,0.47,1,0.63,0.32,1,0.99,0.28,0.31,1,0.74,679.5285,0.64,1,4,2,0.4,1,0.32,0.53,0.63,0.32,0.33,0.63,0.37,0.33,0.5,0.63,1,0.25,2,1.12,0.2951,0.38,1.5651,1,6.53,59.22531,0.34,0.4,1,0.33,0.55,0.49,1,1,2,0.33,1,0.49,0.33,0.43,1,0.56,0.59,0.63,1,0.63,0.46,0.62,0.38,0.33,0.4,0.45,0.63,0.33,0.33,0.5302,0.9,6.9402,2,2,0.62,0.33,2,0.36,0.63,0.63,0.33,0.53,1,1,0.4051,0.3251,0.33,0.63,0.33,1,0.72,0.63,0.63,1.04,1,0.32,0.33,0.64,0.6,0.63,0.3402,12.38265,2,183.52571,0.66,0.36804,0.6,0.63,0.62,1,1,0.63,0.4,0.3602,0.37,0.5302,0.63,1,0.33,0.57,5,0.74735,8,0.63,0.63,0.32,0.63,0.33,0.64,1,0.34,0.57,0.42,0.33,0.63,0.35,0.63,2,0.39,2,0.37,0.6,0.41,0.33,0.59,1,1,0.4,0.32,0.96,950.75,14,0.33,0.37,0.33,1,1,1.2,0.33,1,23.06,0.92,0.9,1,0.96,38.95316,0.33,7,0.63,33,0.54,0.33,2,0.63,0.63,0.33,0.64,0.39,2,0.43,30,1,0.33,0.33,2,0.64,0.8502,0.33,1,1.7551,0.97,0.9651,4698.05659,0.63,0.63,1,0.64,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2018-10-26","Delve","Prophecy",0.63,0.64,1,6,1,0.51058,0.64,0.4351,0.63,0.63607,0.64,0.42,1,0.65,0.93,1,1,0.53,0.48,1,1,2,0.64,0.38,4,11,2,0.57,0.33,0.63,1,2,0.33,0.64,1,0.63,1,1,0.32,0.84,1.2,0.33,0.33,1,0.75,677.48429,0.55,1,4,2,0.48,1,0.5151,0.53,0.64,0.33,0.33,0.63,0.33,0.33,0.5,0.6,0.27,0.33,2,1.12,0.36,0.33,1.21082,1,6.37,60,0.5051,0.41,1,0.37,0.41,0.83,1,1,2,0.34,1,0.75,0.33,0.49,0.9,0.64,0.33,0.64,0.94531,0.64,0.64,0.52,0.45,0.62,0.57,0.60531,0.64,0.4351,0.55,0.62,1,9,1.60204,2,0.63,0.61,2,0.37,0.4,0.64,0.33,0.5,1,1,0.51,0.3351,0.33,0.3751,0.28,1,0.7,0.64,0.64,4.4,1,0.49,0.5551,0.95,0.57,0.79,0.44,12.26592,1,180,0.66,0.39,0.63,0.6351,0.64,1,1,0.52,0.51,0.33,0.57,0.48,0.64,1,0.38,0.63,5.50592,0.5751,8,0.33,0.63,0.58,0.6,0.33,0.66,0.67,0.44,0.54,0.64,0.33,0.63,0.4751,0.6351,2,0.41,2,0.51,0.63,0.6051,0.64,0.59,1,0.98,0.38,0.63,0.84,901.70182,15,0.4,0.36,0.5802,0.92,1,1.2,0.33,1,23.14531,1,0.64,0.9,1,38.89,0.33,7,0.64,30.5102,0.63,0.33,2,0.64,0.56,0.33,0.76,0.39,2,0.42653,30,0.93,0.41,0.33,2,0.75,1,0.33,1.49,2,1,0.98,4727.724,0.38,0.64,1,0.64,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2018-10-27","Delve","Prophecy",0.64,0.65,1,6,1,0.64,0.64,0.39,0.64,0.65,0.76,1,1,0.65,0.95,1,1,0.58,0.33,1,1,2,0.63,0.39,4.90031,12.34318,2,0.58184,0.33,0.65,1,2,0.33,0.65,0.67,0.64,1,1,0.34,1,1.2,0.33,0.33,1,0.76,639.86957,0.5502,1,4,2,0.56,1,0.64,0.53,0.65,0.5002,0.3302,0.54,0.3001,0.33,0.58051,0.7401,0.27,0.3301,1.15,1.12,0.38,0.33,1,1,6.68,59,0.33,0.33,1,0.33,0.4,0.87,1,1,2,0.34,1,0.75,0.33,0.65,1,0.65,0.33,0.65,0.84041,0.33,0.65,0.41,0.40051,0.62,0.33,0.65,0.64,0.65,0.64,0.59,0.9501,10,1.4101,1.8102,0.33,0.51092,1,0.33,0.38,0.65,0.33,0.6002,1,2,0.64,0.33,0.33,0.3901,0.33,1,0.64,0.6001,0.65,4.4,1,0.51,0.35,0.6802,0.55,0.65,0.33,13,1,180.02908,1,0.36,0.5701,0.35,0.43,1,1,0.55,0.55,0.33,0.33,0.48,0.65,1,0.33,0.37,5.02327,0.69,8,0.63,0.94041,0.65,0.4301,0.33,0.44,0.78,0.35,0.51,1,0.33,0.64,0.64,0.65,1,0.65,1,0.62,0.65,0.63,0.74,0.55,1,0.96,0.4,0.65,0.86,934.59,15,0.33,0.4,0.64,0.99,1,1.31,0.42125,0.53,25.24255,1,0.65,0.76092,0.76,39.26,0.33,7,0.65,30.77143,0.65,0.50143,2,0.65,0.57,0.4,0.72,0.37,2,0.33,28,0.97,0.61,0.64,1.4025,0.66,1,0.33,2,2,1,0.87,4586.01,0.34,0.65,0.94,0.65,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2018-10-28","Delve","Prophecy",0.65,0.65,1,6,1,0.65,0.4,0.64,0.59,0.65,0.66,0.8351,1,0.66,1,1,1,0.61061,0.45,0.99931,0.99,2,0.64,0.64,4,13.06,1.1202,0.4,0.61,0.65,1,2,0.35,0.65,0.65,0.65,1,0.6851,0.34,1,1.47,0.33,0.35,1,0.77,601.03417,0.6451,1,4,1.21061,0.77,1,0.61,0.54,0.65,0.56,0.38,0.54,0.33,0.33,0.64,0.5702,2.06,0.66,1,0.76,0.41061,0.6,1,1,8,59,0.33,0.65,0.74,0.38,0.62,0.7551,1,1,2,0.36,1,0.5851,0.33,0.65,1,0.65,0.33,0.65,0.65,0.34,0.65,0.46,0.33,0.59,0.37,0.65,0.61,0.8451,0.35,0.65,0.58041,10,1.96,2,0.33,0.35,1,0.65,0.33,0.65,0.33,0.66,1,1.28367,0.65,0.33,0.33,0.42551,0.34531,1,0.64,0.62,0.65,0.17,1,0.64,0.3551,0.65,0.63,0.73,0.38,12.73714,1,170,0.99,0.36,0.33,0.58,0.3251,1,1,0.62132,0.43,0.33,0.33,0.49531,0.77,0.8651,0.33,0.62,5,0.49531,8,0.61,0.7,0.87,0.55,0.33,0.57,0.75,0.37,0.43571,0.59,0.33,0.54,0.52,0.55,1.21694,0.53,1,0.64,0.65,0.64,0.86,0.33,0.97,0.66,0.33,0.38,0.83,915.49375,15,0.36531,0.4002,0.44,0.8702,1,1.31,0.48,0.53,25,1,0.65,0.6302,0.9,40,0.33,7,0.65,33,0.65,0.65,2,0.65,0.33,0.7,0.98041,0.37,2,0.33,28,0.95,0.65,0.64,1.99,1,1,0.4,1.93429,2,0.97,0.94531,4459.82775,0.64,0.65,0.76041,0.65,0.89633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2018-10-29","Delve","Prophecy",0.79,0.65,0.96,6,1,0.65,0.38,0.37,0.6002,0.65,0.65,0.9351,1,0.94,1,1,1,0.65,0.44,1,1,2,0.64,0.65,4,12.11824,2,0.4,0.65,0.68,1,2,0.43,0.65,0.66,1,0.66,0.39,0.61,1,1.94,0.5451,0.37,1,0.77,611.8515,0.65,2,4,1,0.99,1,0.38,0.64,0.65,0.36,0.6451,0.52,0.35,0.36,0.64,0.81,2.06,0.47,1,0.76,0.35,0.54,1,1,8,58,0.33,0.65,0.85,0.38,0.64,0.65,1,1,2,0.33,1,0.63061,0.33,0.43,1,0.65,0.35,0.52,0.66,0.38,0.65,0.64,0.34,0.49083,0.65,0.72,0.33,1,0.33,0.65,0.49,9.15,2,2,0.33,0.33,2,0.73,0.34,0.65,0.33,0.72,1,2,0.38,0.27531,0.33,0.4,0.48592,1,0.41,0.64,0.65,0.17,1,0.6,0.65,0.7,0.67,0.84,0.53,12,1,154.96571,0.99,0.36,0.36,0.66,0.28041,1,1,0.64,0.3651,0.33,0.23,0.33,0.68,1,0.33,0.63,5,0.52531,7,0.62,0.73,0.92,0.43,0.33,0.64,0.73,0.43,0.65,0.5502,0.33,0.51571,0.4951,0.64,2,0.38,1,0.38,0.65,0.64,0.94,0.33,0.96,0.9051,0.33,0.35,0.89,888.04071,15.35592,0.33,0.33,0.65,0.99,1,1.29,0.48,0.5,21.6551,1,0.65,0.42531,0.94381,30,0.33,7,0.65,30,0.64,0.65,2.5,0.71,0.33,0.78,1,0.33,1.93633,0.38,28,0.81,0.65,0.64,2,1,1,0.64,1.95,1,1,0.65,4727.39429,0.65,0.65,0.8102,0.65,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2018-10-30","Delve","Prophecy",1,0.64,0.99,5.14531,1,0.65,0.64,0.57,0.58,0.65,0.64,0.76,1,1,1,1,1,0.65,0.48,0.66,1,2,0.65,0.64,4,11.19,2,0.63,0.65,0.65,1,2.26,0.94,0.65,0.71,1,1,0.65,0.65,0.6651,1.94,0.59,0.3951,1,0.85,590.18,0.65,1.65,3,1,1,1,0.37,0.65,0.59,0.64,0.65,0.65,0.33,0.33,0.48,0.73,2.06,0.65,2,0.79,0.33,0.65,1,1,7.84,59.70245,0.33,0.82,0.6751,0.77,0.4802,0.70041,1,1,2,0.36,1,0.81,0.33,0.35,1,0.65,0.53531,0.49,1,0.33,0.58,0.64,0.33,0.34,0.65,0.63,0.33,0.9151,0.51,0.65,0.65,9,2,2,0.33,0.33,2,0.73,0.34,0.65,0.44,0.7,1,1.40082,0.36,0.33,0.51,0.65,0.45,1,0.46,0.4151,0.65,0.08,1,0.58,0.38,1,0.69,0.78592,0.57061,12,1,159.95082,1,0.37,0.38,0.33,0.41,1,1,0.64,0.6,0.33,0.33,0.33,0.8602,1,0.33,0.43,5,0.64,7,0.5,0.65,0.92,0.35,0.33,0.72,0.79,0.33,0.9,0.65,0.65,0.41,0.64,0.96,2,0.68,1.0551,0.33,0.61,0.36,0.81,0.65,0.81245,0.9851,0.5551,0.33,0.65,892.38563,17.44122,0.33,0.33,0.49,0.6602,1,0.85,1.47,0.5,22.15122,1.59,0.65,0.77,0.92,30,0.33,8.92,0.65,30,0.43,0.3351,5,0.77,0.32,1,0.86,0.36,2,0.33,28,1,0.65,0.65,2,1,1,0.65,1.96,1,1,0.77,4762.86175,0.65,0.65,0.82347,0.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2018-10-31","Delve","Prophecy",0.935,0.37,0.98,5.28633,1,0.65,0.64,0.64,0.64,0.65,0.64,0.72,1,1,1,1,1,0.65,0.37,0.71,1,2,0.64,0.64,4,12.89045,1.95,0.65,0.65,0.65,1,2.64,0.92,0.88,0.74,1,1,1,0.65,0.64,5,0.64,0.38,1,1,580.34104,0.65,1,2,1,1,1.97,0.62,0.65,0.47,0.33,0.65,0.65,0.33,0.33,0.83,0.75,10,0.65,2,0.77,0.36,0.33,1,1,5.16444,59,0.33,1,0.65,0.99,0.64,0.97061,1,1,2,0.3651,1,0.72,0.33,0.33,1,0.65,0.64,0.35383,0.99,0.33,0.65,0.64,0.33,0.35,0.65,0.5843,0.33,0.8102,0.33,0.77,0.74,7.62,1,2,0.36,0.33,2,0.66,0.35,0.65,0.6451,0.72,1,2,0.35,0.33,0.87,0.65,0.33,0.75,0.47,0.35,0.65,0.08,1,0.64,0.61,1,0.73,0.93061,0.42,12.89653,1,155,1,0.35,0.4,0.44531,0.65,1,1,0.62,0.64,0.33,0.9,0.41143,0.98,1,0.33,0.57,5,0.45041,7,0.33,0.65,0.6551,0.44673,0.33,0.94788,0.66,0.34,0.51,0.65,0.65,0.67,0.56,1,2,0.3651,1,0.33,0.49,0.49,0.91,0.65,0.59,1,0.64,0.33,0.65,918.09667,18,0.33,0.33,0.49,0.65,2,0.86,1.47,0.49,23.77184,1,0.65,0.6151,0.92,30,0.33,9,0.65,31.07592,0.65,0.36,5.2,0.85,0.33,1,0.97,0.51,2,0.33,26.76531,0.97,0.65,0.65,1.96429,1,1,0.6351,1.93,1,1,0.9351,4778.36,0.65,0.65,0.91,0.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
