"Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe","NA."
2017-03-11,"Standard","Essence",8.65684,1.17105,22.80772,2,7.61,12.5,5.57088,4.7007,3.51421,9.91263,13.54842,2.50158,7.80421,1.79509,15.46105,1.13263,2,11.12877,4.53105,8.85439,68.96702,26.33474,57.2714,37.65474,0.28105,0.28281,0.25789,0.28281,0.29702,0.28281,0.28281,0.27754,1,0.91211,0.28281,0.99263,0.28281,0.30912,2.90211,0.72842,0.98333,0.28281,1,0.98105,0.28281,0.53754,0.28281,1.84018,0.28386,0.33737,0.72333,0.50579,0.48281,5.04842,1.57175,7.11912,2,1.9386,9.40912,2.5786,3.04105,1.65368,3.35158,3.49421,5.20596,1.9807,1,6.13632,1,2.71474,5.81263,3.23123,2.71421,0.28281,0.26246,0.53018,0.28281,0.25947,0.28281,0.28281,0.28281,0.28281,0.28281,0.28281,0.27088,0.35351,0.28281,0.28281,0.28281,0.27175,0.33754,0.28281,0.25789,0.28281,0.28281,0.30772,0.27053,0.25789,0.28281,0.27404,0.28281,0.27263,0.20123,0.28281,0.25789,0
2017-03-12,"Standard","Essence",8.80759,1,21.09483,2,10.54052,12.86724,5.73138,4.80966,2.97621,9.39586,11.64,2.61517,7.54345,1.43207,16.54862,1,2,11.2381,4.36155,9.47534,72.71034,28.75776,58.56431,38.28172,0.27345,0.27879,0.23793,0.27879,0.27879,0.27879,0.27879,0.20103,1,0.90328,0.27879,2.3719,0.27879,0.31966,2.58345,1,0.98828,0.27879,1,0.9719,0.27879,0.76638,0.27879,1.16914,0.27879,0.35276,0.85741,0.39483,0.58328,4.61948,1.88586,5,1.84172,1.94,7.69862,2.61,2.6169,1.39552,3,2.93,3.33431,1.45172,1,6.62879,1,2.11379,4.54741,2.36,2.12655,0.27879,0.25069,0.79121,0.27879,0.24155,0.27879,0.27879,0.27879,0.27879,0.27879,0.27879,0.26655,0.34207,0.27879,0.27879,0.27879,0.26224,0.27879,0.27879,0.23793,0.27879,0.27879,0.25328,0.26172,0.23793,0.27879,0.26069,0.28224,0.25086,0.08017,0.27879,0.23155,0
2017-03-13,"Standard","Essence",8.72579,1,21.22211,1.89491,9.89123,13.10895,5.80018,4.15965,2.51614,7.78632,9.99789,1.85368,7.29596,1.89842,16.70667,1,2,10.82474,3.45895,9.04193,71.09632,30.90947,60,38.24,0.25912,0.28737,0.21579,0.28737,0.28737,0.28737,0.28737,0.20123,1,0.98947,0.28737,1.28368,0.28737,0.28737,1.81596,1,0.97474,0.28737,1,0.95421,0.28737,0.9307,0.28737,1.14035,0.28737,0.40439,0.89439,0.28737,0.28982,4,2.28175,4.61053,1.60211,1.68421,7.99596,2.50175,2.38842,1,3,2.26667,3.11211,1.61684,1,6.70561,1,1.81158,4.51333,2.98912,2.44175,0.28737,0.2314,0.99386,0.28737,0.25281,0.28737,0.28737,0.28737,0.28737,0.28737,0.28737,0.27754,0.28737,0.32316,0.28737,0.28737,0.26807,0.35632,0.28596,0.23649,0.28737,0.28737,0.21579,0.2807,0.21579,0.28737,0.28596,0.28737,0.27316,0.09421,0.28737,0.21579,0
2017-03-14,"Standard","Essence",7.47947,1,21.31123,1.40561,6.24789,10.83754,4.44193,3.44281,1.87316,3.87158,8.10965,0.99228,7,1.8014,14.21,1,2,9.4107,2.45421,5.56842,70.48579,29.05,59.91368,38.61789,0.24702,0.27246,0.23088,0.27561,0.27404,0.27368,0.22105,0.21789,1,0.94912,0.27877,1.25702,0.27877,0.27877,2.02316,1,0.96754,0.27877,0.90719,1,0.27877,0.79895,0.30351,1,0.27877,0.42018,0.82649,0.27877,0.27877,4.14754,2.75035,4.12947,1.56842,1,8.27649,1.98526,1.63754,0.95491,3,2.05281,2.34982,2.22491,0.95246,6.31561,0.98772,1.99649,3.91228,2.72789,2.42965,0.27298,0.21263,1,0.27772,0.26965,0.27877,0.27614,0.27877,0.27877,0.27877,0.2907,0.2686,0.27877,0.48982,0.27877,0.27877,0.26105,0.27877,0.18386,0.26158,0.27877,0.27719,0.22421,0.27596,0.22421,0.27877,0.26982,0.22175,0.23456,0.0893,0.27877,0.20175,0
2017-03-15,"Standard","Essence",7.69069,1,21.8169,1.30759,4.35552,13.23448,4.61793,2.60086,1.49172,4.18276,8.28655,0.97586,7.02483,1.50931,14.42103,1,2,12.27759,2.0531,5.43448,68.28345,24.18897,60,38.7931,0.24155,0.22741,0.2219,0.24552,0.23862,0.23914,0.07897,0.17431,1,0.89586,0.25672,1.55,0.25672,0.25672,2.00121,0.89569,0.86741,0.25672,0.7631,1,0.25672,0.81914,0.25672,1,0.25672,0.44293,0.49276,0.25672,0.25672,3.00966,0.99586,3.24517,0.57241,1.29293,6.15448,1.46828,0.65948,0.73586,2.79172,0.67052,2.3719,3.2069,0.32414,6.46741,1.39914,1.98448,3.78155,2.54759,0.90914,0.23552,0.15466,1,0.23897,0.24241,0.25672,0.24638,0.24879,0.25672,0.25672,0.46276,0.25672,0.25672,0.23828,0.25672,0.25672,0.24672,0.25672,0.09655,0.2219,0.25672,0.24897,0.2219,0.24448,0.2219,0.25672,0.22345,0.11069,0.09931,0.07397,0.25672,0.08672,0
2017-03-16,"Standard","Essence",8.73421,1,23.40158,1.86211,4.43,14.17474,8.30123,2.27298,1.05123,5.78719,8.23491,1,8.46439,1.62667,15.31333,1,2.01789,12.73526,2.91596,5,69.80667,29.67895,60,37.26632,0.25421,0.23614,0.21368,0.26579,0.23491,0.24439,0.10596,0.1907,1,0.69088,0.26579,1.65842,0.26579,0.26579,1.41544,0.47702,0.68561,0.37491,0.95,1,0.26579,1,0.26579,1.24123,0.26579,0.4714,0.53982,0.26579,0.40333,2.39526,0.8614,3.16842,0.41596,1.32228,5,1.90123,0.67053,0.91439,2.67544,0.48123,2.3307,3,0.27281,5.21702,3.08491,2.25596,2.93702,2,2,0.22351,0.15684,0.94965,0.24807,0.24439,0.26579,0.25632,0.26579,0.26579,0.26579,0.39018,0.26579,0.26579,0.30333,0.26579,0.26579,0.25754,0.26579,0.13158,0.22456,0.26579,0.26579,0.21544,0.25632,0.21281,0.26579,0.21789,0.11053,0.14263,0.07,0.26579,0.09895,0
2017-03-17,"Standard","Essence",9.39155,1,22.80276,1.75276,4.47655,14.33086,8.03948,2.30276,1,5.83259,7.61897,1,8.63052,1.60966,15.28276,1,2,12.00914,3.03,5,69.81638,29.48793,59.85276,40.20897,0.26966,0.2581,0.23397,0.24069,0.23897,0.24948,0.07224,0.10914,1,0.38517,0.27,0.87414,0.27,0.27,1.22414,0.27,0.36069,0.34569,0.88121,1,0.27,1,0.27,1.345,0.27,0.27,0.78655,0.27,0.27,3.65155,0.35741,2.51759,0.41517,0.7831,5,2.15293,1,0.63052,2.59931,0.24931,2,3,0.27017,5.18069,3.73155,4.81569,3.31672,2,1.905,0.25966,0.12552,0.99,0.25862,0.27,0.27,0.26983,0.27,0.27,0.27,0.32,0.27,0.27,0.26776,0.27,0.27,0.27,0.27,0.11534,0.38638,0.27,0.27,0.26948,0.26983,0.55034,0.27,0.26983,0.07879,0.14172,0.07569,0.27,0.12793,0
2017-03-18,"Standard","Essence",7.03825,0.78491,14.54614,0.83053,4.51246,14.76667,5.02035,0.80754,0.99719,4.13649,7.66351,0.98737,10.05596,0.81351,8.6714,0.98263,1.70632,9.15982,1.92228,4.21158,69.32053,35.7993,50.33596,41.76982,0.29491,0.29088,0.23772,0.24053,0.27509,0.23246,0.07544,0.14649,1,0.38193,0.33684,0.92088,0.29965,0.29965,1.31632,0.29965,0.41456,0.37175,0.83544,1,0.29965,0.99123,0.29491,0.97053,0.2986,0.30333,0.98702,0.29965,0.31667,2.51526,0.37246,1.58316,0.40667,0.38912,4.83053,0.83386,1,0.4414,0.83175,0.27368,1.97456,1.70298,0.2986,7,2.03684,3.48772,1.63456,2,0.68351,0.29544,0.15649,0.91263,0.26912,0.29491,0.29965,0.29614,0.29632,0.2993,0.28947,0.35702,0.29965,0.29965,0.31316,0.29965,0.29561,0.29491,0.29491,0.13246,0.41175,0.29702,0.29491,0.26895,0.30965,0.78211,0.29491,0.29491,0.12789,0.26596,0.09263,0.29491,0.27175,0
2017-03-19,"Standard","Essence",6.54,0.70224,18.39724,0.74052,4.52259,14.91828,3.97,0.8931,1,4.35948,7.88345,1.32586,10.52672,0.79155,7.03103,0.98397,1.76931,8.80086,1.73845,3.97034,70.1731,31.99103,51.39776,41.72966,0.2669,0.25638,0.2369,0.2269,0.23276,0.20069,0.07,0.26379,1,0.28897,0.27017,0.90776,0.2669,0.2669,1.11931,0.2669,0.41655,0.37638,0.92983,0.98931,0.2669,0.54086,0.2669,0.58466,0.2669,0.27983,0.95172,0.2669,0.33397,2.69724,0.37086,1.07707,0.4081,0.36483,4.14897,0.93466,1,0.41966,0.62172,0.25172,1.97103,1.82034,0.2669,4.61034,0.90121,1.82121,1.30052,2,0.63241,0.28897,0.16259,0.80793,0.21103,0.2669,0.2669,0.2669,0.2669,0.2669,0.23931,0.29172,0.2669,0.2669,0.30741,0.2669,0.2669,0.28276,0.2669,0.09328,0.29466,0.2669,0.28948,0.22586,0.32845,0.76931,0.2669,0.2669,0.1231,0.22966,0.24276,0.2669,0.30914,0
2017-03-20,"Standard","Essence",6.28914,0.76207,15.58431,0.7781,5.55862,15.4281,5.01931,1.94672,0.99862,4.74241,7.78948,1.53621,10.825,0.69534,7.31397,0.97172,2.17621,7.88431,1.52207,4.82172,73.97759,30.98,63.73207,40,0.2881,0.28983,0.24655,0.255,0.21879,0.42672,0.07,0.26224,0.99828,0.26845,0.29069,0.98483,0.26862,0.26845,1.44483,0.26845,0.38034,0.36172,0.79672,0.90621,0.28897,0.30828,0.26845,0.60793,0.26845,0.26845,0.70017,0.26845,0.28638,2.79155,0.38397,2.55103,0.40707,0.39828,2.4319,0.99379,1.86103,0.40828,1.54672,0.28466,2,1.71431,0.26845,3.11741,0.4631,0.75017,2.40397,2,0.63776,0.25914,0.19931,0.68138,0.19052,0.26793,0.26397,0.26638,0.26845,0.26776,0.26845,0.26845,0.26845,0.26638,0.325,0.26845,0.26845,0.37897,0.26845,0.07638,0.26483,0.28069,0.27534,0.25638,0.37362,0.73241,0.27483,0.26845,0.08397,0.20966,0.47103,0.30914,0.37672,0
2017-03-21,"Standard","Essence",6.36914,0.70155,16.7719,1.26379,6.07259,20.71328,5.30172,2.61052,0.98828,4.2369,8.26741,1.6769,6,0.73328,7.70121,0.92207,2.20552,7.38655,1.98034,4.71276,72.08879,30.93983,63.01086,40,0.37759,0.425,0.31,0.29828,0.33966,0.70293,0.53466,0.32603,1,0.26862,0.29759,1.03966,0.285,0.26948,1.28466,0.26983,0.34207,0.36207,0.79052,0.8631,0.31897,0.29121,0.26948,0.56138,0.26948,0.32172,0.49121,0.26828,0.27707,2.58224,0.38897,2.90879,0.43741,1.25672,1.69034,0.99379,3,0.51276,2.54069,0.34034,2,2.10483,0.33345,7.40483,0.89983,0.97655,2.94448,2,0.73707,0.33121,0.26466,1,0.22241,0.27103,0.26879,0.26862,0.30707,0.27,0.26948,0.26948,0.30086,0.26862,0.37414,0.26948,0.27103,0.45259,0.29793,0.21121,0.31862,0.315,0.28466,0.23534,0.39948,0.83379,0.35103,0.26948,0.25621,0.2669,8.07569,0.37759,0.39862,0
2017-03-22,"Standard","Essence",6.18207,0.49466,13.66034,1.70431,5.79828,19,5.46466,2.99828,1.06155,3.99931,7,1.49448,12.10086,0.87379,9.20034,0.9969,1.79966,9.93672,3.0781,3.96431,76.83672,29.49828,62.93362,40,0.59828,0.83448,0.87414,0.68983,0.65431,0.96,0.95034,0.83,1,0.26328,0.32655,1.49414,0.39586,0.26293,0.96224,0.26828,0.51448,0.41017,0.75621,0.83759,0.51328,0.35914,0.31793,0.41155,0.28569,0.33569,0.73621,0.26724,0.26328,2.85224,0.30672,3.0069,0.99931,2.00828,3.57017,1,3,0.79017,3.04069,0.3819,2,2.21207,1.04431,7.46466,0.69276,1.01897,3,2.83776,1.93672,0.34655,0.29483,0.89259,0.28241,0.31569,0.29741,0.26293,0.33276,0.2969,0.51259,0.27862,0.51224,0.32121,0.49759,0.26293,0.28086,0.69,0.4381,0.33845,0.53138,0.36431,0.4019,0.18069,0.41155,0.99793,0.91569,0.27569,0.51724,6.70845,34.55655,0.63397,0.76259,0
2017-03-23,"Standard","Essence",4.34,0.49644,11.17441,1.80034,5.64424,16.36695,5.52915,2.8539,1.15644,3.53492,5.86746,1.37949,6.36017,0.84322,6.41678,0.80966,1.94373,8.5939,1.96508,4.37492,75.90712,28.95763,61.4939,40.33729,0.22136,0.46203,0.27525,0.32119,0.3422,0.63102,0.61746,0.39119,1,0.27525,0.38949,1.24847,0.40153,0.28424,1.34305,0.27847,0.35407,0.40034,0.81525,0.76475,0.90407,0.29475,0.30136,0.3861,0.29508,0.29508,0.60746,0.30492,0.28814,3.0822,0.38492,3.38797,0.99237,2.15508,3.62559,1,3,0.84831,3.31797,0.47458,2.91831,2.1,2.05475,4.53034,0.63644,1.06373,3,4,3,0.28322,0.29898,0.33271,0.32102,0.32475,0.28085,0.27525,0.3539,0.27525,0.93136,0.32542,0.46576,0.28508,0.3139,0.27525,0.27847,0.41169,0.35915,0.35017,0.30034,0.27525,0.31,0.20949,0.36102,0.99932,0.37237,0.27508,0.44949,0.42424,0.57373,0.33,0.74966,0
2017-03-24,"Standard","Essence",4.10414,0.52707,12.33638,1.82,5.47276,19.41379,5.21776,2.65948,1.35293,3.69224,8.22414,1.47103,8.34,0.94241,9.47586,0.58845,1.99655,12.44034,2.00793,4.60897,78.62052,29.76397,63.05966,41.88328,0.23741,0.36931,0.28724,0.3281,0.36069,0.28724,0.65034,0.42828,0.9881,0.2919,0.30155,1.76914,0.6881,0.30672,1.29086,0.30966,0.35707,0.31603,0.92224,0.44259,0.99793,0.55362,0.3019,0.41345,0.31207,0.36931,0.42672,0.33552,0.28724,3.0131,0.42086,3.03931,1,2.31345,3.97241,0.99931,2.59724,1,3.01448,0.48793,3.33776,2.0069,0.57672,3.9869,0.61569,1.00052,2.36931,2.8181,2.14069,0.28724,0.41155,0.29724,0.28724,0.28724,0.28776,0.28724,0.4019,0.35862,0.96621,0.67655,0.30793,0.30724,0.28897,0.28862,0.28983,0.34362,0.28759,0.30603,0.28931,0.28724,0.29155,0.25172,0.32879,0.95759,0.30379,0.28724,0.31086,0.43293,0.28724,0.35052,0.74983,0
2017-03-25,"Standard","Essence",7.86186,0.91898,18.77644,1.9939,5.41864,19.01305,7.02356,4.06932,1.98339,5.40407,8.0661,2.02729,8.74644,1.07644,16.9261,0.98678,2.03475,12.20932,2.16186,8.25356,82.83949,30.56407,65.08831,41.18,0.24169,0.44339,0.27373,0.32746,0.44017,0.26627,0.41763,0.49746,1,0.28051,0.26627,2,0.73119,0.26627,1.02644,0.29881,0.32305,0.26627,0.9939,0.66373,0.85034,0.3422,0.26627,0.7539,0.29254,0.27881,0.86237,0.31864,0.26627,3.04966,1.82797,4.19915,0.99898,2.17915,4.61627,0.99966,3.07678,1,3.57949,1.56407,3.97153,2,0.53186,4,0.95373,1.00119,3.8722,3.08,2.93119,0.26627,0.78441,0.2722,0.26627,0.26627,0.26627,0.26627,0.68814,0.39864,0.96915,0.90305,0.42169,0.26983,0.57186,0.32458,0.26695,0.30695,0.26644,0.26627,0.26763,0.26627,0.26627,0.25305,0.34424,0.80085,0.33119,0.26627,0.42492,0.33949,0.26627,0.39,0.7261,0
2017-03-26,"Standard","Essence",11.02931,1,18.56086,2,5.72466,19.77724,9.82655,3.97914,2,5.50534,8.16466,3.09759,10.56586,1.35793,16.56379,1,2.1569,12.60276,2.89379,6.35466,84.35345,30.98741,63.93483,43.38672,0.25431,0.48362,0.30534,0.32776,0.45638,0.26724,0.43517,0.48862,1,0.40431,0.3281,1.8981,0.42483,0.30138,1.0181,0.37759,0.52741,0.26724,0.98328,0.72621,0.6581,0.53466,0.26793,0.83638,0.28017,0.32034,0.93724,0.31845,0.26724,3.32397,1.89638,4.975,0.99655,2.13966,7.32207,2.97379,4.08276,1,3.17293,4.2681,4.56552,2,0.66707,4.06483,0.61034,1,4,3.33517,2.99362,0.26724,0.39414,0.26724,0.28586,0.29259,0.26724,0.27776,0.84845,0.3231,0.87897,0.86517,0.48328,0.26724,0.53638,0.5,0.27034,0.32483,0.28103,0.28914,0.54707,0.26724,0.26724,0.26724,0.47,0.77948,0.36414,0.26724,0.52276,0.39655,0.26724,0.45914,0.78759,0
2017-03-27,"Standard","Essence",12.31379,1,17.60483,2.04948,6.57724,19.67069,9.05207,3.87138,2.01207,5.3769,8.63121,3.32414,11.5431,1.38603,15.62776,1,2.31276,12.36086,2.18759,5.78724,94.81707,35.66138,71.35966,45.18672,0.26293,0.52483,0.32086,0.33483,0.46672,0.27293,0.45586,0.55207,1,0.76448,0.27293,1.67052,0.30759,0.37638,1.46862,0.36276,0.60621,0.27293,1,0.68034,0.7619,0.92103,0.29569,0.54707,0.27293,0.27293,0.95828,0.27724,0.27293,3.39724,1.77655,4.87552,1,2.94103,7.34483,3.20897,3.92379,1,3.08483,4.30793,4.78069,2,0.67448,4.57603,0.9519,1.09172,4,3.15672,3.93448,0.29638,0.36931,0.28672,0.41155,0.41293,0.27293,0.275,0.71638,0.56741,1,0.87138,0.4431,0.27293,0.45293,0.64207,0.28776,0.32534,0.31759,0.27707,0.66241,0.27293,0.27293,0.27293,0.37724,0.80517,0.28534,0.28517,0.3019,0.43276,0.27293,0.47879,0.82397,0
2017-03-28,"Standard","Essence",12.15759,1.01586,17.2231,2.0519,7.07034,17.44293,10,3.97483,2.04914,5.63483,9.41586,3.35862,10.65,1.00345,15.13103,1,2.40155,11.97069,2.01966,5.805,95.46276,35.04966,75.66621,44.55155,0.25966,0.30569,0.27948,0.285,0.3969,0.27672,0.30293,0.31276,1,0.89586,0.27672,2,0.27672,0.39276,0.81914,0.27672,0.65621,0.27672,1,0.50207,0.66534,0.98603,0.34586,0.27672,0.27672,0.27672,0.97655,0.27672,0.27672,3.68569,1.57397,4.76431,1,1.94052,7.24224,2.79707,2.53552,1,3.01759,5.67362,4.62586,1.98276,0.56828,6.87483,0.93776,1,4,2.59534,3.79293,0.30517,0.27672,0.53,0.27672,0.27672,0.27672,0.27672,0.55379,0.32328,0.96069,0.64914,0.29845,0.27672,0.28017,0.70448,0.29241,0.28086,0.28086,0.27672,0.48966,0.27672,0.27672,0.27672,0.27672,0.61069,0.27672,0.34603,0.27672,0.40121,0.27672,0.42931,0.74276,0
2017-03-29,"Standard","Essence",6.15034,1.18828,16.90224,2.605,8.43328,19.18103,8.26983,3.95983,2.24017,4.34966,10.62259,3.81155,9.92328,1.16103,14.73741,1,2.08224,11.98448,2.27793,5.71638,96.62569,38.57897,72.63672,42.54207,0.26345,0.28155,0.28155,0.28155,0.31466,0.28155,0.28155,0.28155,1,0.88638,0.28155,2,0.28155,0.43138,1.08621,0.38966,0.59362,0.28155,1,0.67897,0.64052,1,0.41069,0.28155,0.28155,0.285,0.8731,0.28155,0.28155,2.57414,1.73414,4.51172,1,1.79448,7.79483,2.46638,2.34983,1,2.96172,4.98552,4.12138,1.8,0.82603,6.39931,1,1,4,2.91276,3.70276,0.32259,0.28155,0.87,0.28155,0.28155,0.28155,0.28155,0.40034,0.28155,0.8331,0.655,0.28155,0.28155,0.28155,0.58879,0.42017,0.28155,0.28155,0.28155,0.28621,0.28155,0.28155,0.28155,0.28155,0.29448,0.28155,0.295,0.28155,0.32603,0.28155,0.23914,0.25241,0
2017-03-30,"Standard","Essence",9.80466,1.7269,15.0731,2.46414,7.15586,17.04138,7.82879,4.24983,2.30931,4.28483,12.34517,3.96172,6.57845,1.49276,13.64741,1.43172,2.04121,11.59879,4.75724,6.31155,90.4081,34.78724,67.45931,39.87603,0.28414,0.28414,0.28414,0.28414,0.50914,0.28414,0.28414,0.28414,1,0.92759,0.49759,2,0.36103,0.5,1.78931,0.72931,0.81448,0.28414,1,0.92793,0.83914,1,0.6081,0.36914,0.31914,0.54328,0.90121,0.44569,0.28414,3.56224,1.23741,4.8831,1,1.91086,8.245,5.46983,2.76259,1,2.89931,5.96397,4.40517,1.94724,0.96466,7.98293,1,1,5.19897,5.90724,3.39914,0.62828,0.33603,0.89448,0.28414,0.28414,0.28414,0.28414,0.33914,0.28414,0.87,0.73707,0.38845,0.28414,0.48086,0.56155,0.57345,0.32552,0.28414,0.28414,0.42966,0.28414,0.34224,0.31328,0.44776,0.32741,0.28414,0.55259,0.28414,0.69552,0.28414,0.24086,0.24672,0
2017-03-31,"Standard","Essence",9.8419,2.29897,12.72897,3.1019,7.2981,11.77017,7.70172,4.35517,2.91707,4.99397,10.6331,4.00638,7.48293,1.985,13.54241,4.13552,2.21121,11.65759,5.98034,8.6219,98.62121,34.91948,63.22293,39.81517,0.29897,0.29345,0.29621,0.30914,0.335,0.68017,0.29603,0.32397,1.00414,1,0.97759,2,0.34621,0.58069,3.01931,0.99172,1,0.62138,1,1,0.94293,0.95224,0.96966,0.35793,0.31966,0.96983,0.99914,0.63155,0.49483,4.16983,1.03103,5.35828,1,1.97966,8.91621,5.56224,2.70431,1,4.21414,6.77638,4.82086,3.13293,1.66034,6.77259,0.96897,1.36224,4.11655,5.87138,2.05862,0.84724,0.33741,0.95207,0.30172,0.30172,0.30172,0.30224,0.33224,0.30172,0.40741,0.70759,0.52552,0.30172,0.8719,0.89879,0.82138,0.47672,0.30172,0.30172,0.53466,0.30172,0.47121,0.48172,0.58259,0.31069,0.30172,0.94379,0.74034,0.82914,0.30172,0.28603,0.25414,0
2017-04-01,"Standard","Essence",8.38017,1.88655,14.055,2.02569,7.52983,13.64776,7.10672,4.04414,2.20828,3.86672,8.98121,4,7.63776,1.82655,16.74638,2.10034,3.37914,11.53569,5.74293,7.71155,101.09983,33.14,58.34793,40.11603,0.27052,0.6419,0.26397,0.32862,0.42328,3.22328,0.28034,0.52897,1.00828,1,1,1.72034,0.33483,0.37034,2.59138,0.99172,1,0.65948,0.61052,1,0.64293,0.80552,0.99207,0.36397,0.28017,1,0.99948,0.51897,0.46207,2.93052,1.09345,6,1,1.95621,8.94966,5.09966,1.67379,1,3.49034,6.75103,4.59069,2.62655,1,6.72845,1,1.24793,3.91121,5.34793,2.13569,0.85362,0.29034,0.93276,0.43552,0.73241,0.34466,0.31207,0.28638,0.30828,0.36397,0.71448,0.47328,0.41397,0.83914,0.75069,0.74069,0.52569,0.28017,0.39655,0.60086,0.34845,0.33879,0.35138,0.72448,0.30879,0.27741,0.81052,0.975,1.21776,0.28017,0.60414,0.51155,0
2017-04-02,"Standard","Essence",7.5431,1.70448,16.05879,1.95534,7.47293,17.80517,7.59741,4.03103,1.85052,3.92431,11.05586,3.905,7.64534,1.84328,19.33759,1.93655,5.19655,10.67448,8.42241,7.73621,106.95793,31.95845,52.2231,41.03224,0.2769,1.20776,0.31793,0.37069,0.2769,0.89759,0.32224,0.76345,1,1,1,1.04966,0.67966,0.53448,2.28759,0.99759,0.95759,0.64086,0.32224,1,0.81776,0.82707,0.6119,0.72328,0.2769,1,1,0.67621,0.31276,2.95724,1,6,1,1.89483,9.39897,3.51897,1.32672,1,3.67897,8.34155,5.05,1.64931,1,6.92397,1,1,5.2481,2.99483,1,0.94034,0.56293,0.82362,0.875,0.85397,0.2769,0.45034,0.2769,0.5381,0.34034,0.86483,0.35017,0.79224,0.95776,0.43914,0.61707,0.54983,0.2769,0.53534,0.85276,0.5469,0.2769,0.37828,1.0381,0.43948,0.2769,0.35983,1.19103,2.51828,0.2769,2.175,1.26879,0
2017-04-03,"Standard","Essence",7.43828,1.87121,15.49534,1.975,7.16845,24.45224,5.84207,4.08914,1.67552,4.43379,10.04259,3.3581,7.06534,1.8031,18.285,1.66914,4.66948,11.24724,8.03983,7.90293,110.43707,30,52.62517,40.2731,0.36276,0.61534,0.78914,0.38121,0.28207,0.28207,0.34362,0.75259,1.00655,1,1,1,0.90069,0.61379,2.42879,0.94621,0.99069,0.53034,0.58897,1,1,0.86069,0.37569,0.42362,0.28207,1,1,0.77224,0.37379,3,1,5.24655,1,1.90517,8.8269,3.78655,1.64569,1,3.99793,6.53897,5.01345,2.02793,1,5.44069,1,1.03172,4.92966,3.17345,1,0.92448,0.72379,0.62052,0.93983,0.40741,0.28207,0.59759,0.28207,0.5669,0.2831,0.9969,0.80845,0.79466,0.70966,0.28207,0.28207,0.28207,0.28207,0.53966,0.63172,0.5619,0.28207,0.30207,1.0019,0.53345,0.28207,0.41224,0.85138,2.12897,0.28207,2.35328,1.25379,0
