"Day","Date","League","Type","Chayula.s.Breachstone","Divine.Vessel","Eber.s.Key","Esh.s.Breachstone","Fragment.of.the.Chimera","Fragment.of.the.Hydra","Fragment.of.the.Minotaur","Fragment.of.the.Phoenix","Inya.s.Key","Mortal.Grief","Mortal.Hope","Mortal.Ignorance","Mortal.Rage","Sacrifice.at.Dawn","Sacrifice.at.Dusk","Sacrifice.at.Midnight","Sacrifice.at.Noon","Splinter.of.Chayula","Splinter.of.Esh","Splinter.of.Tul","Splinter.of.Uul.Netol","Splinter.of.Xoph","Tul.s.Breachstone","Uul.Netol.s.Breachstone","Volkuur.s.Key","Xoph.s.Breachstone","Yriel.s.Key","Chayula.s.Charged.Breachstone","Chayula.s.Enriched.Breachstone","Chayula.s.Pure.Breachstone","Esh.s.Charged.Breachstone","Esh.s.Enriched.Breachstone","Esh.s.Pure.Breachstone","Tul.s.Charged.Breachstone","Tul.s.Enriched.Breachstone","Tul.s.Pure.Breachstone","Uul.Netol.s.Charged.Breachstone","Uul.Netol.s.Enriched.Breachstone","Uul.Netol.s.Pure.Breachstone","Xoph.s.Charged.Breachstone","Xoph.s.Enriched.Breachstone","Xoph.s.Pure.Breachstone","Timeless.Eternal.Emblem","Timeless.Eternal.Empire.Splinter","Timeless.Karui.Splinter","Timeless.Maraketh.Emblem","Timeless.Maraketh.Splinter","Timeless.Templar.Emblem","Timeless.Templar.Splinter","Timeless.Vaal.Emblem","Timeless.Vaal.Splinter","Fragment.of.Constriction","Fragment.of.Emptiness","Fragment.of.Enslavement","Fragment.of.Eradication","Fragment.of.Knowledge","Fragment.of.Purification","Fragment.of.Shape","Fragment.of.Terror"
35,"2019-01-10","Betrayal","Fragment",255,2,20,30,10,9.13101,10,10,20,5,28.90609,50.05723,10,1,1,2,1,2,0.26852,0.43746,0.69143,0.41491,40,82,34,35,23,200,198.87755,346.95791,25,35,124,40,60,140,60,70.8973,173.47896,36.32333,47,129.66834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2019-01-11","Betrayal","Fragment",250,2,20,30,10,9,10,10,20,6,29,52.9775,11,1,1,2,1,2.48973,0.33333,0.45455,0.77691,0.43323,41.16712,85,35,36,23,199.36989,195.83716,344,28.01668,37.30846,126,40,62.63768,142,65.81836,74.04198,172,35,45,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2019-01-12","Betrayal","Fragment",255,2,20,28,9.93208,9,10,10,19.93664,5,29,55,11,1,1,2,1,2.27224,0.33235,0.44968,0.7094,0.4,39.6907,82.73973,34,34.27761,21,199,199.57143,340,29,35,127.48998,40,59,138,68.83871,75,170,35,45,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2019-01-13","Betrayal","Fragment",255,1.92049,20,28,10,9,10,10,19.74303,5,29.66,60,12,1,1,2,1,2.48261,0.33333,0.44243,0.83333,0.41667,40,84,32.88141,35.24271,20,184.86217,192.40152,342,27,33,125.14505,38,55,140,71.07527,79.24166,170,35,47.47343,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2019-01-14","Betrayal","Fragment",256.53443,2,20,30,9.79605,9,10,10,19,5,30,64.8911,12,1,1,2,1.47579,2.5,0.33333,0.45455,0.9097,0.41031,42.10679,86,33,38,20.94268,174.19655,215.75532,380,28,35,126.98331,39,55,140,79.3,79.36,171,34.95643,46.54562,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2019-01-15","Betrayal","Fragment",270.025,2,20,35,9.70846,9,10,10,20,5,30,70,15,1,1,2,2,2.5,0.33333,0.45455,0.99003,0.41016,47,90,34,40,21.79015,171.135,197.56353,346.22831,27,35,123,38,55,137.94528,79.389,89,173.11415,34,47,125.00011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2019-01-16","Betrayal","Fragment",262.5,2,20,39.00086,10,9,10,10,20,5,30,71.27,15,1,1,2,1,2.5,0.35661,0.5,1,0.45,50,95.19233,34,43.00026,22,170,200,350,29,39.95309,118.03138,38,55.25637,130.01,80.45207,89.50232,175,35,50,121.65326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2019-01-17","Betrayal","Fragment",274.94785,2,19,38,9,9,9.77147,10,20,5.47214,29,78,15,1,1,2,1,2.5,0.4,0.5,1,0.45455,49,99.69325,34,42.00765,22,194.79012,210.68539,360,30,40,114.27887,38,58,124.63336,80.82418,89,179,35,50,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2019-01-18","Betrayal","Fragment",277.5,2,20,38,9,8,9.5,10,19.46885,5,29,79,14.24745,1,1,2,1,2.5,0.41667,0.5,1,0.4511,47.9728,105,35,43,23,239.77063,229.09434,366.57396,30,40,109,38,55,120,90,90,178.71306,35,51.01414,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2019-01-19","Betrayal","Fragment",285,2,20,38,9,8.21715,10,10,20,5,28.48583,75,14,1,1,2,1.12253,2.9905,0.4,0.5,1,0.44914,48,105,36,42,23,204.71831,214.61142,380,30,40,105,37,50,120,85.91111,90,166.515,35,50,109.7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2019-01-20","Betrayal","Fragment",303.34008,2,20,40,9,8,9.80238,9.8882,20,5,29,76.00431,14,1,1,2,1.52196,3,0.41667,0.5,1,0.45455,54.0437,101.97927,37,45,23,232.9256,224.20482,384,34.08809,40.97287,105,39.35176,51.96316,120,86.82955,98.23469,160,38,50.20167,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2019-01-21","Betrayal","Fragment",289,2,20,40,9,8,9.35858,10,20,5,28.34694,78,14,1,1,2,1.23026,2.64129,0.41683,0.5,1,0.4551,55,98.1568,38,44,23,231.47475,206.65657,350,34.02603,44,103.90485,39.04125,51.12113,119,100,98.91183,155,39.69604,50,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2019-01-22","Betrayal","Fragment",279.00435,2,20,40,9,8,9,10,19.93035,5,29,74.67782,14,1,1,2,1.91728,2.5,0.45382,0.5,1,0.47703,57,90,38.02223,44,22,193.49588,194.99,327.80671,38,42.05029,100,40,50,118.00939,98.95889,92.80998,145,39.21761,50,101.00356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2019-01-23","Betrayal","Fragment",268.72967,2,20,39,9,8,9,9.92707,20,5,28.00116,73.65028,13,1,1,2,1,2.5,0.43404,0.5,1,0.45788,54,90,38,42,21,188.59574,201.4433,329.57935,35,40,100,40,50,113,94.99129,90,150,39,50,102.07367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2019-01-24","Betrayal","Fragment",270,1.5,19.13136,38,9,8,9,9,20,5,28,79.50692,15,1,1,2,1,2.5,0.4495,0.5,1,0.47,52.6816,88.51856,39,42,21,189.54495,200,338.4153,35,40,100,40,50,116.8549,94.35786,90,152.58413,39,50,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"2019-01-25","Betrayal","Fragment",274.5444,1.80179,19,37,9,8,9,9,19,5,28.65319,81,15,1,1,2,1,2.5,0.4398,0.5,1,0.46016,51.0833,87,39,41.63422,21,190.54762,200,360,35,40,105,40,50,119,86.9127,88.85998,150,39,50,112.94688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"2019-01-26","Betrayal","Fragment",289.69886,1.37367,20,37,9,8,9,9,19.9703,5,28,83,15,1,1,2,1,2.98389,0.4,0.5,1,0.45121,52,89,39,42,21,156.89,196.54286,360,35,40,115,39,50,125,85,86.5787,162.36072,38,48.2912,118.02104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2019-01-27","Betrayal","Fragment",290.83221,1.95274,20,37.00077,9.705,8,9,9.97408,20,5,27.19691,87.91709,14,1,1,2,1,2.91869,0.40002,0.5,1,0.45455,50,90,39,42,21,172.32646,199.90642,387.65011,35,37.66182,119.00253,38,50,130,90,90,164.85337,38,49.48875,123.77277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2019-01-28","Betrayal","Fragment",310.32933,1.83176,20,36,10,8,10,10,20,5,26.78778,95,15,1,1,2,1,2.89063,0.41639,0.5,1,0.45,50,93,40,41,21,163.95761,200,388,35,35.61592,120.46921,37.0244,50,130,90.21505,90,174.64605,39.25249,50,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"2019-01-29","Betrayal","Fragment",300,1.5,19.98985,37,9.7802,8,10,10,20,5,27,100,15,1,1,2,1,3,0.43131,0.5,1,0.46659,50,93,40,42,21,154.78788,204.81129,390,35,37.36461,124,40,50,135,94.17708,90.21573,172,39,50,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"2019-01-30","Betrayal","Fragment",300,1.64004,20,37,10,7.4861,9.10624,10,20.0671,5,28,110,15,1,1,2,1,3,0.43008,0.5,1,0.47084,50,94,40,42,22,165.91579,200,385,35,36.56092,125,39,50,136.52439,93.44643,90,176.46845,39.79896,50,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2019-01-31","Betrayal","Fragment",300,1.62346,20,38,10,8,9,10,22,5,27.8,110,15,1,1,2,1,3,0.41903,0.5,1,0.46878,51,92.95894,42,41,22,212.10101,201.3,380,35,39.80141,126,39.29139,50,140,90,90.44416,178,37.48197,50,127.95448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2019-02-01","Betrayal","Fragment",299,1.0186,20,39.00505,10,8,9,10,22,5,28.49371,110,18,1,1,2,1.74265,3,0.40967,0.5,1,0.47485,52,95,40,42,22,200,199.06471,390,35,39.33095,125.88706,40,49.77663,140,93.00538,93.53187,180,38.50896,50,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2019-02-02","Betrayal","Fragment",299,1,20,40,10,8,9.05467,10,22,5,28.82,108,17.88316,1,1,2,1,3,0.42119,0.5,1,0.4878,50,95,40,42,22,209.97875,220,387.01,35,39.78993,130,40,47.51666,140,90.29762,94.01885,180,38.87246,50.07872,132.11852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2019-02-03","Betrayal","Fragment",300,1.5,20,40,9.98808,8,9,10,24,5,28,108.00656,17,1,1,2,1,3,0.45193,0.5,1,0.49244,51.16903,100,40,43,21.32704,190.02815,221.87097,380,35,39.74444,130,40,50,140,95.46471,94.97717,180,39.88044,50,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2019-02-04","Betrayal","Fragment",300.37506,1.9825,20,43.46443,9.9597,8,9.82323,10,37.15195,5,28,110,18,1,1,2,1,3,0.49296,0.5,1,0.5,53.57208,105,40,44.73004,22,193.37978,220,372,35.85052,40,130,40,50,140,96.86965,95,184.17178,40,50,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2019-02-05","Betrayal","Fragment",305,2,20,44,9,8,10,10,36.92264,5,29,110,19,1,1,2,1,3,0.44909,0.5,1,0.49281,51,105.35108,40,45,22,262.06117,220.72222,392.78679,37,40,130,40,50,140,100,96.81702,194,40,49,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2019-02-06","Betrayal","Fragment",297.73285,1,20,44,10,8,10,10,37,5,29,110,19,1,1,2.19521,1.44235,3,0.45455,0.5,1,0.5,50,106.92484,40,45,22,261,219.63158,375,35,40,130.99452,40,49,137.95757,98.77041,100,190,40,48.79424,133.58461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2019-02-07","Betrayal","Fragment",290,1,20,43,10,8,10,10,35.4036,5,29.17535,114.43797,18.04545,1,1,2,1,2.97605,0.4426,0.5,1,0.49106,47,104.62121,41,45,22.94365,250.875,217.33696,380,37.699,40,134,40.86224,50,135.60053,103.51248,100.10675,191.62875,40,49.83391,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2019-02-08","Betrayal","Fragment",294,1.5,20,43,10,8,10,10,36,5,30,118.99261,18,1,1,2.7824,1.5,2.8,0.43916,0.5,1,0.48843,47,106.58292,41,45,23,238.51515,211.93478,389.47478,36,42,137.02903,40.582,50,140,105.33483,107.47312,195,40,50,138.6839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2019-02-09","Betrayal","Fragment",297.93273,1,20,43,10,8,10,10,37,5,30,120,18,1,1,3,1,3,0.43478,0.5,1,0.4878,47,106.87322,41,45,23,193.4794,220,406.32602,39.24372,42.22549,138,42.88555,49.7551,144.17565,107.77466,109.81963,196.25866,40.12885,50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"2019-02-10","Betrayal","Fragment",299.93567,1.5,20,43,10,8,9.87831,10,37,5,30,120,18,1,1,2.8,1.2464,3,0.47274,0.5,1,0.5,48,108,42,45.51126,23,187.89894,210.18557,419.7885,40,45,140,45,49.72,148,106.79381,110,200,40.93673,50,142.4374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"2019-02-11","Betrayal","Fragment",299.89198,1.5,20,45,10,8,10,10,37,5,28.39368,145,17,1,1,2.73568,1,3,0.4348,0.5,1,0.48235,49,110,45,47,23,186.13174,202.28571,430,40,45,144.89004,44,50,149,104.86842,110,200,40.93407,50,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"2019-02-12","Betrayal","Fragment",301.50041,1,20,45,10,8,9,10,37,5,29,140,15,1,1,2.15605,1,3,0.45455,0.5,1,0.47639,49.14084,110,48.65909,47,23,175.40785,205.80645,420,40,45,145,45,50,149.83033,105.15152,122.5,200,41.88842,50,145.20885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"2019-02-13","Betrayal","Fragment",302.32165,1,20,46.56395,10,8,9,10,37,5,29.558,135,15,1,1,2,1,3,0.48703,0.5,1,0.5,50,110,62.71956,47.26016,23,175.65789,227.42371,420,40,45,144,45,50,148.46482,100.24457,125,209,44,50,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"2019-02-14","Betrayal","Fragment",320,1,20,45,10,8,9,10,37,5,30,130,15,1,1,2,1,3,0.48135,0.5,1,0.4981,50,110,64.79935,48,24,176.5595,230.28351,420,40.03953,48,144,44.78617,50,149,105.68421,124.18478,210,42.03261,50,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"2019-02-15","Betrayal","Fragment",320,1,19,46,10,8,10,10,36.73419,5,30.93014,130,14,1,1,2,1,3,0.47619,0.5,1,0.5,52,114.98,71.21053,49,24,228.3617,248.33196,420,41,48.86304,144,45,50,150,108.20408,120.61494,211.72144,44.64369,50,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"2019-02-16","Betrayal","Fragment",315.25265,1.4581,19,48,10,8,9.00011,9.76283,35,5,31.00134,129.39808,14,1,1,2,1,3,0.47746,0.5,1,0.5,52.00058,116.81422,73.54612,50,24,249.00011,245.5875,422.5364,41.37897,48.47333,145,45,50,151.76809,117.675,121.25882,215,43.01452,50,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"2019-02-17","Betrayal","Fragment",314.24981,1.51606,20,48,10,8,10,10,35,5,32,130,15,1,1,2,1,3,0.47104,0.5,1,0.5,51.56772,110,70.05008,50,24,249.63267,253.7199,418.96422,44,46.90685,145,45,51.1697,153.07303,139.79798,130,209.96428,41.1284,50,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"2019-02-18","Betrayal","Fragment",307.4603,1.86556,19,49,10,8,9.91508,10,35,4,32,130,14,1,1,2,1.33306,3,0.49408,0.5,1,0.5,53.00026,111.92352,70.17819,50,24,242.34474,245.40691,400,44.9384,47.02742,145.00046,43.1684,55,150,154.85,130,200,40.00386,50,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"2019-02-19","Betrayal","Fragment",300,1.53869,19,50,10,8,9,10,30,4,35,130,14,1,1,2.5,1.01766,2.99276,0.49373,0.5,1,0.5,58.27672,120,70,52,24,240,263.2551,380,45,47.76023,141.785,45,50,151,152.42424,128.63871,200.07229,43.77668,50,147.23443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"2019-02-20","Betrayal","Fragment",298.74788,1.6017,19.5,50,9.32015,8,9,10,33.34844,5,35,130,14,1,1,2,1,2.89784,0.48415,0.5,1,0.5,55.30872,123,70,54,23,244.1,265.8,380,44.89167,47.90761,135,42.47182,50,146.73181,150.48437,124.66364,210,46.61035,50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"2019-02-21","Betrayal","Fragment",296.12782,1,20,50,9.65391,8,9,10,35,5,38.05692,130,15,1,1,2.5,1,2.95039,0.49116,0.5,1,0.5,55,120,70,53,22.50678,270.94898,251.48315,389.89239,44,46.67949,135,42.31105,50,140,151.072,126.45455,219.31716,50,50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"2019-02-22","Betrayal","Fragment",299,1.5,20,50,9,7.4305,9,10,35,4.14595,40,130,15,1,1,2.375,1,2.95276,0.5,0.5,1,0.5,54,121.0041,70,52.4215,22,307.16058,234.62626,390.80061,45,47.16146,135,43,50,139,136.2,126.08791,200,44.26364,50,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"2019-02-23","Betrayal","Fragment",299.3101,1.0002,20,49,9.00021,8,9,9.37,35.30061,4.83714,50,134.33655,15,1,1,2,1,2.58325,0.49882,0.5,1,0.5,52,135.37471,68.15489,50,22.84323,307.92,236.05051,385,45,48,130,42.92222,50,135.1421,137.425,121.67391,202.6696,45,50.14713,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"2019-02-24","Betrayal","Fragment",299.381,1.92663,20,48,10,8,9,10,37.34972,4.0401,50,132.2962,15,1,1,2.37031,1,2.91316,0.49104,0.5,1,0.5,50.42083,139,70,50,23.83929,275.9697,235.15464,380,44.04925,45.40625,133,43.71739,50,135.99066,137.97938,120,213.92345,45,52.76667,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"2019-02-25","Betrayal","Fragment",290,1,20,47,10,8,9.17544,10,37.92137,5,49,131.42892,15,1,1,2,1,2.5,0.5,0.5,1,0.5,49,133,67,49,26.50954,255.93939,236.04167,380.70753,43.10781,46.27541,138,45,50,139,140,120,215.76232,45,50.45,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"2019-02-26","Betrayal","Fragment",280,1,20,45,10,8,10,10,38.66317,5,50,136.53254,15,1,1,2,1,2.5,0.5,0.5,1,0.5,48.46947,130,65.86858,48,30,258.16327,236.94737,379.58747,45,45,139.66177,45,50,140.04061,146.78788,121.40625,215,43.076,50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"2019-02-27","Betrayal","Fragment",278.47761,1,20,45,10,8,10,10,36,5,50,140,15.8468,1,1,2.21641,1,2.41802,0.48894,0.5,1,0.5,47.01148,130,65,47,31.39906,265.2,242.76596,380,45,45,140,45,49.55102,140,143.22,127.57143,218.02108,43.43478,50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"2019-02-28","Betrayal","Fragment",280,1.00571,20,45,10,8,10,10,35,5,52.47498,140,15,1,1,2.46742,1,2.49967,0.4936,0.49846,1,0.5,47.12948,130,60,48,30,265.2,232.96,370,40,45.67391,144,41.71196,50,145,147.71717,128.70103,220,45.548,55,145.00019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"2019-03-01","Betrayal","Fragment",270,1.5,20,45,9.23928,8,9,10,35.18367,3,51.02927,140,14,1,1,2,1,2.10013,0.49427,0.49855,1,0.5,45,126.98655,60,47,31.144,220.10309,254.26804,390,43.63855,45,145,40.195,45.85667,145,137.71717,136.41053,219.21659,45.69149,55,148.75341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"2019-03-02","Betrayal","Fragment",270,1,20,44,10,8,9,10,35.22861,3,55,140,15,1,1,2,1,2.16277,0.4937,0.5,1,0.5,44.99505,126.60606,59.74074,45.868,30,128.20076,235.81443,389.32877,45,45,146.31429,40,48.652,149,123.56,138.6,218.76155,45,55,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"2019-03-03","Betrayal","Fragment",270,1,20,43,10,8,9,10,36,3.8776,59.85769,139.99257,15.32813,1,1,2,1,2.5,0.5,0.5,1.5,0.5,43.47944,129.48901,58.82589,45,32,150.40404,223.56,390,45,45,148.11173,40.48913,46.33333,150,142.9697,90.05102,215,45,54.23854,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"2019-03-04","Betrayal","Fragment",270.58303,1,20,40,10,8,9,9.68657,40,4,60,158.48404,15,1,1,2,1,2.47353,0.48769,0.5,1,0.5,41.2716,129.93708,55.2555,44,31.98172,129.2,224.4898,393.8073,45,46.61039,142.03192,40,45,149,140,140.78947,220,45,49.95102,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"2019-03-05","Betrayal","Fragment",271.26404,1.0404,20,39,9.32111,8,9.78545,9.825,24.53895,5,57.2,152.00633,15,1,1,2,1,2.45325,0.5,0.5,1,0.5,42,128.67978,52.84848,44.32784,31.15238,93.08,202.26804,390,45,45,135,40.72,45.63297,140,140,320,222.53763,44.88163,49.53608,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"2019-09-06","Blight","Fragment",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2,"2019-09-07","Blight","Fragment",60,1,2,20,18.67021,20,14.1,17.17071,7,3,9.60517,10,4,1,1,2,1,0.86386,1,1,1,0.49963,18,21.17201,10,15.21935,13.5575,0,0,0,23.1,0,62,20.545,34,0,59,0,154.81959,20.32744,30,48.19188,0,1,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
3,"2019-09-08","Blight","Fragment",108,1.91878,2,16.48889,13.49912,10,14,11,4.38694,3,9,12,5,1,1,2,1,0.5,0.5,0.5,0.5,0.33333,21.63636,23.26531,3,14.31755,9,0,0,220,11,31.449,54,24.1044,27.07,62.69286,69,0,89.90152,15.23366,35,53.73539,0,1,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
4,"2019-09-09","Blight","Fragment",189.44426,2,2.17356,15,12,8,12.73674,10,5,4,9,11,5,1,1,2,1,1,0.33333,0.34062,0.4086,0.30769,35,30,3,22.71114,9,150,245,297.59165,12.30572,33,48.59958,29.86932,47.15,93.42424,30,0,87,15,33.12626,55.78278,70,0.5,0.5,171.304,1,147,1,83.42257,0.5,NA,NA,NA,NA,NA,NA,NA,NA
5,"2019-09-10","Blight","Fragment",204,2,6,10,11,7,10,8,7,4,9,11,5,1,1,1.90909,1,1,0.26715,0.33333,0.329,0.27489,32,29.06554,3,16.90135,10,174.78788,255.75864,306.07532,12,28.04175,82.73023,37.24431,55,122.03543,25,31.41111,100.975,17,33.91,88.04396,49.57143,0.5,0.5,165.66316,1,101.22826,1,42.04474,0.5,NA,NA,NA,NA,NA,NA,NA,NA
6,"2019-09-11","Blight","Fragment",208.35813,3,6.72064,8,11,7,9,7,8,4,10,10.1002,5,1,1,1.5,1,1.5,0.25641,0.33333,0.33333,0.25387,25,26.80562,4,12,12,165,248,311.80236,10,23.04224,89.137,28,50.76,104.11031,23.85263,60.05469,118.50688,13.32644,25,90,38.04371,0.5,0.5,148.50968,1,110,1,40,0.5,NA,NA,NA,NA,NA,NA,NA,NA
7,"2019-09-12","Blight","Fragment",224.9537,4,7,5.49026,11,7,9,8,10,4,10,11,7,1,1,1.80892,1,1.5,0.25,0.33333,0.33333,0.25763,20,24.61583,3.36386,11,15,236.3952,278,353.58473,8.86421,19,75,27,41.55052,120,20.32644,35.3903,128.83081,11,24,90.22397,30,0.5,0.5,142.47355,1,134.54883,1,39,0.5,NA,NA,NA,NA,NA,NA,NA,NA
8,"2019-09-13","Blight","Fragment",226.5,4,9,4,11,8,9,8,14,4,10,11,7,1,1,1.80748,1,1.89477,0.2069,0.33333,0.33333,0.25557,20,25,4,10,15,226.48215,220,320,9,19,75.5,28,40,92.83861,20.76988,35,107.93529,13,24.56915,77.5,30,0.5,0.5,232.57084,1,155,1,40,0.5,NA,NA,NA,NA,NA,NA,NA,NA
9,"2019-09-14","Blight","Fragment",224.65428,3.50023,10,4,11,8,8.71171,8,15,4,10,11.94974,7,1,1,1.67203,1,1.5,0.19307,0.33333,0.33333,0.25,21.64823,35.16631,4,10,15,162.19507,212.42857,312.65799,8,30,57.88394,30,44.95816,87.36797,21.82752,35.26596,100,14,35,70,28.71364,0.5,0.5,210,1,140,1,40,0.5,NA,NA,NA,NA,NA,NA,NA,NA
10,"2019-09-15","Blight","Fragment",222,4,11.4448,4,11,8,8,8,17,4,10,11.61937,7.62643,1,1,1.9099,1,2,0.17094,0.33333,0.33333,0.25359,24,35.59802,4.33417,12.96923,19,150.24416,151,301.23662,7.99005,26.46277,59.97179,30,45,86.28116,20,34.51573,100,14,30,68.17671,35.43434,0.5,0.5,286,1.81193,148.43604,1.58219,74.75957,0.5,NA,NA,NA,NA,NA,NA,NA,NA
