"Day","Date","League","Type","Anatomical.Knowledge","Ancient.Waystones","Apparitions","Assassin.s.Haste","Atziri.s.Reign","Blood.Sacrifice","Brawn","Brittle.Barrier","Brute.Force.Solution","Careful.Planning","Cheap.Construction","Chill.of.Corruption","Clear.Mind","Coated.Shrapnel","Cold.Steel","Collateral.Damage","Combustibles","Conqueror.s.Efficiency","Conqueror.s.Longevity","Conqueror.s.Potency","Corrupted.Energy","Dead.Reckoning","Efficient.Training","Eldritch.Knowledge","Emperor.s.Cunning","Emperor.s.Mastery","Emperor.s.Might","Emperor.s.Wit","Energised.Armour","Energy.From.Within","Fertile.Mind","Fevered.Mind","Fight.for.Survival","Fireborn","First.Snow","Fluid.Motion","Fortified.Legion","Fragile.Bloom","Fragility","From.Dust","Frozen.Trail","Grand.Spectrum","Growing.Agony","Hair.Trigger","Hazardous.Research","Healthy.Mind","Hidden.Potential","Hotfooted","Hungry.Abyss","Inertia","Inevitability","Inspired.Learning","Intuitive.Leap","Izaro.s.Turmoil","Lioneye.s.Fall","Malicious.Intent","Mantra.of.Flames","Martial.Artistry","Might.and.Influence","Might.in.All.Forms","Mutated.Growth","Omen.on.the.Winds","Overwhelming.Odds","Pacifism","Pitch.Darkness","Poacher.s.Aim","Powerlessness","Primordial.Eminence","Primordial.Harmony","Primordial.Might","Pugilist","Pure.Talent","Rain.of.Splinters","Rapid.Expansion","Reckless.Defence","Ring.of.Blades","Rolling.Flames","Sacrificial.Harvest","Self.Flagellation","Shattered.Chains","Soul.s.Wick","Spire.of.Stone","Spirit.Guards","Spirited.Response","Spreading.Rot","Static.Electricity","Steel.Spirit","Sudden.Ignition","Survival.Instincts","Survival.Secrets","Survival.Skills","The.Anima.Stone","The.Blue.Dream","The.Golden.Rule","The.Green.Dream","The.Green.Nightmare","The.Long.Winter","The.Red.Dream","The.Red.Nightmare","The.Vigil","To.Dust","Unending.Hunger","Unstable.Payload","Vaal.Sentencing","Violent.Dead","Volley.Fire","Warlord.s.Reach","Watcher.s.Eye","Weight.of.Sin","Weight.of.the.Empire","Wildfire","Winter.s.Bounty","Winter.Burial","Might.of.the.Meek","Combat.Focus","Tempered.Flesh","Tempered.Mind","Tempered.Spirit","The.Blue.Nightmare","Transcendent.Flesh","Transcendent.Mind","Transcendent.Spirit","Unnatural.Instinct","Brutal.Restraint","Divide.and.Conquer","Elegant.Hubris","Fortress.Covenant","Glorious.Vanity","Lethal.Pride","Militant.Faith","Quickening.Covenant","Army.of.Bones","Thread.of.Hope"
19,"2018-03-20","Bestiary HC","UniqueJewel",4.89176,0.9602,0.31392,0.31392,0.58804,0.3151,0.50314,0.56196,0.99745,0.9951,0.31392,1,1.54451,0.31392,0.31647,0.41157,0.62784,0.31392,0.31392,0.31392,2,4.07059,5.26471,0.31392,13.27196,220.88235,0,29.87686,0.31392,32.67,0.95039,1.88686,0.89353,1.39725,0.94706,0.48549,0.31392,0.31392,4.27137,1,0.95784,2.13784,0.31392,0.31392,0.31392,0.99804,0.98725,0.31392,1,0.45235,0.31392,38.90882,6.23784,1,86.2902,0.3149,0.90725,0.31392,0.81725,0.31392,0.57863,0.32863,0.65529,0.96333,0.67216,0.31392,0.82275,0.99431,6.82196,100.44098,0.31392,18.06529,0.31686,0.31392,27.12961,0.33059,0.31392,1,0.91647,0.31392,0.31392,0.99,0.31392,0.31471,0.62255,0.97314,0.31392,0.31392,0.26804,0.1751,0.31392,110.30961,72.36706,0.31392,79.72843,NA,7.14882,85.6302,0,0.99863,7.90529,5.30922,0.49157,0.77961,0.88392,0.49608,0.31392,83.91745,0.88804,0.77373,0.79745,0.31392,0.31392,116.79412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2018-03-21","Bestiary HC","UniqueJewel",4.86294,0.96529,0.31,0.31,0.61078,0.31098,0.47451,0.50235,1,0.99451,0.31,1,2,0.31,0.31059,0.31706,0.61843,0.31,0.31,0.31,2,3.37294,6.74216,0.31,10.96882,228.82353,40,22.12824,0.31,32.41314,0.98255,2.05784,0.7698,1.99039,0.87627,0.38529,0.31,0.31,4.16294,1,0.99176,2.00745,0.31,0.31,0.31,0.98882,0.87667,0.31,1,0.51196,0.35,36.67431,6.04902,1,80.11804,0.31078,0.63784,0.31,0.74824,0.31,0.38412,0.35,0.71216,0.98686,0.82412,0.31,0.8002,0.9998,7.5251,98.34627,0.31,18.40392,0.68922,0.31,31.27333,0.31078,0.31,1,0.74176,0.31,0.31,0.99745,0.31,0.31,0.62471,0.91843,0.31,0.31,0.30745,0.23196,0.31,109.22333,72.71647,0.31,93.31196,NA,7.22196,93.78824,0,0.99765,7.83529,5.46941,0.5949,0.90902,0.96078,0.68157,0.31,63.1402,0.73235,0.91725,0.84667,0.31,0.31,115.25843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2018-03-22","Bestiary HC","UniqueJewel",4.9122,0.9944,0.2998,0.2998,0.515,0.3038,0.7022,0.3052,0.9992,0.9928,0.2998,1,2,0.2998,0.2998,0.361,0.5234,0.3048,0.2998,0.2998,2,4.0492,6.1146,0.3142,10.7528,236.8,40.22857,21.7824,0.2998,27.0352,0.9992,2.114,0.7078,2,0.8466,0.5836,0.2998,0.2998,4.7718,0.996,0.941,2,0.3,0.2998,0.3204,0.963,0.9504,0.3014,1,0.8238,0.3044,37.7064,6.2862,1,74.59,0.3004,0.818,0.2998,0.4048,0.2998,0.3348,0.4094,0.9898,0.9994,0.8366,0.2998,0.7328,1,6.6588,92.2928,0.2998,18.4624,0.6164,0.2998,37.1768,0.3172,0.3042,1,0.9138,0.2998,0.3016,0.9848,0.2998,0.31,0.6272,1,0.2998,0.2998,0.2998,0.2998,0.2998,110.0608,68.2908,0.2998,104.6768,NA,7.4712,155.431,0,0.8068,8.641,6,0.4816,0.6116,0.8504,0.7496,0.2998,56.769,0.7328,0.9556,0.9884,0.2998,0.3382,134.2846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2018-03-23","Bestiary HC","UniqueJewel",4.2449,0.89216,0.28961,0.28961,0.29608,0.32314,0.71471,0.29882,0.91,0.90176,0.28961,1,1.85608,0.28961,0.28961,0.48902,0.33098,0.28961,0.28961,0.29608,2,3.4851,5.16157,0.42784,10.07843,203.0149,28.81,19.4649,0.28961,25.22059,0.99412,2.60863,0.44784,1.43314,0.95804,0.4798,0.40804,0.28961,4.06804,0.99451,0.99804,1.77863,0.29529,0.28961,0.29686,0.99627,0.93588,0.31647,1,0.70686,0.29373,37.32,6.04765,1,68.95137,0.28961,0.90745,0.29078,0.52902,0.30196,0.28961,0.32098,0.85412,0.91392,0.84863,0.28961,0.79333,1,4.89627,93.59412,0.28961,18.8251,0.52157,0.28961,33.70784,0.42412,0.29294,0.99471,0.90569,0.28961,0.30882,0.99314,0.28961,0.33765,0.5351,0.99863,0.3102,0.29373,0.28961,0.28569,0.28961,119.33745,67.89314,0.28961,110.57,NA,8.69137,200.17275,0,0.87549,9.91706,5.23412,0.61588,0.32588,0.94373,0.57784,0.28961,61.86784,0.65569,0.74098,0.94569,0.28961,0.31745,123.82647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2018-03-24","Bestiary HC","UniqueJewel",3.8188,0.956,0.2754,0.2754,0.2894,0.3158,0.7802,0.2754,0.8434,0.8694,0.2754,1,1.7198,0.2764,0.2754,0.4794,0.33,0.2754,0.2754,0.2754,1.9658,3.0572,4.2582,0.3002,10,179.7936,26.39,19.7228,0.2754,26.6784,0.5624,2,0.3264,1.6974,0.832,0.6034,0.3998,0.2742,4.9162,0.958,0.9846,2.0216,0.2754,0.2754,0.2766,0.9634,0.7666,0.2768,1,0.7826,0.3318,34.6396,5.4188,1,62.5438,0.2754,0.88,0.2754,0.464,0.4688,0.2754,0.2762,0.761,0.6854,0.7742,0.2754,0.7578,1,5.0694,89.3742,0.2754,19.0428,0.3288,0.2754,30.5116,0.39,0.2886,0.8816,0.9646,0.2754,0.2964,0.7466,0.2754,0.3274,0.4722,1,0.2946,0.2754,0.2754,0.26,0.2754,123.697,65.387,0.2754,118.1222,NA,9.9196,191.7388,0,0.9588,11.6302,4.6696,0.7624,0.3686,0.805,0.6536,0.2754,51.2512,0.33,0.6536,0.9708,0.2754,0.3,116.9602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2018-03-25","Bestiary HC","UniqueJewel",3.42408,1,0.26082,0.26082,0.29592,0.26082,0.57449,0.26082,0.90061,0.89673,0.26082,1,1.80653,0.26082,0.26082,0.32531,0.32796,0.26082,0.26082,0.26082,1.59245,2.99347,3.99367,0.26082,10.4298,191,26.21612,20,0.26082,26.36347,0.46408,2.30041,0.84367,2,0.71694,0.48633,0.28082,0.25755,4.27245,0.99061,0.98837,2.00592,0.26082,0.26082,0.34122,0.93082,0.70837,0.26102,0.9751,0.45837,0.33633,33.17449,5.42694,1,57.99306,0.26082,0.83122,0.26082,0.49449,0.41,0.27,0.26082,0.7251,0.92204,0.5249,0.26082,0.7051,1,4.55,84.42776,0.25776,19.03776,0.35408,0.26082,29.42776,0.37714,0.26082,0.9802,0.97531,0.26082,0.26082,0.58184,0.26082,0.30551,0.77143,1,0.26082,0.26102,0.26082,0.25735,0.26082,113.35265,60.26,0.26082,112.80939,NA,9.72347,157.23898,0,0.78082,11.75531,4.73,0.46,0.51673,0.4998,0.62388,0.26082,47.88327,0.33286,0.36143,0.9798,0.26082,0.26082,127.6249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-03-26","Bestiary HC","UniqueJewel",3.63059,0.72431,0.25961,0.25961,0.48137,0.27392,0.6149,0.27843,0.86196,0.58098,0.25961,1,1.04255,0.26667,0.25961,0.34863,0.34412,0.25961,0.25961,0.25961,1,3.36745,3.6302,0.25961,10.99353,191.36176,25.7,20,0.25961,26.54118,0.78922,3.7798,0.66843,1.98863,0.83157,0.45882,0.25961,0.26314,4.03353,0.99569,0.97392,2,0.25961,0.25961,0.46098,0.98745,0.78627,0.2598,0.90745,0.3398,0.3598,35.49098,5.34588,1.00176,54.78451,0.25961,0.76941,0.25961,0.65294,0.34941,0.3151,0.31588,0.59784,0.92118,0.61706,0.25961,0.72392,0.99863,4.98922,79.54353,0.25961,18.04137,0.37,0.25961,28.61608,0.45882,0.26235,0.99725,0.90196,0.25961,0.25961,0.62412,0.25961,0.3449,0.81451,1,0.25961,0.29373,0.25961,0.25275,0.25961,127.02451,54.06569,0.25961,105.25765,NA,8.84,122.57176,0,0.86922,10.42392,4.92784,0.40941,0.46235,0.76,0.58176,0.25961,46.84569,0.3451,0.51824,0.98353,0.25961,0.28706,130.10706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-03-27","Bestiary HC","UniqueJewel",3.4612,0.4538,0.2526,0.2526,0.7508,0.309,0.3514,0.2786,0.6916,0.2742,0.2526,1,1.1764,0.2534,0.2526,0.2526,0.293,0.2526,0.2526,0.2526,1.1352,2.987,3.2288,0.2566,10.99,189.9022,25.7,20.7254,0.2526,24.955,0.8044,4,0.807,2,0.617,0.584,0.2526,0.2526,4.5778,1,0.9564,1.8182,0.2526,0.2526,0.2788,1,0.759,0.2526,0.9466,0.3202,0.3072,37.3506,4.9838,1.0224,64.0742,0.2542,0.7606,0.2572,0.5466,0.2768,0.344,0.4278,0.5876,0.9578,0.8378,0.2526,0.7362,1,4.4248,77.1672,0.2526,17.0412,0.39,0.2526,29.7846,0.5288,0.2544,0.9772,0.9134,0.2526,0.2526,0.5838,0.2526,0.3028,0.9416,1,0.2604,0.2526,0.2526,0.2514,0.2526,105.9826,44.2992,0.2526,100.1618,NA,7.5106,113.185,0,0.7572,9.3648,4.7092,0.3246,0.4714,0.8954,0.5234,0.2526,48.3292,0.3554,0.4632,0.8978,0.2526,0.2914,133.4912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-03-28","Bestiary HC","UniqueJewel",4,0.4854,0.25,0.25,0.8794,0.2952,0.5898,0.2762,0.8028,0.593,0.25,1,1.371,0.2686,0.25,0.5884,0.2874,0.25,0.25,0.25,1.0336,2.759,3.6318,0.3096,11.6,177.0588,25.7,22.094,0.25,24.0454,0.8882,4,0.7538,2,0.8396,0.5442,0.2536,0.25,4.6338,0.9996,0.9946,1.627,0.25,0.25,0.2508,0.9982,0.8772,0.2508,1.176,0.2838,0.333,36.1858,5,1.3372,66.6152,0.2656,0.5812,0.25,0.4186,0.262,0.342,0.556,0.4202,0.9902,0.6564,0.25,0.7204,1,3.8082,68.3306,0.25,15.6308,0.3776,0.25,29.9256,0.4696,0.25,0.9714,0.9776,0.25,0.25,0.81,0.25,0.25,0.7124,1,0.312,0.25,0.2498,0.2428,0.25,102.3586,28.8658,0.25,105.3532,NA,7.992,113.166,0,0.8948,12.337,4,0.3422,0.5068,0.6898,0.7608,0.25,45.6316,0.3074,0.6262,0.8588,0.2766,0.3516,121.9424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-03-29","Bestiary HC","UniqueJewel",3.242,0.5136,0.2458,0.2458,0.9884,0.2458,0.847,0.2458,0.6468,0.896,0.2458,0.9442,1.9302,0.2458,0.2598,0.7996,0.2458,0.2458,0.2458,0.2458,0.9858,3,3.8956,0.353,10.16,183.722,25.448,20.2,0.2458,24.1914,0.9696,4.091,0.72,1.9912,0.706,0.8116,0.288,0.2458,4.4438,1,0.9426,2.1472,0.2458,0.2458,0.2522,1,0.9964,0.2458,1.2024,0.2654,0.3696,35.5022,5,1,73.1514,0.2484,0.5954,0.2508,0.3896,0.2458,0.3394,0.5352,0.3564,0.994,0.6842,0.2548,0.7042,1,3.9394,75.337,0.2458,15.5256,0.371,0.2458,29.941,0.5732,0.2458,1,0.9872,0.2464,0.2458,0.6928,0.2458,0.2458,0.8352,0.9966,0.3046,0.2458,0.2458,0.2406,0.2458,124.4708,27.5602,0.2458,115.2232,NA,7.7204,132.263,0,0.8062,17.3952,3.9268,0.3272,0.7042,0.7782,0.5322,0.2458,54.3952,0.2908,0.5046,0.9908,0.246,0.3088,129.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-03-30","Bestiary HC","UniqueJewel",3,0.24,0.24,0.246,0.95067,0.25956,0.458,0.24,0.98644,0.64133,0.24,0.92133,1.51133,0.24,0.33733,0.29956,0.24,0.24467,0.24,0.24,0.95422,2.83178,2.99089,0.35022,10.1,191.23467,37.80488,20,0.24311,24.69222,0.99489,4.36022,0.49378,1.75889,0.90511,0.82822,0.24,0.242,4.81911,1,0.96889,2,0.274,0.24,0.26978,1,0.98378,0.24,1,0.24,0.45356,35.37978,4.99467,1.05133,80.77756,0.24,0.49467,0.26578,0.26867,0.24622,0.43667,0.24689,0.47556,0.99867,0.83089,0.30689,0.71756,1,3.668,79.11511,0.24,16.07356,0.64911,0.26,29.07067,0.43067,0.31822,0.97111,0.99956,0.292,0.24,0.536,0.24,0.24,0.65311,0.99378,0.27889,0.24,0.24,0.24,0.24,100.02356,27.69444,0.24711,118.794,NA,7.638,121.50267,0,0.94556,20.39289,3.92156,0.26244,0.93489,0.82622,0.56089,0.24,56.76467,0.36489,0.46822,0.99689,0.24,0.27978,139.46244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-03-31","Bestiary HC","UniqueJewel",3,0.24,0.24,0.24,0.87841,0.32841,0.46795,0.24,0.94932,0.50136,0.24,0.86,2.18659,0.24,0.26818,0.32409,0.24,0.26659,0.24,0.24159,0.955,2.71955,3.52409,0.25864,10.1,180.03045,23,20,0.24,25.06977,0.99614,4.78614,0.71977,1.96318,0.91545,0.92818,0.24,0.24227,4.93023,1,0.99977,2.02023,0.24,0.24,0.3075,1,0.87545,0.24,1,0.24,0.37227,36.84545,5,1.87068,78.30682,0.24,0.46545,0.24,0.39977,0.24,0.52386,0.27068,0.44523,0.81773,0.80136,0.29,0.76977,0.99932,4,78.25955,0.24,16.16114,0.78159,0.28409,27.32295,0.40591,0.43386,0.94864,0.92364,0.24,0.28636,0.52636,0.24,0.24,0.68455,1,0.24114,0.28773,0.24,0.24,0.24,91.83932,27.66114,0.24159,115,NA,7.85932,115.54773,0,0.9975,19.80432,3.89636,0.31818,0.96068,0.83841,0.54091,0.24,55.26795,0.36,0.8425,0.96591,0.24,0.32795,147.87386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-04-01","Bestiary HC","UniqueJewel",3,0.24,0.24,0.24,0.48659,0.25,0.585,0.24,0.99841,0.71682,0.24,0.7925,2,0.24,0.26159,0.26068,0.24477,0.26205,0.24,0.24932,0.98773,2.615,3.57273,0.24,9.73091,187.49523,23,20.50955,0.24,25.10523,0.98727,5.01932,0.73841,1.72818,0.99932,0.89364,0.24,0.24,4.67523,1,1,2.89614,0.24,0.24,0.25432,1,0.97023,0.24,1,0.24364,0.45205,37.33773,5,1.65318,71.54386,0.24,0.43818,0.24,0.50227,0.24,0.54023,0.28932,0.58295,0.83545,0.99932,0.26182,0.76455,1,3.99955,79.51205,0.24591,15.58841,0.62909,0.24,33.61591,0.35614,0.29841,0.94,0.835,0.24,0.2775,0.54341,0.24,0.24,0.77227,0.99341,0.24,0.31045,0.24,0.24,0.24,100.46364,32.375,0.24,115,NA,7.27432,107.20977,0,0.96932,18.13386,3.66273,0.35205,0.96682,0.54114,0.54,0.24,63.82023,0.24909,0.885,0.96636,0.24,0.24,147.0775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-04-02","Bestiary HC","UniqueJewel",3,0.24,0.24,0.24,0.56222,0.34111,0.57022,0.24,1,0.94044,0.24,0.79178,1.86,0.24,0.24,0.48422,0.33044,0.24,0.24,0.24,1.37867,2.03489,3.22267,0.24,8.86,206.49778,23,20.69711,0.24,27.41578,0.99156,4,0.90578,1.56422,0.89622,0.87889,0.24,0.24,4.41089,1,0.99711,2.11156,0.24,0.24,0.29889,1.00222,0.89933,0.23689,1,0.24489,0.456,39.47133,5,1.19556,65.52844,0.24178,0.40244,0.24667,0.66289,0.24,0.75156,0.33778,0.41711,0.96889,1,0.24333,0.83956,1,3.42267,79.80089,0.25956,16.28289,0.50156,0.24,35.74022,0.29422,0.26933,0.94778,0.82644,0.24,0.24978,0.59133,0.24,0.24,0.77333,0.94911,0.24,0.24,0.24,0.24,0.24,96.98267,31.46689,0.24,172.39529,NA,6.87711,111.78089,0,1,18.68667,3.72822,0.35156,0.98867,0.89178,0.62467,0.24,60.48622,0.43689,0.49556,0.99089,0.24,0.24,151.10356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-04-03","Bestiary HC","UniqueJewel",3,0.24067,0.24067,0.24067,0.72489,0.286,0.62378,0.24067,1,0.61733,0.24067,0.87422,1.76156,0.24067,0.29311,0.57533,0.39222,0.24067,0.24067,0.24067,1,2.94089,2.99778,0.24067,8.81022,232.942,23,20,0.24067,30.77533,0.91,5.316,0.87356,1.35711,0.90489,0.85911,0.24067,0.24067,4.28622,1,0.93778,2.53889,0.24067,0.24067,0.24067,1,0.92244,0.24067,0.99444,0.29267,0.31467,42.258,5,1.00178,68.58889,0.24067,0.46511,0.27044,0.46733,0.24067,0.95778,0.24067,0.25333,0.94356,0.954,0.25511,0.79467,1,4.11644,79.45756,0.24067,15.73622,0.37267,0.24067,38.81533,0.27889,0.39511,0.984,0.88,0.24244,0.24067,0.78111,0.24067,0.24222,0.98889,1,0.24067,0.24067,0.24067,0.24067,0.24067,94.15844,34.94422,0.24067,205.83533,NA,6.87733,113.80511,0,0.99378,19.43822,3,0.46489,0.99067,0.80867,0.58267,0.24067,65.536,0.524,0.66867,0.94311,0.24378,0.26667,155.24222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-04-04","Bestiary HC","UniqueJewel",3.0025,0.24,0.24,0.24,0.62364,0.24,0.46886,0.24,0.98159,0.53727,0.24,1,1.52295,0.24,0.31614,0.3725,0.4,0.24,0.24,0.25068,0.99864,3,3,0.25523,8.30182,235,23,20,0.24,32.73636,0.72341,7.83341,0.47023,1.57727,0.98705,0.80773,0.24,0.24,4.16091,1,0.97477,3.63295,0.24,0.24,0.24477,0.99045,0.95818,0.24,1,0.37477,0.38909,69.94205,5,1,67.07318,0.24,0.47045,0.42659,0.40295,0.24,0.8775,0.24,0.27136,0.96977,0.97227,0.24159,0.90023,1,4.78432,81.54659,0.24,15.02477,0.57977,0.24,39.0875,0.38318,0.40705,1,0.94205,0.28023,0.24,0.93818,0.24,0.24,0.76295,0.995,0.24,0.24,0.24,0.24,0.24,96.54591,36.19364,0.24,175.60455,NA,7.11477,103.48864,0,0.89068,23.87523,3,0.67659,0.97955,0.725,0.51886,0.24,61.60159,0.69045,0.62636,0.99773,0.24364,0.33795,163.48182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-04-05","Bestiary HC","UniqueJewel",3.24795,0.25,0.25,0.25,0.74773,0.26386,0.40614,0.30659,0.98773,0.43432,0.25,1,1.97636,0.25,0.35227,0.41614,0.50386,0.25,0.25,0.27909,1,3,3,0.34182,8.70841,235.32182,0,20.27818,0.25,32.80273,0.89091,7.21477,0.71182,1.85886,0.90614,0.48932,0.25,0.25,4.3325,1,1,3.18295,0.25,0.25,0.33273,1,0.66795,0.25,0.96136,0.44136,0.37182,151.96455,5,1,65.24318,0.25,0.49773,0.27341,0.26523,0.25,0.90614,0.25,0.28705,1,0.83568,0.25045,0.97864,1,4.46386,82.885,0.25,16.13273,0.88159,0.25,34.76818,0.34159,0.29864,1,0.99795,0.36023,0.28841,0.80386,0.25,0.25,0.96568,1,0.25,0.25136,0.25,0.25,0.25,95.71841,45.14477,0.25,173.49091,NA,6.82091,105.12773,0,1,23.42205,3.15273,0.75182,0.99636,0.87409,0.56705,0.25,55.06591,0.90591,0.765,0.98432,0.25,0.25,167.74341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-04-06","Bestiary HC","UniqueJewel",3.52818,0.26705,0.2675,0.26705,0.935,0.35795,0.50591,0.33818,0.99659,0.38545,0.26705,1,1.94159,0.26705,0.27205,0.41523,0.7325,0.26705,0.26705,0.26705,1,2.96545,2.96773,0.53636,8.52864,212.62136,30,20.32568,0.26705,30.15341,1,7.64045,0.96227,1.32136,0.99955,0.26705,0.26705,0.26705,4.05659,1,0.98432,2.90886,0.26705,0.26705,0.39023,1,0.57227,0.26705,0.90409,0.50591,0.37318,139.58386,4.98386,1,66.545,0.26705,0.50023,0.26705,0.29795,0.26977,0.90523,0.49455,0.31568,0.98955,0.75114,0.26705,0.78386,1,4.44023,82.71864,0.26705,16.28091,0.90364,0.26705,33.82682,0.54477,0.275,1,0.98659,0.48977,0.26705,0.79045,0.28045,0.26705,0.95841,1,0.26705,0.26705,0.26705,0.26705,0.26705,101.09864,49.88182,0.27727,190.78023,NA,7.03182,110.65795,0,1,23.3875,3.00545,0.7375,1,0.99273,0.49864,0.26705,70.34091,0.78114,0.86068,0.99773,0.26705,0.27409,178.10364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-04-07","Bestiary HC","UniqueJewel",3,0.29116,0.27581,0.27581,0.97395,0.37442,0.43837,0.32488,1,0.73721,0.27581,1,1.79907,0.27581,0.35535,0.34953,0.55163,0.27581,0.27581,0.27581,1.00837,3,2.46512,0.77977,8.77163,210.72395,30.6586,24.24721,0.27581,29.32674,1,5.97465,0.94791,1.29419,1,0.7386,0.27581,0.27581,3.81163,0.99837,0.9993,2.32605,0.27581,0.27581,0.27953,0.97349,0.56256,0.28326,0.92209,0.27581,0.61395,140.96372,5,1,67.72023,0.27581,0.51907,0.27581,0.56721,0.3293,0.93977,0.74233,0.50558,0.70465,0.84977,0.27581,0.55163,1,4.84442,78.67907,0.27581,17.57326,0.88698,0.27581,35.49186,0.7207,0.30953,0.99767,0.85674,0.52953,0.27581,0.75047,0.27581,0.27581,0.91186,1,0.27581,0.27581,0.27581,0.27581,0.27581,101.09698,48.31186,0.27651,195.67209,NA,6.9086,111.28837,0,0.98953,21.51907,2.98581,0.77884,0.99721,0.86535,0.6307,0.27581,57.89651,0.8293,0.86837,0.9614,0.27581,0.30907,166.05721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-04-08","Bestiary HC","UniqueJewel",3.00136,0.54818,0.28159,0.28159,0.92886,0.28159,0.33932,0.2825,0.9725,0.85909,0.28159,1,1.4425,0.28159,0.28159,0.28455,0.54386,0.28159,0.28159,0.28159,1.10886,3,2.12636,0.74386,8.93818,202.97318,28.26341,24.43,0.28159,28.97795,0.91182,5.00091,0.71727,1.01636,0.98386,0.59568,0.28159,0.28159,4.78614,1,0.99273,2.97795,0.28477,0.28159,0.28159,1,0.43477,0.28159,0.82523,0.28159,0.75909,124.02705,5,1,68.58182,0.28159,0.56318,0.28159,0.6,0.52091,0.99886,0.41682,0.71273,0.90227,0.84795,0.28159,0.55591,1,4.415,75.42477,0.28159,17.89727,0.95273,0.28159,33.99159,0.28273,0.28364,0.99182,0.91977,0.54068,0.28159,1,0.28182,0.28159,0.895,1,0.28159,0.28159,0.28159,0.28159,0.28159,97.11841,50.56386,0.28159,174.92864,NA,7.37864,135.23045,0,0.97977,17.95068,2.92432,0.80932,1,0.9675,1,0.28159,55.71341,0.82318,0.49909,0.96409,0.28159,0.28159,162.62636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-04-09","Bestiary HC","UniqueJewel",3.11386,0.73091,0.29,0.29,0.99977,0.29,0.30386,0.29068,0.82,0.91295,0.29,1.00636,1.70705,0.29,0.29,0.29364,0.55045,0.29,0.29,0.29,1.05614,2.47568,2.77159,0.52773,9,193.58318,26.025,21.53318,0.29,28.70455,1,5,0.77477,1.30432,0.90227,0.4975,0.29545,0.29,2.11182,1,0.97955,3,0.29045,0.29,0.29,1.00205,0.49455,0.29,0.86159,0.29,0.41727,104.42636,5.00273,1,69.37409,0.29,0.72909,0.29,0.84295,0.37068,0.98045,0.83705,0.29273,1,0.86977,0.29,0.55182,1,4.41318,76.46909,0.29,17.36023,0.99432,0.29,33.35091,0.31727,0.29,0.92227,0.88682,0.74977,0.29,1,0.32045,0.29,0.99841,1,0.29045,0.29,0.29,0.29,0.29,94.29864,54.21591,0.29,179.21977,NA,7.80136,131.29,600,0.55455,17.96864,2.65023,0.68205,1,0.95,0.62977,0.29,71.42409,0.78386,0.64841,0.86886,0.29,0.29,157.49432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
