"Day","Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe"
8,"2018-12-14","Betrayal HC","Essence",8,0,8,10,10,15,10.29,8,8.2,8,0,0,0,0,0,20,0,15,14,0,6,31.1535,2.7102,6,0.44,0.43,0.44,0.44,0.44,0.44,0.44,0.44,2,0.99,1,0.88,0.89,2,1,0.94,2.0051,0.9751,1,0.98,1,1,0.93,1,0.94,0.9,1,1,1,2.97,2,2,2,7,2,2.83,8,2.8,2.35,2,8,2.96,2.61,4.76917,2,1,5,2,2.86,1,0.93384,0.55,1,1,1,1,0.82,1,0.63,1,0.7133,0.41415,0.44,0.58,1,0.44,0.94,0.44,0.44,0.89,0.44,0.44,0.44,0.44,0.44,0.81,0.44,0.44,0.32,0.35,0.44
9,"2018-12-15","Betrayal HC","Essence",30,0,7.59,10,10,15,10.29,0,7.4,8,0,0,0,0,0,20,0,15,14,0,6,35.78061,3,6,0.45,0.44,0.44,0.43531,0.44,0.44,0.42,0.44,2,0.9502,0.9651,0.93,0.9,2,1,0.9251,2.90041,0.9751,1,0.94531,1,1,0.96,1,1,0.94,1,0.9502,0.97,2.58,2,2,1,7.57,2,2,7,2,2,2,7.77,3,3.6875,5.83,2,1,4,2,2.19,0.85,0.92,0.58,0.89,1,1,1,0.44,0.86,0.51,0.91,0.74,0.44,0.98,0.71,0.88,0.44,0.58,0.44,0.44,0.97919,0.44,0.44,0.44,0.44,0.44,0.67,0.44,0.44,0.33,0.39,0.44
10,"2018-12-16","Betrayal HC","Essence",11.1,0,7.59,5.5,10,15,9.50833,49.63,5,7.1,15,0,0,0,0,20,18,10,7.7,0,5.746,28,3.0625,5.03,0.81,0.44,0.39,0.44,0.44,0.4,0.44,0.44,2,0.9451,0.9651,0.96,0.88,1.87,1,0.97,3,0.9202,0.9,0.73694,1,0.9,0.96,0.88,0.97,1,1,0.96,1,2.5,2,3,1.63,8,2,2,8,2.8,2,2,8,3,5,7,2,1.30615,4,2.37,3.03,0.59,0.93,0.57041,0.97,0.97,1,0.54,0.55,1,0.57,1,0.44,0.44,0.86,0.94,0.90571,0.44,0.44,0.44,0.45,1,0.44,0.41,0.44,0.44,0.44,0.44,0.42095,0.44,0.32,0.32,0.44
11,"2018-12-17","Betrayal HC","Essence",11.37,0,7.66,5.5,8,15,8.11,49.5,3.58,8,15,0,0,0,0,10,18,10,10.4,0,7,31.13776,4.45,6,0.45903,0.45,0.44,0.45,0.44,0.44,0.45,0.45,2,0.99,0.9751,1,0.9,1.50048,1,0.9,3,0.9,1,0.9,1,0.95,0.92,0.96648,0.9,0.9,1,0.98,1,2.67,2,3,2,8,2,2,8,2.45,2,2,7,3,5,5.57237,2,1.58,4,2.06,3,0.5952,0.47,0.45,0.9451,0.96,1,0.55,0.5,0.93,0.65,0.6151,0.44,0.45,0.9,0.99,0.9,0.45,0.45,0.45,0.91174,0.93,0.45,0.45,0.51,0.74,0.45,0.61521,0.44,0.41,0.33,0.33,0.45
12,"2018-12-18","Betrayal HC","Essence",11.37,0,6.86,5.5,0,15,8.11,40,3.73,8.83,15,0,11.47,22.2,18,10,18,10,10,0,8,29.81551,5,6,0.47,0.47,0.34,0.47,0.36214,0.43,0.46,0.46,2,1,0.96,1,0.64,1.60163,1,1,3,0.99,0.97,0.94,1.66576,0.94,0.75633,1,0.94,0.94,1,0.94,1,2.81,2,4,1.95676,6.94316,2,2,8,1.75,2,2,7,3,6,6.3,2,2,4,2.02,3.65,0.59,0.70041,0.47,0.64,0.48684,1,0.47,0.47,0.47,0.49,0.47,0.38,0.47,0.5,0.47,0.4751,0.47,0.47,0.42,0.47,0.47,0.47,0.47,0.43,0.47,0.47,0.47,0.47,0.42,0.34,0.31,0.44
13,"2018-12-19","Betrayal HC","Essence",15.02,2,8,6.11,0,15,8.72,30,2,8.7,12,15.5,11.47,20.6,18.24,11.18,18,19.2,10.4,20,8,31.39031,4,7,0.47,0.47,0.36,0.47,0.47,0.47,0.47,0.47,2,1,0.94,0.9701,0.48,2,1,1,2,0.9501,0.89041,0.98,1.58,0.95,1,1,0.76031,0.96,1,0.98,1,2.98676,2,3,1,8.62357,2,2.5,8,2,2,2,7,3,4,5.78079,1.8,2,4,2.3,3.83975,0.7,0.7,0.47,0.47,0.52,0.96,0.4701,0.47,0.47,0.64,0.47,0.37,0.47,0.72,0.74,0.49,0.47,0.47,0.47,0.47,0.47,0.52,0.47,0.44,0.47,0.47,0.94,0.47,0.37,0.36,0.36,0.47
14,"2018-12-20","Betrayal HC","Essence",17.73,15,8,8.51,0,15,6.89,21.98,2.675,8.23,14,18.2,10,17.79,18,10.47,17,16.29,10,17.3,8,30.685,4,9,0.48,0.47,0.42,0.46662,0.47,0.41,0.47919,0.47932,2,1,0.90061,1,0.64,1.87,1,1,2.09184,0.92,1,1,1.24163,1,1,1,0.9502,1,1,1,1,3,2,3,1,8,2,2,8,2,2,2,8.53,3,4.30462,5,1.46,2,4,2.21,2.75471,0.76,0.77,0.4751,0.4751,0.6451,1,0.4751,0.4751,0.48,0.52,0.4751,0.39,0.47448,0.88,0.965,0.83,0.4762,0.4751,0.42,0.48,0.47583,0.46078,0.48,0.45,0.47544,0.47929,0.96,0.78,0.45,0.39,0.42722,0.44
15,"2018-12-21","Betrayal HC","Essence",16.44,7.14,9.0185,5.63,27,14.2,6,30,2.57,8.32,10.62,17.2,8.24,15.71,18,7.55,11.98,13.485,6,17.3,7,34,4,14,0.46,0.46,0.42,0.44,0.46,0.4,0.46,0.48,2,1,0.46,1,0.46,1.89,1,1,2,0.4702,0.9851,1,1,1,1,0.92,0.5751,0.96,1,0.92,1,3,1.82,2.94,1,10,2,2,8,2,2,2,6.35,3,5,5,1.27,2,3,2,3.58,0.61039,0.46,0.46,0.46,0.46,1,0.46,0.46,0.46,0.45,0.46,0.4,0.46,0.69531,0.73,0.61,0.46,0.46,0.41592,0.47,0.655,0.54768,0.53,0.45,0.46,0.46,0.95,0.557,0.44,0.43,0.43,0.44
16,"2018-12-22","Betrayal HC","Essence",14,5.44,8.98,5.05,27,12,7,28,2,8.45,12.6,15.59,8.24,12.74,14.39,10,6,10.24,6.11,18,7,35,5,15,0.42,0.42,0.42,0.42,0.46,0.42,0.43,0.5141,2,1,0.42,1,0.84,2,1,1,2,0.76,0.87031,1,1,1,1,0.72031,0.4201,0.7801,1,0.82,1,3.73875,1.87,2.9419,1,9,2,2,8,1,2,2,6.45875,3,5,5,1.5,2,3,2,4,0.43,0.39,0.42,0.39,0.42,1,0.42,0.42,0.42,0.42,0.42,0.41,0.55,0.7402,0.7701,0.62082,0.42,0.42,0.41,0.42,0.76,0.76,0.46,0.42,0.42,0.42,0.43,0.41,0.42,0.41,0.42,0.42
17,"2018-12-23","Betrayal HC","Essence",12.2,5,8.51,5.14,21.86,9.69,7,24.89,2.34,8,12,14.5,8.47,10.3,12.66,10.78333,5.32,9.34,6.93,18,7.64134,35,5,15,0.42,0.42,0.42,0.42,0.47,0.42,0.42,0.54473,2,1.33959,0.42,1,0.82,2,1,1,2,0.76,0.84,0.9002,1,1,1,0.94551,0.42,0.8051,1,0.85,1,4,1.96514,2.97,1,9,2.55,2,8,1.17,2,2,7,2,4.36,5,1.3827,1.99,3,2,4,0.74,0.38,0.42,0.41,0.42,1,0.42,0.42,0.42,0.42,0.42,0.42,0.76,0.7502,0.95,0.76,0.52,0.42,0.42,0.42,0.82,0.76,0.48,0.42,0.42,0.42,0.8502,0.41,0.42,0.42,0.42,0.42
18,"2018-12-24","Betrayal HC","Essence",11.18,15,8,5,20.19,9.66,7,24,2.4,7.74,12,14.5,8.47,9.23,11.6675,10,5.62,8.89,6.84,18,8,35,5,13,0.45,0.40967,0.4,0.4,0.5,0.56,0.53,0.78955,2,1.71041,0.4001,1,0.8,2,1,1,2,0.8,0.8,0.8,1.5,1,1,0.9002,0.53041,0.92,1,1,1,4,1.56,2,1,9.039,3,2,7.79676,1,2,1.83724,7,2,4,4,1.1,2,3,1.96833,3,0.777,0.39,0.42,0.4,0.63,1,0.6301,0.4401,0.4,0.65,0.42,0.41,0.78117,0.75,0.61,0.4,0.79,0.4,0.40851,0.4,0.78,0.78,0.407,0.4,0.4,0.4,0.78429,0.4,0.4,0.4,0.4,0.4
19,"2018-12-25","Betrayal HC","Essence",9.49,15,7.78,5,16.88,9.95,7,24.43,2.23,7.74,12,14.51,10,9.4,11.2,10,5.83,9,7.45,18,8,35,5,13,0.44563,0.76,0.39,0.39,0.78,0.54032,0.38,0.78,1.82,1.93,0.47,1,0.76,2,1,1,2,0.78,1,0.8901,1,1,1,1,0.74,1,1,1,1,3,1,2.5,1,8,3,2,8,1,2,1.61,6.69,2,4,4,1.04,2,3,1.8,3,0.6,0.39,0.38,0.39,0.78,1,0.46,0.66,0.39,0.75978,0.39,0.39,0.78,0.58,0.75596,0.39,0.77214,0.39,0.64103,0.38,0.68,0.78,0.68,0.39,0.38,0.52884,0.78,0.39,0.38,0.38,0.62,0.39
20,"2018-12-26","Betrayal HC","Essence",9,10.78,7.787,3.72,16,9.93,6.81304,26.4,2.43,7.72,11.23,14.33,9.29,9,10,10,6,8.74,7.45,18,8.1159,37.27,5,13,0.36,0.4,0.41,0.41,0.79,0.39,0.4,0.75,2,1,0.72,1,0.72,2,1,1,2,0.99,1,0.92,1.05612,1,1,1,0.72,0.7351,1,1,1,3,1,2.62,1,8,3,2,8.06522,1.54,2,1.94,5.4,2.60125,3.66,4,1.02875,2,3,2,3,0.72,0.43,0.6,0.42,0.78,1,0.7,0.82,0.45,0.75,0.75,0.39,0.82,0.37,0.44,0.65,0.43,0.4,0.71,0.36,0.66,0.72,0.39,0.36,0.36,0.73,0.78,0.41,0.36,0.36,0.36,0.37
21,"2018-12-27","Betrayal HC","Essence",9,10.78,7.06818,4.18,14.16,10,6.7,25.79,2.63,7.84,9,14.33,7.84,9,10,6.84,5.65,7,6,18,8,38.53,4,14,0.36,0.36,0.38,0.43,0.9,0.43,0.36,0.36,2,2,0.72,1,0.72,2.07408,1,1,2,1,1,0.9251,1,1,1,1,0.54,0.72,1,1,1,3,1,2,1,7.1,3,2,9,1.7,2,2,5,3,3.375,4,1,2,3,2,3,0.81044,0.45,0.7302,0.45,0.9,1,0.9,0.91,0.42,0.72,0.88,0.36,0.9,0.36,0.37154,0.77,0.76629,0.45,0.41938,0.36,0.36,0.79318,0.36,0.41,0.37,0.59662,0.9,0.45,0.36,0.36,0.36,0.58
22,"2018-12-28","Betrayal HC","Essence",10,9.49,6.37,4.04,13.96,8,6.7,18.97,3,7.11,8,9,7.95,8,8.63,7.15,5.755,9.79,6,18,7,39.4549,5,12,0.36,0.36,0.55,0.72,0.9896,0.4,0.45,0.37,2,1,0.72,1,0.79061,1.95,1,1,2,1,0.98,1,1,1,1,1,0.9501,0.72,1,1,1,3.11712,1,2,1,8,3,2,7,2,2,2,5.875,3,4,4,1,2,3,2,3,0.92,0.48,0.89,0.48,0.98,0.99,0.94,1,0.4,0.94,0.94,0.36,0.96,0.48,0.36,0.86,0.56,0.56,0.36,0.46,0.36,0.72,0.47,0.56,0.44,0.86512,0.84,0.43,0.38,0.36,0.36,0.63
23,"2018-12-29","Betrayal HC","Essence",10,9.49,6.474,3.93,13.98,7.8,6,23.46,3,7.97,8,10.9,6,7,8.28,8,5,9.6,6.76,17,7,49.25918,4,13,0.37,0.37,0.43,0.67333,1,0.36848,0.47,0.37,1.58531,1.7651,0.74,1,0.92,2,1,1,2,0.9551,1,1,1,1,1,1,0.76,0.72,1,1,1,4,1,2,1,8,3,2,7,2,2,2,7,3,3,4,1.32,2,3,2,2.54,0.94,0.78,0.97,0.55,1,1,0.674,0.99,0.98,0.75,0.99,0.46,0.97,0.36925,0.57,1,0.72,0.72,0.36611,0.75406,0.37,0.74,0.61,0.73,0.45121,0.74,0.94,0.46,0.45,0.36273,0.45,0.66
24,"2018-12-30","Betrayal HC","Essence",10,8,7.11,3,16,7.03,6,23.32,3,7.97,6.84,11.8,7.18,6.4,9.48,8,5,10,6.07,3.8,7,48.04592,5,10,0.37,0.37,0.81,0.74,0.99,0.37,0.38,0.37,2,1.2,0.71551,1,0.8,2,1,1,2,1,0.96,1,1,1,1,1,0.9,0.7651,1,1,1,4,1,2,1,7.67,3,2,6,2,2,1.99,6.88,3,4,4,1.24,2,3,2,2.3,0.88,0.98419,1,0.6,1,1,0.7,1,0.97,0.78,0.98,0.74,0.96,0.71,0.81284,1,0.74,0.89,0.44,1,0.37,0.97,0.59,0.76,0.59758,0.38,0.99,0.42,0.48,0.37,0.44,0.48
25,"2018-12-31","Betrayal HC","Essence",10,8,7,2.37,8.76,7.07,7,19.81176,2.84,7.17,5.74,18,4.18,7,8.79,6.63,4.73,10,6.16,11.24,7,46,5,11,0.37,0.46,0.57875,0.44065,1,0.37,0.37,0.38,2,1,0.4901,1,0.96,1.8,1,1,2,1,0.89,0.83,1,0.98,1,1,0.74,0.76,1,1,1,3.32,1,2,1,9.48,3,2.65,6.67,1.66,2,1,7,3,3,4,1.93,2,3,2,3,1,0.99,1,0.79,1,1,0.57,0.86,0.96,0.85,1,0.78,0.96,0.74263,0.78,1,0.42,0.96,0.39,0.84,0.37,0.37,0.45364,0.44,0.72,0.37,0.98,0.47,0.83,0.38,0.37,0.42
26,"2019-01-01","Betrayal HC","Essence",10,8,6.14,1.32714,15.3,7.84,6.83,18,2.95,8,7.25,12.4725,7.59,6.7,8.79,6,4.121,10,6,6.815,7,44.0151,5,12,0.37,0.3919,0.58,0.51,0.996,0.37,0.37,0.42,2,1,0.59,1,0.99,2,1,1,2,1,0.96,0.97531,1,0.74,0.74,1,0.9351,0.69,1,1,1,3,1,2,1,9.33212,3,2,6,1,2,1.33,7,3,3,4,1.3,2,3,2,3,0.94,0.55,1,0.8,1,1,0.45128,0.73,0.96,0.96,1,0.71189,0.88,0.68,0.98,1,0.4,0.96,0.43,0.46,0.37,0.37,1,0.43,0.93,0.37,0.98,0.37,0.37,0.39,0.37,0.42
27,"2019-01-02","Betrayal HC","Essence",9.45,8,6,1.33,14.4,7.57286,6.72,17,2.68,8,7,12.48,7.59,6.7,8,6,4.46,10,6,6.29,7,44.20102,5,12,0.35,0.35,0.51152,0.35,0.36,0.36,0.35,0.39,2,1.16449,0.62,1,0.73,2,1,1,1.96041,1,0.7,1,1,0.9801,0.36,1,0.7,0.35,0.94,1,1,3,1,2,1,10,4,2.73,7,1.25,2,1.65,7,3,3,4,1.23,1.96,3,2,3,0.96,0.35,1,0.96,1,1,0.7545,0.36,0.9,0.96379,1,0.68,0.96,0.82025,0.99,1,0.35,0.97,0.48,0.35,0.35,0.8,1,0.48,0.91649,0.36,1,0.41,0.35,0.36,0.35,0.38556
28,"2019-01-03","Betrayal HC","Essence",6,8,6,1.18,14.6,7.66,6.73,15.76,2.6125,8,6.63,12,5.99,6,6.73,6,4.9,10,5,6.1,7,42.35633,5,12,0.35,0.35,0.78,0.35,0.35,0.35,0.35,0.35,2,1,0.7,1,0.71531,2,1,1,1.62347,1,0.7,1,1,1,0.54531,1,0.6902,0.35,1,0.81,1,3,1,2,1,10,3,2.5,7,2,2,1.73328,7,3,3,4,1,1.99,3,2,2.33,0.99,0.35,1,1,1,1,0.97,0.35,0.97,1,1,0.47,1,1,1,1,0.35,0.98,0.61,0.35,0.35,0.88,1,0.91,0.9,0.78382,1,0.41152,0.35,0.66,0.35,0.35
29,"2019-01-04","Betrayal HC","Essence",5,8,6,1.38,10.65667,7,6.83,15,2.84,7.41,7,14.47,5.5,5.49,7,5,4.7,10,5,6.43,7,45.30625,4.82,13,0.34,0.34,1,0.34,0.37,0.44,0.34,0.34,2,1,1,1,0.62908,2,1,1,2,1,0.68,1,1,1,1,1,0.68,0.68,1,0.68,1,3,2,2,1,10,3,2,7,2,2,1.74,7,3,3,4.11818,1,2,3,2,2.75,0.99,0.34,0.68,0.77,1,1,0.78,0.42,0.99,0.95,1,0.87,1,0.99,0.77,1,0.34,0.50075,0.51,0.45,0.34,0.92118,0.34,0.79,0.96,0.37,1,0.53,0.34,0.47818,0.34,0.38
30,"2019-01-05","Betrayal HC","Essence",5,7,6,1.44,10.59,7,6,15,3,7.45417,7,14.2,5.5,6,7.45,5,4.76861,11.33,4.78,7.91,7,48.0325,4,13,0.33,0.33,0.98,0.37,0.37208,0.47,0.33,0.33,2,1,1,1,0.65,2,1,1,2,0.86041,0.66,1,1,1,1,1,0.66,0.66,1,0.66,1,3,2,2,1,8,3,2,6,2,2,1.23984,7,3,3,4,1,2,3,2,3,0.74,0.33,0.51423,0.98,1,1,0.51,0.33,0.86,1,0.9,0.64,1,1,0.5971,1,0.33,0.52,0.55,0.48778,0.51143,0.52,0.33,0.51419,0.56,0.33,1,0.5,0.33,0.49455,0.33,0.33
31,"2019-01-06","Betrayal HC","Essence",5,7,5.79,1.56,10.59,7,5,15.31,3,7.97,7.15,14,5,6,7.22,5,4,10.88778,5,9.73,7,49.96071,4.0801,13,0.32,0.32,0.68,0.32,0.32,0.32,0.32,0.32,2,1,0.64,1,0.64,2,1,1,2,0.95,0.64,0.89,1,1,0.99,1,0.65,0.64,1,0.64,1,3,1.2,2,1,8,3,2,6,2,2,1,7,3,2.71,4,1,2,3,2,3,0.99313,0.32,0.49,0.65,1,1,0.64,0.32,0.75,0.74,1,0.89973,0.95,1,0.7,0.96,0.32,0.5,0.32,0.32,0.56,0.58,0.32,0.57,0.5797,0.32,0.99,0.32,0.32,0.32,0.32,0.32
32,"2019-01-07","Betrayal HC","Essence",5,6,5,1,10.94,7.58,4.64,15.86,3,8,5.02,14,5,5.34,7.462,4.8,4,15,4.62,10,7,50,4,13,0.31,0.31,0.75,0.31,0.31,0.31,0.31,0.31,1.56061,1,0.62,1,0.62,2,1,1,2,1,0.64,0.83,1,1,0.62,1,0.69,0.7901,1,0.62,1,3,1,2,1,8.17778,3,2,5.62,2,2,1,7,3,2.84,3.38,1,2,3,1.94,3,1,0.31,0.33224,0.58,0.82,1,0.38,0.32,0.94,0.62,1,0.94,1,0.94159,0.74931,0.96,0.31,0.58,0.31,0.31,0.84774,0.81,0.31,0.58,0.75574,0.31,0.65,0.48,0.31,0.31,0.31,0.31
33,"2019-01-08","Betrayal HC","Essence",4.78,5.72,5,2,10.7,7.2475,5.56737,15.11,2.67,8,6.16,13.29,5,5,7.61,4,4,13.77,4,10,8,54.10733,4,11.91184,0.31,0.31,0.46,0.31,0.31,0.31,0.31,0.31,2,1,0.33,1,0.31,2,1,1,1.9402,1,0.62,0.87,1,1,0.57,1,0.6151,0.62,1,0.62,1,3,1,2,1,8,3,2,5.52,2,2,1,7,3,2.842,2.18,1,2,3,2,3,0.82,0.31,0.42238,0.47,0.62,1,0.31,0.38,0.56821,0.62,1,0.42,0.5,0.83595,0.55,0.51,0.31,0.5,0.31,0.31,0.87,0.62,0.31,0.5,0.47,0.31,0.31,0.65,0.31,0.31,0.31,0.31
34,"2019-01-09","Betrayal HC","Essence",4,6,5,2,10.7,7.45,6.05,15.15,3,7.30077,6.62,12.43,4.57,5,7.74,4,4,13,4.27857,10,7.38,60,4.58082,12,0.86152,0.29,0.29,0.32848,0.3,0.3,0.6,0.29,1.01531,1,0.35,1,0.3,2,0.98,1,1.5102,1,0.56,0.88,1,1,0.65,1,0.5,0.58,1,0.72,1,3,1,2,1,8,3,2,5.79,1.94,1.95,1,6,3,2.94,2.06,1,2,3,1.87,3,0.76,0.44,0.55,0.50792,0.69,0.99733,0.3,0.63385,0.84,0.43,1,0.445,0.6,0.99,0.52,0.56347,0.39778,0.62179,0.3,0.3,0.98,0.62,0.35,0.43,0.92,0.39,0.29,0.85,0.29,0.29,0.29,0.29
35,"2019-01-10","Betrayal HC","Essence",4,5.99,5,2,10.47,5.58,6.03,16,3,8,7.23,12,5.68,4.19,8.03,3,4,12,4,11.59625,8,60,4.48,12,0.6,0.29,0.29,0.71,0.29,0.29,1,0.44,2,1,0.5002,1,0.44,2,1,1,1.88,1,0.58,0.93,1.41,1,0.87,1,0.58,0.59,1,0.85,1,3,1,1.95609,1,6.75714,3,2,5,2,1.39,1,4.48,3,2.85,4,1,2,3,1.81529,3,0.87,0.9,0.69,0.51622,0.82,0.88,0.56,0.92,0.85,0.45114,1,0.51,0.58,1,0.57,0.6545,0.51,0.74,0.71,0.45,0.83,0.51659,0.36,0.33,1,0.29,0.29,0.92618,0.29,0.29,0.29,0.29
36,"2019-01-11","Betrayal HC","Essence",4.4,5,5,2.66,10.58875,5.77,5.53,14.884,3,8,8.47,12.33,4.65,4.22,10.24,3,4,10,4,12.05,8,51.90694,5,13,0.48,0.29,0.36,0.32,0.29,0.28,0.86,0.48,2,1,0.53,1,0.58,1.63,1,1,2,1,0.9051,1,1.02878,1,1,1,0.5702,0.75,1,0.9051,1,3,1,2,1,7,3,2,5,1.7,1.32185,1,4.26853,3,3,4.29,1,2,3,2,3,0.88,0.96,1,0.55667,0.65,1,0.52217,0.82,0.99,0.61,1,0.75,0.86936,1,0.64,0.96,0.75,0.53,1,0.52,1,0.52,0.37,0.39,1,0.28915,0.29,0.87,0.55,0.29,0.29,0.29
37,"2019-01-12","Betrayal HC","Essence",4,5,5,2.58,8,6.03,5.19,15.003,2.62,7,8.47,10.59,4.4,4,12.525,3,4,10,4,11.82,8,52.75061,5,12,0.48,0.38,0.33152,0.27,0.27,0.39188,0.79,0.53,2,1,0.54,1,0.81,1.9,1,1,2,0.97,0.86,1,1,1,1,1,0.54,0.74,1,1,1,3,1,2,1,6.98174,3,2,5,1.73,2,1.09,4.8,3,3,3.28,1.00821,2,3,2,4,0.86,0.87,1,0.7,0.73,0.76,0.6,0.55,0.81,0.71713,1,0.79,0.84352,1,0.53,0.98,0.76,0.50274,0.79,0.64,0.81,0.62288,0.46,0.36,0.78625,0.27,0.78,0.76,0.54,0.44,0.27,0.49381
38,"2019-01-13","Betrayal HC","Essence",3.96,5,5,2,7.69,5.85,6.86071,15,2,5.98833,8.47,14,5,5.22767,14.07,3,4,9.25,3.93,10,7.38276,55,5,11.67796,0.65,0.27,0.34,0.27,0.39375,0.27,0.6085,0.51611,2,1,0.54,1,0.9951,1,1,1,2,1,1,1,1,1,1,1,0.65,0.8351,0.95,1,1,3,1,2,1,5,3,1.31,5.09,1.69,1.78,1.8152,5.47538,2.87,2.51,4,1.14,1.86,3,2,2.98559,0.9,0.81,0.96,0.81,0.57,0.81654,0.58,0.64,0.84,0.57186,1,0.58,0.69,0.63,0.71,1,0.57,0.55296,0.82,0.64,0.56333,0.58,0.53,0.48,0.59,0.27,0.54544,0.55,0.56,0.66,0.27,0.32
39,"2019-01-14","Betrayal HC","Essence",4,5,5,2,7.6,5.91,7,15,2.42,5.89,10,14,5.4,6,14,3,3.92396,9,4,9,7.9902,60,5,12,0.4863,0.27,0.27,0.27,0.27,0.27,0.65883,0.28,1.87531,1,0.54,1,0.59,1,1,1,2,1,1,1,1,0.85,1,1,0.54,0.99,1,0.9902,1,3,1,2.03,1,6,3,1.44,5,2,1.8,2,5.94,3,3,4,1.49,2,3,2,2.84,0.91,0.59,0.81,0.61583,0.57457,0.83,0.45,0.27,0.84,0.55,1,0.55,0.56,0.54,0.58,1,0.52,0.57,0.59,0.59,0.57,0.59,0.37,0.28,0.55,0.27,0.27,0.37,0.56,0.27,0.27,0.27
40,"2019-01-15","Betrayal HC","Essence",3.82,4.29,5,2,11.85,5.78,7,15,2.49,6.59,9.39,14.23,5.35,6,13.7,3,3.53,7,4,8,7,60,5,12,0.49,0.27,0.27,0.27,0.27,0.27,0.83,0.3132,2,1,0.57,1,0.59,1,0.85,1,2,1,1,1,1,1,1,1,0.56,0.94,1,1,1,3,1,2.17586,1,6,3,1.83,6,2,1.88,2,5.37,3,2.26,4,1.86625,1.99,3,2,2.98,1,0.59,0.9081,0.51,0.59,0.93,0.59,0.29,0.95,0.51,1,0.59,0.57,0.55,0.82,1,0.58,0.59,0.58,0.58,0.67,0.59,0.39,0.4,0.57,0.27,0.27,0.35,0.41429,0.27,0.27,0.27
