"Day","Date","League","Type","A.Call.into.the.Void","A.Firm.Foothold","A.Forest.of.False.Idols","A.Gracious.Master","A.Master.Seeks.Help","A.Prodigious.Hand","A.Regal.Death","A.Valuable.Combination","A.Whispered.Prayer","Abnormal.Effulgence","Against.the.Tide","An.Unseen.Peril","Anarchy.s.End.I","Anarchy.s.End.II","Ancient.Doom","Baptism.by.Death","Beyond.Sight.I","Beyond.Sight.IV","Blood.in.the.Eyes","Blood.of.the.Betrayed","Bountiful.Traps","Cleanser.of.Sins","Crushing.Squall","Custodians.of.Silence","Day.of.Sacrifice.I","Day.of.Sacrifice.II","Day.of.Sacrifice.III","Day.of.Sacrifice.IV","Deadly.Rivalry.I","Deadly.Rivalry.II","Deadly.Rivalry.III","Deadly.Rivalry.IV","Deadly.Rivalry.V","Deadly.Twins","Defiled.in.the.Sceptre","Dying.Cry","Echoes.of.Witchcraft","Ending.the.Torment","Erased.from.Memory","Erasmus..Gift","Fated.Connections","Fear.s.Wide.Reach","Fire.and.Brimstone","Fire.and.Ice","Fire.from.the.Sky","Fire..Wood.and.Stone","Flesh.of.the.Beast","Forceful.Exorcism","From.Death.Springs.Life","From.The.Void","Gilded.Within","Golden.Touch","Graceful.Flames","Heart.of.the.Fire","Heavy.Blows","Hidden.Reinforcements","Hidden.Vaal.Pathways","Holding.the.Bridge","Hunter.s.Lesson","Ice.from.Above","In.the.Grasp.of.Corruption","Kalandra.s.Craft","Lasting.Impressions","Lightning.Falls","Living.Fires","Lost.in.the.Pages","Monstrous.Treasure","Mouth.of.Horrors","Mysterious.Invaders","Nature.s.Resilience","Nemesis.of.Greed","Notched.Flesh","Overflowing.Riches","Plague.of.Frogs","Plague.of.Rats","Pleasure.and.Pain","Pools.of.Wealth","Possessed.Foe","Power.Magnified","Rebirth","Reforged.Bonds","Resistant.to.Change","Risen.Blood","Roth.s.Legacy","Severed.Limbs","Smothering.Tendrils","Soil..Worms.and.Blood","Storm.on.the.Horizon","Storm.on.the.Reef","Strong.as.a.Bull","Thaumaturgical.History.I","Thaumaturgical.History.II","Thaumaturgical.History.III","The.Alchemist","The.Ambitious.Bandit.I","The.Apex.Predator","The.Beautiful.Guide","The.Beginning.and.the.End","The.Bloody.Flowers.Redux","The.Bowstring.s.Music","The.Brothers.of.Necromancy","The.Brutal.Enforcer","The.Corrupt","The.Cursed.Choir","The.Dream.Trial","The.Dreamer.s.Dream","The.Eagle.s.Cry","The.Feral.Lord.I","The.Feral.Lord.II","The.Feral.Lord.III","The.Feral.Lord.V","The.Flayed.Man","The.Flow.of.Energy","The.Fortune.Teller.s.Collection","The.Four.Feral.Exiles","The.God.of.Misfortune","The.Hardened.Armour","The.Hollow.Pledge","The.Hungering.Swarm","The.Invader","The.Jeweller.s.Touch","The.Karui.Rebellion","The.King.s.Path","The.King.and.the.Brambles","The.Lady.in.Black","The.Last.Watch","The.Lost.Maps","The.Lost.Undying","The.Misunderstood.Queen","The.Mysterious.Gift","The.Nest","The.Petrified","The.Plaguemaw.I","The.Plaguemaw.II","The.Plaguemaw.IV","The.Plaguemaw.V","The.Prison.Guard","The.Prison.Key","The.Queen.s.Vaults","The.Scout","The.Servant.s.Heart","The.Sharpened.Blade","The.Silverwood","The.Singular.Spirit","The.Sinner.s.Stone","The.Snuffed.Flame","The.Soulless.Beast","The.Stockkeeper","The.Sword.King.s.Passion","The.Trembling.Earth","The.Twins","The.Unbreathing.Queen.I","The.Unbreathing.Queen.II","The.Unbreathing.Queen.V","The.Undead.Brutes","The.Undead.Storm","The.Vanguard","The.Walking.Mountain","The.Ward.s.Ward","The.Warmongers.I","The.Warmongers.II","The.Warmongers.III","The.Watcher.s.Watcher","The.Wealthy.Exile","Touched.by.the.Wind","Trash.to.Treasure","Twice.Enchanted","Unbearable.Whispers.I","Unbearable.Whispers.II","Unbearable.Whispers.III","Unbearable.Whispers.V","Undead.Uprising","Vaal.Winds","Visions.of.the.Drowned","Vital.Transformation","Waiting.in.Ambush","Weeping.Death","Wind.and.Thunder","Winter.s.Mournful.Melodies","A.Dishonourable.Death","A.Rift.in.Time","A.Vision.of.Ice.and.Fire","Agony.at.Dusk","Beyond.Sight.II","Black.Devotion","Blind.Faith","Blinding.Light","Burning.Dread","Cold.Blooded.Fury","Cold.Greed","Crimson.Hues","Dance.of.Steel","Dark.Instincts","Darktongue.s.Shriek","End.of.the.Light","Greed.s.Folly","Last.of.the.Wildmen","Song.of.the.Sekhema","Sun.s.Punishment","The.Dreaded.Rhoa","The.Fall.of.an.Empire","The.Great.Leader.of.the.North","The.Great.Mind.of.the.North","The.Malevolent.Witch","The.Nightmare.Awakens","The.Storm.Spire","Trapped.in.the.Tower","Anarchy.s.End.III","Anarchy.s.End.IV","Beyond.Sight.III","Fallow.At.Last","Path.of.Betrayal","Thaumaturgical.History.IV","The.Ambitious.Bandit.II","The.Child.of.Lunaris","The.Feral.Lord.IV","The.Queen.s.Sacrifice","The.Unbreathing.Queen.III","The.Unbreathing.Queen.IV","The.Warmongers.IV","Unbearable.Whispers.IV","Unnatural.Energy","Vaal.Invasion","Battle.Hardened","Faith.Exhumed","The.Ambitious.Bandit.III","The.Bishop.s.Legacy","The.Forgotten.Garrison","The.Forgotten.Soldiers","The.Mentor","The.Plaguemaw.III","Ancient.Rivalries.I","Ancient.Rivalries.II","Ancient.Rivalries.III","Ancient.Rivalries.IV","Brothers.in.Arms","Echoes.of.Lost.Love","Echoes.of.Mutation","Storm.on.the.Shore","The.Aesthete.s.Spirit","The.Blacksmith"
14,"2017-08-17","Harbinger HC","Prophecy",1,0.87429,1.99122,3.8149,1,1,0.97918,0.44612,0.47694,1,0.35421,1,1,0,23.49143,0.59286,1.11306,0,14.52592,1,2,10.23082,1,1,0.9402,0,2.10204,0,1.28673,1,0,8,10,1,0,4,0.37837,0,0,2,485,1,3.49918,2.53816,1,1.00408,59.42531,0.31306,0.76918,1,0,0.44184,3.61388,0.78694,0.81224,0.35551,2.0402,0,0.53592,1,0,1,1,0,1,28.16,15,0.34714,0.88816,4.83755,0.90204,0.66776,2.88449,2,1,0.77,NA,0.78408,0.85429,2.71878,5,0,0.76408,0.91061,9.01061,0,1,0.97102,0.73735,1.10408,1,NA,NA,0.29755,1,2.96735,1.47898,0.99122,0.44592,7.91163,1,1.46776,1,1,1.59796,1,0.77265,0.31898,1.04898,3,0,1,0.9998,3,1.89469,0.80265,1.16449,2,1,0.91673,29.20816,1,3.93245,7.0449,0.85592,0.72918,0.57367,1.63694,1.90571,1.70449,1,1,0.53735,1,0,0,0.23592,0.70653,2.46857,1,7.04143,1,1,1,0.68776,0.99265,1,0.49551,0.94714,0.46327,1,1,1,0,0.80265,1,1,0.62694,0.61939,1,0,0,0.78755,1,0,0,2.99816,0.31367,1,4,7.46367,1,5.69306,0.96673,0,1,1.18429,13,1.04551,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,3.10102,7,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-08-18","Harbinger HC","Prophecy",1,0.985,1.8448,3.9548,1,1,0.956,0.6182,0.4496,1,1,1,1,0,21.8902,0.7052,1.1624,0,11.5314,1,2,9.6114,1,1,1,0,1.172,0,1.8356,1,0,8,10,1,0,4.2826,0.3992,0,0,1.791,409.81481,1,3.543,2,1,0.964,67.9388,0.314,0.855,1.0216,0,0.394,3.7872,0.7846,0.672,0.3606,2.0604,0,1,1,1,1.012,0.994,0,0,33.44894,15.1704,0.3934,0.9042,4.2552,0.896,0.662,2.3748,1.784,1,0.6442,NA,0.7212,0.9856,2.0534,5,0,0.322,0.9952,10.7642,0,1,0.9314,0.7468,1.054,0.9894,NA,NA,0.2814,1,3,1.0724,0.9698,0.4256,6.5486,1,1.2048,0.958,1,1.9836,1,0.7544,0.6168,1,3,6,0.9746,0.9962,2.9766,1.07,0.9188,1.1428,2,1,0.9752,29.4376,0.9988,3.8476,6.7898,0.837,0.8926,0.502,0.9554,1.8604,1.821,1,0.9538,0.5374,1,0,0,0.2504,0.7334,2.0638,1,6.2634,1,1.1256,1,1,0.7816,0.9642,0.5,0.93,0.5752,1,1,1,0,0.752,1,1,0.4328,0.4988,1,0,0,0.5594,1,0,0,2.9968,0.3688,1,4,6.3848,1,5.5268,0.9568,0,1,1,1.888,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,2,7,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-08-19","Harbinger HC","Prophecy",1,0.76271,1.43813,3.98083,1,1,0.94521,0.69688,0.55208,1,1,1,1,0,21.26333,0.90896,1.58333,0,11.35208,1,2,9.345,1,1,1,0,1,0,1.52854,1,0,8,10,1,0,5.21708,0.425,0,0,1.86125,457.20675,1,8.27583,2,1,0.81333,70.42979,0.31542,0.57125,1,0,0.51375,3.9525,0.69313,0.48792,0.55667,2.25896,0,1,0.93292,1,1,0.87854,2,0,30,15,0.71396,0.63104,3.04354,1,0.61708,1.79438,1.45458,0.96063,0.55833,NA,0.73333,0.99792,2,5,0,0.39,0.99958,10.52563,1,1,0.79313,0.48208,0.98979,0.93896,NA,NA,0.28667,1,3.13604,1.68146,1,0.40271,6.58,0,1.49563,0.55688,1,1.89354,1,0.82792,0.87854,1,3,4.6875,0.85292,0.96646,3,1,1,0.96042,2,0.91542,0.93708,29.30125,0.99708,4.35083,6.15021,0.62146,1,0.45396,1,1.82333,1.71354,1,0.94063,0.55667,1.00417,0,0,0.30542,0.69729,2.23854,1,5.46458,1,1.5325,1,1,0.53813,0.96271,0.50167,0.91938,0.62042,1,0.8725,1,0,0.74938,1,0.98833,0.63292,0.92021,1,0,0,0.46,1,1,0,2.9975,0.64333,1,4,5.56875,1,5,0.88042,0,1,1,2.07167,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,2,7,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-08-20","Harbinger HC","Prophecy",1,0.9906,1.0284,3.9202,1,1,0.8902,0.764,0.672,1.3976,1,1,1,0,21.5482,0.8334,1.15,0,10.2158,1,2,9.32472,0.7564,1,1,0,1,0,2.1512,1,0,7.082,5.3,0.9876,0,12.3562,0.3954,1,0,1.8962,487.36,1,6.7822,2,1,0.8138,67.1812,0.4514,0.6074,1,0,0.4716,3.8202,0.6478,0.6294,0.5614,2.7054,0,0.9572,0.953,1,1,0.9708,2,0,31.3888,14.9882,0.8022,0.462,4.3316,0.9434,0.6232,2,2.2168,0.9458,0.3926,NA,0.7618,0.9848,2,4.784,0,0.3872,0.842,9.3892,1.0882,1,0.9524,0.4492,0.9606,0.8748,NA,NA,0.29,1,2.912,1.9712,0.9916,0.4094,7.0214,0,1.3122,0.3828,1,1.25,1,0.835,0.4992,1,3,4.2,0.8304,0.794,2.5896,1.1136,1,0.772,1.428,1,0.946,28.6366,0.9982,5.0864,6.7186,0.645,1,0.6634,1,1.9592,1.3864,1,0.9404,0.6384,0.804,0,0,0.3698,0.7044,2,1,4.8236,1,1.3334,0,1,0.7024,1,0.5282,0.5862,0.65,1,0.4322,0.9982,48.33696,0.8482,1,0.9674,0.6368,0.831,1,0,0,0.4498,1,0.793,0,3.3112,0.5764,1,4,4.9826,1,4.1654,0.8892,0,1,1,1.9928,1.0348,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,2.7944,7,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-08-21","Harbinger HC","Prophecy",0.9608,0.9392,1.3362,3.9982,1,1,0.9504,0.697,0.7552,2.0478,1,1,1,0,21.7518,0.8566,1.15,0,7.2818,1,2,0,0.5776,0.9552,1,0,1,0,2,1,0,5.24,4.946,0.9858,0,13.728,0.5778,1,0,1.4528,440.83333,0.972,3.928,1.9316,1,0.8412,60.5458,0.443,0.6174,1,2,0.2252,4.5378,0.525,0.6748,0.594,2.938,0,1,1,1,1,0.9598,1.478,0,37.1,14.8452,0.4536,0.4658,3.3318,0.8276,0.6346,2,2.8306,0.8734,0.3896,NA,0.8002,1,2,1.296,0,0.4358,0.5238,8.2368,1,1,0.8672,0.7138,0.9692,0.7684,NA,NA,0.3096,1,3.6788,1.9528,0.9928,0.4562,6.3542,0,1.0368,0.4124,0.9168,1.9482,1,0.8494,0.2756,1,3,4.2,0.787,0.6742,2.2304,1.0718,1,0.5626,1.0698,1,0.7644,29.6976,1,3.8454,7.5732,0.7278,1,0.8488,0.9584,1.7808,1.5032,1,0.8922,0.3642,0.448,0,0,0.3736,1,1.8998,0.9972,4.6916,1,1.4976,0.84,0.972,0.6776,1,0.5986,0.593,0.4106,1,0.3562,1,43.5516,0.835,1,0.8898,0.5686,0.8656,1,0,0,0.4982,1,0.3052,0,3,0.335,1,4,4.9482,1,4,0.7898,0,1,1,5.1894,1.7794,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,3.6232,7,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-08-22","Harbinger HC","Prophecy",0.86245,0.8398,1.77857,4,1.08816,1,0.97694,0.76082,0.78592,1.6749,0.88857,1,1,0,22.67367,0.83041,1.18265,0,7.39857,1,1.96571,0,0.63163,0.88082,1,0,1.01204,0,1.97918,1,0,5,5,0.94,0,14.60898,0.74837,1,0,1,450,0.93878,3.9251,1.4749,0.77367,0.85469,60.3098,0.56408,0.67612,1,2,0.2398,5.20796,0.41469,0.5749,0.6,2.28592,0,1,1,1,1,0.87122,1.1,0,29.89189,15.02286,0.39469,0.62,3.96816,0.3602,0.66,2,2.8202,0.71429,0.41571,NA,0.79878,0.97449,1.52694,1,0,0.49,0.65939,9.70776,1,1,0.99531,0.87306,0.94837,0.71347,NA,NA,0.33102,1,3.84449,1.76735,1,0.59265,6.42082,0,2.14714,0.43939,0.93061,1.40837,1,0.80469,0.48,1,6,4.2,0.79816,0.86286,2,1,1,0.58592,1,1.04,0.54184,30.25796,1,4,6.86449,0.58245,0.99531,1,0.96122,1.19184,1.45755,1,0.72714,0.35306,0.49,0,2,0.37755,0.94204,2.00531,0.98265,5.08286,1,1.70265,0.84,0.92,0.64612,0.94469,0.76122,0.59306,0.39469,1,0.27224,1,28.47,0.82204,1,0.80061,0.24082,0.89755,1,0,0,0.50245,0.96673,0.3,0,3.01347,0.31755,1,4,4.98531,1,4,0.65755,0,1,0.95224,10.5298,1.75204,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,3.04,7,0,NA,0,0.44,NA,NA,NA,NA,NA,NA,NA,1.96429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-08-23","Harbinger HC","Prophecy",0.907,0.8466,1.6292,4.056,1.002,0.9476,0.8736,0.603,0.6366,0.89,0.8678,1,1,0,26.491,0.8074,1.066,0,9.2168,1,1.9328,9,0.6672,0.8016,1,0,1.518,0,1.49,0.35,0.88,5,5,0.903,0,11.9298,0.9214,1,0.84,1,524.37143,0.8464,3.8302,1.2854,0.3908,0.8634,58.8194,0.8372,0.8138,1,2,0.834,4.964,0.479,0.4168,0.5968,2.711,0,1,1.0026,1,1,0.5824,1.038,0,30,15.1268,0.3988,0.429,3.7124,0.5252,0.783,2,1.7424,0.9378,0.4156,NA,0.8186,0.9258,1.1578,1,0,0.4804,0.6804,11.2484,1,1,0.8356,0.7728,0.9192,0.5356,NA,NA,0.323,1,3.3034,1.0864,0.9958,0.6442,6,0,2.1948,0.4192,0.9388,1.1522,1,0.878,0.4156,0,6,4.3062,0.7872,1,2.0758,1,1,0.6694,1,1.12,0.9034,29.8936,1,3.8486,7.249,0.6252,0.9608,1,0.9458,1.0814,1.2838,1,0.7464,0.3822,0.499,0,2,0.4046,0.7772,2.3148,0.9872,5.108,0.9992,1.4844,0.84,0.908,0.498,0.9124,1,0.5674,0.327,1,0.2104,0.9926,37.0698,0.8662,1,0.6744,0.3398,0.9422,1,0,0,0.407,0.8344,0.2904,0,3.5696,0.2524,1,4,4.0774,1,4,0.626,0,1,0.87,10.0172,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,3.0096,7,0,NA,0,0.4208,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-08-24","Harbinger HC","Prophecy",0.7934,0.7316,1.0498,6.0826,0.968,0.7234,0.8496,0.48,0.421,0.8006,0.8744,1,1.0168,3,29.753,0.934,0.974,0,8,1,2,9.8,0.601,0.5976,0.7016,1,1.721,0,1.468,0.3492,0.9454,5,5,0.9462,0,11.1406,0.8236,1,0.6552,1,497.75,0.7882,3,1.218,0.4878,0.8566,62.58217,0.7594,0.9218,0.9602,2,1,5.813,0.42,0.6046,0.7552,2,0,1,0.8762,1,1,0.6554,0.9796,0,30,15.647,0.2246,0.4272,3.1702,0.6888,0.6782,2,1.3966,0.9852,0.4134,NA,0.93,1,1.3152,1,0,0.3622,0.6892,12.3504,0.9204,0.986,0.8372,0.743,0.8018,0.5418,NA,NA,0.2188,0.9888,4.2586,1.1724,0.9968,0.7886,5.941,0.97359,2.3562,0.4294,0.951,1.6286,1,1,0.5284,0,6,4.5412,0.7512,1,3,1,1,0.6814,1,1.12,0.9644,29.9484,1,2.9556,8.0408,0.6784,0.994,1,0.8548,1.2776,1.1226,1,0.6736,0.4124,0.509,0,5,0.4956,1,1.9728,0.7608,5,1,1,0.6552,0.7868,0.625,0.9114,1,0.7942,0.3268,0.983,0.2092,0.866,29.5774,0.9816,1,0.7194,0.531,0.8592,1,0,0,0.3546,0.862,0.2892,0,3.5226,0.2092,1.0192,4,4.008,1,4.0068,0.4316,0,1,0.7468,10,1.2872,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,3.59,0,0,NA,0,0.4184,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-08-25","Harbinger HC","Prophecy",0.9042,0.8192,1.9294,6.3776,1,0.8874,0.9248,0.6012,0.4146,0.93,0.8778,1,1.12,3,33.451,0.9394,0.8588,0,7.9868,1,2,9.89744,0.7552,0.6862,0.7264,1,4,3,1.328,0.35,0.9408,5,5,0.9232,0,10.7084,0.791,1,0.84,1,494.0406,0.7546,3.4012,1.468,0.5394,0.6492,70.395,0.4194,0.9872,0.9016,1.29,1,5.0388,0.4194,0.5522,0.8374,1.9804,0,1,0.597,1,1,0.6188,0.8994,0,39.35385,18.9736,0.2,0.4226,4.4752,0.7756,0.8392,2,0.9414,0.864,0.4194,NA,0.9634,0.9684,1.9208,0,0,0.5016,0.6964,11.9288,0.9268,0.927,0.836,0.8062,0.8754,0.475,NA,NA,0.2072,0.8672,5.1486,1.1606,0.9294,0.9378,5.8726,0.7768,1.9136,0.4968,0.9442,1.4316,1,1,0.577,0,4.76,4.1496,0.7514,0.9972,2.9734,1,0.9568,0.6138,1,1.1008,0.9988,30,1,3,7.8958,0.6638,1,0.96,0.7222,1.3934,1.4342,1.024,0.8598,0.4914,0.596,0,4.25,0.5324,1,1.7508,1,5.0004,1,1.0442,0.84,0.832,0.672,0.914,1,0.4614,0.3542,0.9004,0.2,0.875,18.6892,0.803,1,0.6194,0.6588,0.849,1,0,0,0.3984,0.9928,0.28,0,3.017,0.2014,1.03,5,3.8388,1,4.1186,0.5036,0,0.8308,0.863,13.12,1.1816,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,3.5892,0,0,NA,0,0.4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-08-26","Harbinger HC","Prophecy",0.91061,0.86469,1.75245,5.50224,1,0.9351,1,0.61224,0.41939,0.92204,0.89286,1,1.16714,3,34.83204,0.95367,0.86878,0,7.02082,0.72776,2,10,0.74714,0.7202,0.59061,1,4,3.12245,1.25449,0,0.9302,5,5,0.58653,0,9.58,0.84633,0.86469,0.84,1.00796,500.66857,0.78755,3.55449,1.43,0.55429,0.3298,70.4298,0.4302,1,1,1.1598,1,5.0551,0.4302,0.64694,0.69776,2.00551,0,1,0.60224,0,1,0.70163,0.90041,0,40,17.60041,0.20796,0.44918,3.85245,0.98184,0.87,2,0.64694,1,0.43204,NA,0.97469,0.86735,1.34816,0,3,0.42184,0.65367,12.18755,0.69388,0.96122,0.81898,0.66347,0.62735,0.30796,NA,NA,0.2098,0.93224,5.98551,1.21633,0.89673,0.94755,5.59429,0.90571,1.78102,0.57163,0.9402,1.52,1,1,0.74755,1,4,4.42224,0.88,0.9602,2.84469,0.99449,0.92571,0.65265,0.99878,1.03551,0.41878,29.66918,1,3.04551,8,0.79082,0.94265,0.5949,0.85408,1,1.27143,1,0.86184,0.5898,0.54,0,0,0.46388,1,1.95714,0.97959,5,1,1,0.84,0.82959,0.74041,0.90082,1.05633,0.54286,0.38143,0.89306,0.24755,0.92939,23.89265,0.93959,1,0.74265,0.75408,0.73571,1,0,0,0.39163,1,0.34694,0,3,0.20102,0.91143,5,3.63163,1,4.65143,0.58837,1,0.53,0.86,15,1.90735,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,3.50755,0,0,NA,0,0.39959,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-08-27","Harbinger HC","Prophecy",0.91,0.7066,1.851,4.9962,1,0.899,1,0.4018,0.4084,0.9204,0.9008,1,1.23,3,36.1766,1,0.86,0,5.9874,0.6642,2,10,0.675,0.852,0.54,1,4,3.24,1,2,0.9238,5,5,0.51,1,9.0614,0.9214,1,0.84,1.0322,503.3774,0.8394,3.5984,1.2708,0.5182,0.2902,72.6456,0.43,1,1,1,1,5.2336,0.43,0.4616,0.8234,1.9794,0,1,0.57,0,1,0.5026,0.9,0,39.73,19.9428,0.1986,0.467,3.7574,0.7666,0.9402,1.9944,1,1,0.5996,NA,0.9226,0.874,1.8702,0,3,0.253,0.58,11.3018,0.6246,0.9644,0.7726,0.564,0.6,0.4186,NA,NA,0.21,0.8828,6.0354,1.7714,0.9892,0.9438,5.1548,0.9192,1.937,0.5752,0.94,1.8272,1,1,0.8264,1,4,4.134,0.8846,0.9684,2.6208,0.9918,1,0.8376,1,1.0588,0.4126,29.421,1,3.0606,8.2234,0.8632,1.349,0.3604,0.8868,1,1.4726,0.9876,0.6806,0.623,1.0656,0,0,0.3956,1,1.997,0.9636,4.466,1,1,0.84,0.8238,0.8664,0.8678,1,0.8368,0.4138,0.8834,0.3506,0.9974,14.2124,0.92,1,0.787,0.8626,0.4238,1,0,0,0.3902,1,0.506,0,2.9938,0.1964,0.6676,5,4.1982,1,4.773,0.5374,1,0.7932,0.86,0,1.9152,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,3.274,0,0,NA,0,0.4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2017-08-28","Harbinger HC","Prophecy",0.91,0.69408,1,4.9898,1,0.93939,1,0.43408,0.40367,0.93408,0.90796,1,1.23,3,36.47143,0.98612,0.96878,0,5.55898,0.85449,2,8.5802,0.67306,0.9302,0.53,1,4,3.24,1,2,0.93286,5,6,0.59551,0,9.11959,1,0,0.84,1.98653,537.74184,0.82735,3.99102,1.46673,0.49429,0.28694,74.76714,0.60714,1,1,1,1,4.9351,0.42633,0.43592,0.88449,2,0,0.97041,0.57,0,1,0.49367,0.89837,0,40,17.04265,0.19082,0.56102,4,0.86816,0.80286,2,1,0.99939,0.80653,NA,0.91571,0.93857,1.90551,0,3,0.19082,0.51612,10.33367,0.52694,0.9602,0.60816,0.41082,0.64,0.61878,NA,NA,0.21,0.86,6.36918,1.49061,0.94327,0.81327,5,0.9298,2,0.48796,0.9498,1.99735,1,1,0.90122,1,4,6,0.89,0.91918,2.73816,0.99735,1,0.94306,0.85245,1,0.46163,29.92612,1,3,8.01612,0.65265,0.96633,0.34286,0.87408,1,1.30184,0.96612,0.4751,0.59306,2,0,0,0.37714,1,2,0.96143,4.78592,1,1,0.85592,0.82449,0.89429,0.86612,1,0.89327,0.43,0.92265,0.47633,0.99694,13.44,0.91673,1,0.85286,0.85,0.4149,1,0,1.29,0.42571,1,0.87,0,3,0.19367,0.69755,5,4.44469,0,4.98286,0.53388,1,1,0.86878,0,1.98796,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,0,0,NA,3.12204,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
