"Day","Date","League","Type","Atziri.s.Promise","Blood.of.the.Karui","Coralito.s.Signature","Coruscating.Elixir","Divination.Distillate","Doedre.s.Elixir","Dying.Sun","Forbidden.Taste","Kiara.s.Determination","Lavianga.s.Spirit","Lion.s.Roar","Rotgut","Rumi.s.Concoction","Sin.s.Rebirth","Taste.of.Hate","The.Overflowing.Chalice","The.Sorrow.of.the.Divine","The.Wise.Oak","The.Writhing.Jar","Vessel.of.Vinktar","Witchfire.Brew","Zerphi.s.Last.Breath","Cinderswallow.Urn","Soul.Catcher","Soul.Ripper","Bottled.Faith"
55,"2019-01-30","Betrayal HC","UniqueFlask",3,2.19,1,1.57,1,0.17,188.63,0.6,0.17,2,4,0.34,4,55.85,176.57647,0.7,0.17,8.69031,2,25.98,2.43061,25.33,30.98,0.34,1977.7,NA
56,"2019-01-31","Betrayal HC","UniqueFlask",2.57,2,0.95306,1.15,1,0.17,195.59538,0.51,0.17,2,3,0.26,2.78,51.21,169.82875,0.7751,0.17,9.9651,2,27.54,2,24.35,31.24971,0.35,1970.4,NA
57,"2019-02-01","Betrayal HC","UniqueFlask",2.0702,2,0.94,1.45,1,0.17,196.04,0.61,0.17,1.33,3.34,0.34,3,60,190,0.35,0.17,11.95102,2,20,3,24.35,33.19,0.52,1960.4,NA
58,"2019-02-02","Betrayal HC","UniqueFlask",3.5801,2,0.56854,2,1,0.16,191.04,0.62,0.16,2,4,0.22,3.5,53.90313,190,0.21,0.16,12.9001,2,20,3,26.85,36.32,0.7,1906,NA
59,"2019-02-03","Betrayal HC","UniqueFlask",3,2.22,0.79045,2,1,0.17,194.95083,0.65,0.17,2,3,0.22,3,49.39,180,0.36,0.17,10,2,21.7,3,26.6,50,0.66,1832.5,NA
60,"2019-02-04","Betrayal HC","UniqueFlask",3,2.69,0.94,2,1,0.16,271.05656,0.54,0.16,2,3,0.41,5,49.56,176.5352,0.32,0.16,11,2,30,3,26.732,50,0.7301,1799.6,NA
61,"2019-02-05","Betrayal HC","UniqueFlask",3.42,3,1,2,1,0.16,260.275,0.69,0.18,2,3.07,0.51,4.89031,49.01,174.55684,0.32,0.17,10,2.03061,24.93,3,20.82,49.45,0.74,0,NA
62,"2019-02-06","Betrayal HC","UniqueFlask",4,3.51,1,2,1,0.17,255.47,0.8,0.27071,2.36,3,0.53,5,47.83,171,0.25531,0.17,10,2,23.6,2.86122,21.31,50,0.7251,0,NA
63,"2019-02-07","Betrayal HC","UniqueFlask",4,4,1,2,1,0.16,246.20534,1,0.43,2.68,3,0.52,5,46.79,174.35389,0.77,0.16,10,2,21.32,3,25,50,0.68,0,NA
64,"2019-02-08","Betrayal HC","UniqueFlask",4,4.32,0.9,2,1,0.17,248.595,0.88,0.56,2.68,3,0.34,5,46.79,176.6,0.64102,0.17,10,2,24.95,3,25,54.41442,0.57,0,NA
65,"2019-02-09","Betrayal HC","UniqueFlask",5,5,0.88,1.45,1,0.17,245.94,0.64,0.39,2,4,0.34,4,40,181.36,0.72,0.17,10,2,23.64,3,25,57.43,0.64,0,NA
66,"2019-02-10","Betrayal HC","UniqueFlask",5,5,0.68,1.56,1,0.17,222.96,0.28,0.86,2,4,0.18,3,40,185.64,0.18,0.17,10,2,20,3,25,60,0.5,807.6,NA
67,"2019-02-11","Betrayal HC","UniqueFlask",3.92,4,0.64,2,1,0.18,220,0.42,0.87,2.09402,4,0.18,3,40,188.70643,0.18,0.18,9.26,2.54,24.21,3,38.52,60,0.55,0,NA
68,"2019-02-12","Betrayal HC","UniqueFlask",3,4,0.71,2,1,0.18,210.56,0.44,0.63,2,4,0.34,3.58163,41.96,188.35,0.19,0.18,10,2,20,3,25,53.04,0.42515,0,NA
69,"2019-02-13","Betrayal HC","UniqueFlask",3,4,0.8,2,1,0.18,210.28,0.38,0.63,2.97,4,0.35,4,41.28,190.6125,0.2,0.18,10,2,20,3,43.16,53.91,0.41,0,NA
70,"2019-02-14","Betrayal HC","UniqueFlask",3.17,4,0.94,2,1,0.18,204.55,0.43,0.62,3,4,0.36,4,42.12,194.37,0.2,0.18,10.79,2,20,3,43.16,61.86,0.46,0,NA
71,"2019-02-15","Betrayal HC","UniqueFlask",4,4.98443,0.97,2,1,0.19,205.64,0.48,0.66,2.12,3.42,0.38,4,41.89,189.95,0.25,0.19,11,2,20,3,25,61.6942,0.56,0,NA
72,"2019-02-16","Betrayal HC","UniqueFlask",3.94,5,0.96,2,1,0.19,212.88,0.51,0.72,2.01,3.6,0.38,4,40,189.35,0.39,0.19,11,2,20,3,25,60,0.4,0,NA
73,"2019-02-17","Betrayal HC","UniqueFlask",5,4,0.95,1.97,1,0.21,221.01,0.57,0.69,2.07,3,0.42,4,40,185.67,0.43,0.21,11,2,19.51,2.61,25,60.76,0.42,0,NA
74,"2019-02-18","Betrayal HC","UniqueFlask",5,4.09,0.95,2,1,0.23,222,0.55,0.81,2.23932,3.34,0.46,4,40,181.88,0.43,0.4,10.86,2,19.57,2.75,25,61.32,0.46,0,NA
75,"2019-02-19","Betrayal HC","UniqueFlask",5,4.35,0.93,2,1,0.2,222,0.61,0.83,2,4,0.36,4,40,195.85,0.38,0.34,11,2,19.44,3,25,62.01,0.4,0,NA
76,"2019-02-20","Betrayal HC","UniqueFlask",6.65,4.06,0.93,2,1,0.2,222,0.62,0.9,2,4,0.39,4,40,195,0.43735,0.4,11.97336,2,19.27,2.92,25,60,0.4,0,NA
77,"2019-02-21","Betrayal HC","UniqueFlask",6.77,4,1,2,1,0.23,221.8,0.64,0.84,2,4,0.42209,4,40,158.27,0.55,0.49,12,2,16.93,3,27.6,59.42,0.46,0,NA
78,"2019-02-22","Betrayal HC","UniqueFlask",6.74,4.42,1,1.8,1,0.23,204.05,0.48,0.88,2,4,0.23,4,40,159.25,0.66,0.55,14.63,2,15.84,3,27.12,58.51,0.46,0,NA
79,"2019-02-23","Betrayal HC","UniqueFlask",6.01,4.82,1,1.82,1,0.24,214.24828,0.51,0.89,2,4,0.24,4,40,206.53,0.67,0.67,14.54,2,15.84,3,27.12,40,0.48,0,NA
80,"2019-02-24","Betrayal HC","UniqueFlask",5,4,1,1.82,1,0.21,206.87,0.7,0.94,2,4,0.25,4.25286,40,203.16,0.69,0.7,14.42,2,17.27,3,27.12,46.72,0.43,0,NA
81,"2019-02-25","Betrayal HC","UniqueFlask",5,3.57,1,1.82,1,0.21,201.87958,0.87,1,2,4,0.3564,5,40,201.49,0.68733,0.68411,14.78,2,17.27,3,30.42,47,0.42,0,NA
82,"2019-02-26","Betrayal HC","UniqueFlask",5,4.38,1,1.92,1,0.2,200,0.92,1,2,4,0.36,5,35.91,167.18,0.69,0.69,14.77,2,27.63,3,30.42,48.27,0.42,0,NA
83,"2019-02-27","Betrayal HC","UniqueFlask",5,4.43,1,2,1,0.22,222.32,0.67,1,2,4,0.44,5,35.91,151.81,0.67,0.66,14.86,2,27.14,3,30.42,40,0.6,0,NA
84,"2019-02-28","Betrayal HC","UniqueFlask",5,4.87,1,2.25,1,0.19,222,1,1,2,4,0.36,5,33.94,213.34364,0.66,0.53,15,2,27.14,3,30.42,40,0.57,0,NA
85,"2019-03-01","Betrayal HC","UniqueFlask",5,5,1,2.2,1,0.2,222.16,1,1,2,3.63,0.34,5,34.08,210.53,0.63,0.6,17.75136,2.02,31.1,3,50,40,0.51,0,NA
86,"2019-03-02","Betrayal HC","UniqueFlask",5,2,1,2.26,1,0.2,224.59864,1,1,2,3.63,0.32,5,34.08,214.25,0.79,0.55,18.70237,2.69,35.54,3,50,40,0.59,0,NA
87,"2019-03-03","Betrayal HC","UniqueFlask",5,2,1,2.26,0.9,0.2,226.66,1,1,2,3.5,0.3,5,34.08,217.00438,0.8,0.43,17.61,3,35.54,3,50,40.11,0.84,0,NA
88,"2019-03-04","Betrayal HC","UniqueFlask",4.65,3.76,1,2,0.87,0.2,232.19,1,1,2,3.22,0.28,5,32.97,239.94714,0.64,0.42,17.54,3,35.54,3,50,35.76,0.85,0,NA
89,"2019-03-05","Betrayal HC","UniqueFlask",4.68,2.25,1,2,0.85,0.21,233.85,1,1,2,3.46,0.28,5,32.97,240,0.55,0.42,17.54,3,35.54,3,50,36.04,1,0,NA
1,"2019-09-06","Blight HC","UniqueFlask",0,0,10,0,0,0.50429,0,0,1,0,0,0,0,0,0,1,0,1.22,0,0,0,0,0,0,0,0
2,"2019-09-07","Blight HC","UniqueFlask",4.98956,10,11.09,0,2,0.27,0,1,1,4.31,9.25,0.28,28.86,6.2,83.08,0.5,0,1,2.72,0,8.268,0,0,1.15786,0,0
3,"2019-09-08","Blight HC","UniqueFlask",2,4.49,10,9.1,2,0.28615,199.12,0.96,1,3.68,8.26824,0.91,17,8,98.155,0.29,0,1.07,3.61,31.9975,15,0,0,1,0,0
4,"2019-09-09","Blight HC","UniqueFlask",2,4,8,9,2,0.32,405.23,0.99885,1,2,8,0.99,12.06478,10.21,97.8365,0.32,200,2,3,25,10,0,106.68667,1,0,0
5,"2019-09-10","Blight HC","UniqueFlask",2,7.71313,7,8.3,1,0.37,290.88333,0.83,1,2,7.07827,1,13.99737,14.27,88.73,0.73747,120,1,3,16.99,8,80,90,1,0,0
6,"2019-09-11","Blight HC","UniqueFlask",2,8.11,6,7.4,1,0.4,127.94143,1,1,2,7,0.92,15,19.54,55,0.45,120,1,2,8,7,60,59.11,0.8652,0,1589.5
7,"2019-09-12","Blight HC","UniqueFlask",2,8.89,5,5.48,1,0.43,125.36375,0.86,1,2,6,0.86,15,16.71,43.55,0.83,55,1,2,8.3075,6,59,32.22,0.89,1346.5,1625.25
8,"2019-09-13","Blight HC","UniqueFlask",2,11.42,3,3.91,1,0.42,129.64,0.84,1,2,6,0.84,17.41,14.69,56.36462,0.42,55,1,2,7.02,6,37.92,29.31,0.95,1038.375,1421.95
9,"2019-09-14","Blight HC","UniqueFlask",2,10,3,2,1,0.4,102.25475,0.87,1,1,5,0.82,18,13.62,60.97,0.41,55,1,2,7.01,5.93,23.83,28.6,0.82,1023.75,1836.25
10,"2019-09-15","Blight HC","UniqueFlask",2,10,3,2,1,0.41,90,1,1,1,5,0.82,21.71,15,65.255,0.6,55,2,2,6,6,14.68,23.64,0.84,872.16,1440
11,"2019-09-16","Blight HC","UniqueFlask",2,9.81,3,2,1,0.41,70,0.84,1,1,5,0.43005,23.44,15,65.83,0.82,40,2,2,6,6,14.7,21.7722,0.97,1065.15,0
12,"2019-09-17","Blight HC","UniqueFlask",2,9,2.83,2,1,0.39,50.66,0.9,1,1,5,0.39505,24.16,15,68.38,0.78,40,2,2,3.79,5.16012,14,20,0.97,1105.95,0
13,"2019-09-18","Blight HC","UniqueFlask",2,8.25,2,2,0.95005,0.41,50,0.84,1,1,5,0.41,24.54,14.49,68.47,0.82,43.85,2,2,3.9,5,14,20,0.94,1138.125,3978.01
14,"2019-09-19","Blight HC","UniqueFlask",2,9,2,2,1,0.41,69.165,0.98,0.84,1,4.93566,0.44,26.11,13,64.36,0.94,43.82,2,2,3.9,5,14,19.53,0.99,1176.45,4050.35
15,"2019-09-20","Blight HC","UniqueFlask",2,8,2.4,2,1,0.42,75,1,0.93,1,5,0.43,29.15,13.88,68.07,0.93,47.67,3,2,4.9,5,14,18.54,1,1222.35,4074.5
16,"2019-09-21","Blight HC","UniqueFlask",2,8,3,2,1,0.42,82.02,0.99,1,1,6,0.45,40.67891,13.46,75,0.86,160.17,3,2,4.1,5,12.32,18,1,1229.25,4097.5
17,"2019-09-22","Blight HC","UniqueFlask",2.51525,7.02,2,2,1,0.43,89.32,0.99,1,1,6,0.48,42.79,13,72.57,0.86,81.48,3,2,4,4.27,11.75,15.06197,0.98,1222.2,4074
18,"2019-09-23","Blight HC","UniqueFlask",2,7,2,2,1,0.43,76.16038,1,1,1,6,0.6,43.11103,13,80,0.86,89.64,3,2,4,4,11.79,15,0.99,1222.35,4074.5
19,"2019-09-24","Blight HC","UniqueFlask",2,7,2,2,1,0.42,70,1,1,1,6,0.84,40.44467,11.68,81.26,0.91,81.49,3,2,4,4,10,15,1,1149.01,3110.77
20,"2019-09-25","Blight HC","UniqueFlask",2,7,2,1.99,1,0.4,70,1,1,1,6.12948,0.87,42.65819,12.28,81.49,0.76,73.41,2.59,2,4,5,10,15,0.96505,1149.01,3194.33
21,"2019-09-26","Blight HC","UniqueFlask",2,7,2,1.92,1,0.38,69,0.96,1,1,7.58,0.85,45,11.01,81.23,0.46,68.46,2.6871,2,4,5,10,17.87,0.76,1154.59,2355.96
22,"2019-09-27","Blight HC","UniqueFlask",2,5.97121,2,1.92,1,0.35,60,0.9,1,1,7.01647,0.7,40.26,11,90,0.63,68.4,2.81,2,4,4,10,18.15,0.76,1146.85,1620
23,"2019-09-28","Blight HC","UniqueFlask",2,5,2,1.78,1,0.34,50,0.96,1,1,7.73,0.68,40,10,90.54,0.65,61.952,2.9,2,3,4,10,15.57,0.77,1146.14,1613.3
24,"2019-09-29","Blight HC","UniqueFlask",2,5.78,2,1.82,1,0.32,40,0.97,0.99,1,8,0.64,34.48,11.88,90.66,0.48,74.14,3,2,2.5,4,10,15,0.81,1127,1513.07
25,"2019-09-30","Blight HC","UniqueFlask",2,5,2,1.86,1,0.32,45,0.98,0.97,1,8,0.48,35,13,92.76,0.48,74.14,3,2,2.39,4,10,15,0.96,1066.2625,1618.73333
26,"2019-10-01","Blight HC","UniqueFlask",2,5,1,1.84,1,0.31,49,0.96,0.9,1,8,0.62,35,13.5,93.43,0.48,70,3,2,2.4,4,10,16.54,0.96,1072.37,1622.4
27,"2019-10-02","Blight HC","UniqueFlask",2,5,1.6801,1.74,1,0.31,45,1,0.73,1,8.80548,0.68,35,13.73,97.77,0.48,68.04,3.19716,2,2.41,4,10,14.3,0.96,1078.609,1298.84
28,"2019-10-03","Blight HC","UniqueFlask",2,5,2,1.51,1,0.34,41.7,1,0.84,1,9.44,0.79,35,13.42,102.86,0.48,80.60333,5,2,2.41,3,10,15,0.96,1014.94,1550.54
29,"2019-10-04","Blight HC","UniqueFlask",2,5,2,1.26,1,0.41,40.58076,1,0.96,1,9.55,0.82,40,12.81,104.28,0.64535,81,5,2,2.44,3,10,15,1,1023.9,1547.1
30,"2019-10-05","Blight HC","UniqueFlask",2,5,2,1.53,1,0.31,40,1,0.96,1,9.63,0.72,40,12.57,106.32269,0.56,81.21625,5,2,2.44,3,10,15.92,1,1152.86333,1551.1025
31,"2019-10-06","Blight HC","UniqueFlask",2,5,2,1.53,1,0.31,38.61507,0.96,0.99,1,9.35258,0.99,36.55297,12.34,105.22833,0.69,89.485,5,2,2.51,3,10,20,0.96,1150.78333,1553.56
32,"2019-10-07","Blight HC","UniqueFlask",2,5,1.96,1.67,1,0.3,34.2728,0.96,1,1,9.41275,0.9,39.4,20.08,120.05,0.83,89.74,5.05,2,2.63,3,10,20,0.98,902.4575,1548.31
33,"2019-10-08","Blight HC","UniqueFlask",2,5,1,1.68,1,0.3,30,1,1,1,9.05,0.97005,39.33288,24.39,119.83,0.93,162.39,5.68,3,2.62,3,10,20,1,802.75,1553.75
34,"2019-10-09","Blight HC","UniqueFlask",3,5,1,1.72,1,0.3,26.45,1,1,1,10.47,0.9,40,21.91,110.47,0.5,162.46,5,3,1.82,3,10,20,1,800.7925,1628.83
35,"2019-10-10","Blight HC","UniqueFlask",3,5,1,1.75,1,0.3,30,1,1,1,12,0.74005,42.52786,21.96,134.59,0.46,164.96,5,2.58,1.82,3,10,19.48,1,811.59,1683.87
36,"2019-10-11","Blight HC","UniqueFlask",2.70005,5,1,1.72,1,0.29,30,1,1,1,13.89778,0.58,45.98,20,140.40964,0.5,165.98,5.11,2,1.87,3,10,19.79,1,863.1,1839.89
37,"2019-10-12","Blight HC","UniqueFlask",2,5,1,1.9,1,0.27,30,1,1,1,14,0.6,46.11279,18.01,141.25904,0.5,168.53,6.23626,2,2.27,3,10,19.2,0.99,879.32,1522.71
38,"2019-10-13","Blight HC","UniqueFlask",2,5,1,1.62,1,0.27,30,1,1,1,15,0.52,42.82727,18.54,135.81214,0.52,135.99,6,2,2.79,3,10,20,0.76,715.36,1700.4
39,"2019-10-14","Blight HC","UniqueFlask",2,5,1,1.24,1,0.3101,30,1,1,1,14.12,0.52,40,19.25,139.17,0.52,170.22333,6.4,2,3,3,12.05,20,0.7,682.82,1751.615
40,"2019-10-15","Blight HC","UniqueFlask",2,5,1,1.91,1,0.38,28.3,1,1,1,14.21358,0.5,40,14.92,148.51,0.5,171.04,6,2.09,3,3,10,17.37623,0.99,1026.24,2061.03
41,"2019-10-16","Blight HC","UniqueFlask",2,5,1,1.52,1,0.24005,30,1,1,1,10,0.56,39.4,14.36,146.8,0.54,143.2,5,3,3,3,10,20,0.74,1031.88,2072.36
42,"2019-10-17","Blight HC","UniqueFlask",2.87606,5,1,1.64,1,0.23,30,0.7,1,1,10.39,0.46,39.65,14,159.08852,0.53,134.17,4,3,3,3,10,20.45,0.56,1113.68,2200.25
43,"2019-10-18","Blight HC","UniqueFlask",3,5,1,1.85,1,0.23,30,0.72,1,1,12.01579,0.46,40,10.66,165.51,0.87,131.71625,5,3,3,3,10,21.36,0.83,1148.71,2263.25
44,"2019-10-19","Blight HC","UniqueFlask",2.59081,5.67108,1,1.9,1,0.23,30,1,1,1,11.65,0.46,40,9.25692,173.9704,0.55,133,5,3,3,3,10,20,0.98,1234.55,2366.75
45,"2019-10-20","Blight HC","UniqueFlask",3,5.35,1,1,1,0.24,30,1,1,1,10.09,0.52,42.05212,8.62,182.16868,0.54,134.34667,5,3,3,3,11.03,25,0.8,1269.325,0
46,"2019-10-21","Blight HC","UniqueFlask",3,6,1,1,1,0.24,29,1,1,1,15,0.53,40,9.83,178.4,0.53,133.20667,5,3,3,3,10.58,25,1,1258.1575,0
47,"2019-10-22","Blight HC","UniqueFlask",3,6.38,1,1,1,0.23,30,1,0.96,1,14.51728,0.57,40,8.91,168.26,0.53,134.53,5,3,3,2.78,11.14,25,0.73,1223.4,0
48,"2019-10-23","Blight HC","UniqueFlask",3,6.66634,1,1,1,0.24,30,1,0.94,1,15,0.66974,41.87,7.39,168.28857,0.53,142.32,5,3,3.67,2.75515,11.14,25,0.53,1214.14125,0
49,"2019-10-24","Blight HC","UniqueFlask",3,6,1,1,1,0.24,30,1,0.74,1,15,0.68,42.87326,7.19,168.77,0.53,127.62,5,2.31,3.58,3,10.58,25,0.47,1212.68,3936
50,"2019-10-25","Blight HC","UniqueFlask",3,5.91,1,1,1,0.24,30,1,0.78,1,15,0.72,40,4.53,164.87,0.51,125.78,5,2.68,4,3,11.67,25,0.5,1179.47,3879.2
51,"2019-10-26","Blight HC","UniqueFlask",3,6,1,1,1,0.23,30,1,0.72,1,15.02,0.74,40,4.53,174.56,0.51,125.78,6,2,4,2.4904,11.89,25,0.5,1184.8,3879.2
52,"2019-10-27","Blight HC","UniqueFlask",3,6,1,1,1,0.23,31.51,1,0.72,1,16.13,0.91,40,2.23,172.49606,0.51,124.45625,6.58,2,4,2.81525,11.89,25,0.51,1172.42667,3841.2
53,"2019-10-28","Blight HC","UniqueFlask",2.13,6,1,1,1,0.24,34.41606,1,0.67,1,15.49,0.91,40,1.32,158.11,0.52,113.88,7,2,4,2.69,10,25,0.52,1160.37,3799.2
54,"2019-10-29","Blight HC","UniqueFlask",2,6.44,1,1,1,0.24,30,1,0.64,1,16,0.87,40,4.71429,140.97,0.79,103.38,6.96507,2,4,2.83,11.56,25,0.51,1268.73,3759.2
55,"2019-10-30","Blight HC","UniqueFlask",2.85,6.13,1,1,1,0.24,30,1,0.65,1,17,0.78,40,4.68,141,0.94,103.49,6.19,2,4,3,11.56,25,0.52,1223.04,3575.04
56,"2019-10-31","Blight HC","UniqueFlask",2.45,6,1,1,1,0.24,29.89,1,0.81206,1,15.85047,0.86,38.52,4.68,139.17,0.98,102.075,6,2,3.96,2.11,11.37,21.55295,0.51,1206.53,3526.78
57,"2019-11-01","Blight HC","UniqueFlask",2.28,6,1,1,1,0.25,29.18,1,0.84,1,16,0.79,32.9,4.19,138.87,1,101.84,6.06,2,3.88,2.4,10,24.12,0.5,1203.54,3518.04
58,"2019-11-02","Blight HC","UniqueFlask",1,5.97,1,1,1,0.26,30,1,0.77179,1,17.92,0.54,29.32,13.02,138.84,1,101.82,6,2,3.9,2.65,10,24.78,0.48,1203.28,3525.26
59,"2019-11-03","Blight HC","UniqueFlask",1.3,7.09,1,1.66,1,0.26,32.26054,1,1,1,18,0.79,34.36,18.61,135.62788,0.99,100.3,6,2,3.83,2.09,10,24.58,0.43,1187.55,5425.8
60,"2019-11-04","Blight HC","UniqueFlask",1.67,6.83,1,1.78,1,0.27,36.91,1,1,1,16.92,0.87,40,21.59,135.7,0.77,99.52,6,2,3.83,2.86,10,25,0.51,0,7237.6
61,"2019-11-05","Blight HC","UniqueFlask",2.01,7.16,1,1.69,1,0.28,33.46649,1,1,1,18,0.82,36.03,24.61,134.58,0.56,98.92,5.22,2,3,2.82609,9.77,30,0.55,0,7178
62,"2019-11-06","Blight HC","UniqueFlask",2.44,7.25,1,1.41,1,0.3,32.24,1,1,1,18,0.8,38.02,30.74,133.82,0.75318,108.74,5.41,2,3,3,9.77,30,0.54,0,7136.8
63,"2019-11-07","Blight HC","UniqueFlask",2.27,7.01,1,1.19,1,0.3,30.11,1,1,1,18,0.78,40,27.65,134.52385,0.84,180.04,5.24,2,3,3,9.77,30,0.54,0,7175.6
64,"2019-11-08","Blight HC","UniqueFlask",2.45,6.7,1,1.13,1,0.3,38.19,1,1,1,17.84,0.86,42.93,33.64,131.98,0.97,175.98,5,2,3,3,8.05,30,0.54,0,7039.2
65,"2019-11-09","Blight HC","UniqueFlask",2.19,8.13,1,1.07,1,0.35,38,1,1,1,18,0.94,45,34.92,131.98,0.99,175.98,5,2,3,3,7.77,30,0.56,0,7039.2
66,"2019-11-10","Blight HC","UniqueFlask",2.2,8.63,1,1.1,1,0.24,38,1,1,1,18,0.72,46.28,34.39,128.1976,0.69,170.92,5,2,2,3,7.77,30,0.52,0,6836.8
67,"2019-11-11","Blight HC","UniqueFlask",3,10.28,1,1.68,1,0.24,35,1,0.88,1,18,0.68,38.38,34.06,126.03,0.83966,126.03,5,2,3.01,3,7.48,24.67,0.56,0,6721.6
68,"2019-11-12","Blight HC","UniqueFlask",3.11,10.66,1,1.69,1,0.24,35,1,0.91,1,15,0.93,36.47,30,126.03,0.8,0,5,2,2,3,7.48,25.36,0.57,0,6721.6
69,"2019-11-13","Blight HC","UniqueFlask",3,12.62,1,1.69,1,0.24,32.38429,1,1,1,15,1,40,30,124.41,0.78,0,4.76,2,2.8,3,7.2,27.2,0.83947,0,6695.2
70,"2019-11-14","Blight HC","UniqueFlask",3,11.46,1,1.98,1,0.25,32,1,1,1,14.8,1,40,27.27,118.31,0.76,0,4,2,2.8,3,7.2,23.47,0.52,0,6659.2
71,"2019-11-15","Blight HC","UniqueFlask",3,11.17,1,1.98,1,0.43,31.54,1,0.86,1,15,1,40,27.27,110,0.78,0,4.98,2,2.6,3,5.59,24.84,0.53,0,6613.6
72,"2019-11-16","Blight HC","UniqueFlask",4,10.84,1,1.94,1,0.53,30.72,1,0.66143,1,15,1,38.33,25.43,110,0.75,0,4,2,2.4,3,5,22.26,0.52,0,6572.8
73,"2019-11-17","Blight HC","UniqueFlask",3.37,16.39,1,2,1,0.39,31.86,1,0.67,1,14.99515,1,35.7,21.7,123.25,0.8,163.76,4.29962,2,2.4,3,5,20.94589,0.54,0,6601.6
74,"2019-11-18","Blight HC","UniqueFlask",3.73,9.68,1,2,1,0.36,30.85,1,0.65,1,15,1,37.85,23.92,118.34,0.52,163.92,4.49,2,2.4,3,5,20,0.58,0,0
75,"2019-11-19","Blight HC","UniqueFlask",4.45,9.92,1,2,0.73,0.52,30,1,0.66,1,14.41,1,37.46,19.8,104.26,0.5,161.68,4.12,2,2.5,3,5,20,0.58,0,0
76,"2019-11-20","Blight HC","UniqueFlask",4.71,17.66,1,2,1,0.55,30,1,0.69,1,13.45,1,35,30,101.77,0.5,163.66,4,2,2.5,3,5,20,0.51582,0,0
77,"2019-11-21","Blight HC","UniqueFlask",4.91,15.86,1,2,1,0.56,30,1,0.56,1,14.863,1,35,30,109.59,1,166.52,4,2,3.06,3.17,5.4,20,0.56,0,0
78,"2019-11-22","Blight HC","UniqueFlask",4.91,15.12,1,2,1,0.53,30,1,0.99,1,15,1,38.22,33.14,108.73,1,164.68,4,2,3.06,3.59,5,20,0.59,0,0
79,"2019-11-23","Blight HC","UniqueFlask",3.83795,15,1,2,1,0.54,30.25,1,1,1,15,0.98,38.259,33.14,122.45125,1,165.62,4.69,2,3.06,3,5,20,0.54,0,0
80,"2019-11-24","Blight HC","UniqueFlask",4.53,15,1,2,1,0.6,32.54,1,1,1.52,15,0.6,33.87,31.95,121.1575,1,165.32,4.85,2,3.06,3,5.22,20,0.56,0,0
81,"2019-11-25","Blight HC","UniqueFlask",4,15,1,2,1,0.48,32.96,1,1,2,14.94,0.58,36.21,31.62,119.70971,1,0,4,2,3.06,3,5.22,23.67,0.55,0,0
82,"2019-11-26","Blight HC","UniqueFlask",5,15,1,2,1,0.26,33.78,1,1,1.41,15,0.53,34.82,31.62,110.49,1,120.935,5.1,2,50,4,5.22,24.46,0.55,0,0
83,"2019-11-27","Blight HC","UniqueFlask",5,15,1,2,1,0.26,35,1,1,1,18.85257,0.58,39.06,16.51,110.49,1,120.16,6.44641,2,50,4,5.22,23.28,0.56,0,0
84,"2019-11-28","Blight HC","UniqueFlask",5,16.28,1,2,1,0.31,35,1,1,1,18.92,0.58,38.77,16.51,90.63,1,116.98,5.96622,2,50,4,5.22,24.46,0.58,0,0
85,"2019-11-29","Blight HC","UniqueFlask",5,16.2,1,2,1,0.31,35.07,1,1,1,18.67,0.57,31.65,13.81,100,1,2,5,2,50,4,5.22,25.92,0.57,0,0
86,"2019-11-30","Blight HC","UniqueFlask",5,34.27,1,2,1,0.31,35,1,1,1,20,0.57,31.45,13.69,100,1,0,5.76,2,50,4,5.2,31.23,0.58,0,0
87,"2019-12-01","Blight HC","UniqueFlask",5,35.03,1.4,2,1,0.32,35,1,1,1,18.38,0.63,31.89,35.4,100,1,0,6.06,2,50,4.65,5.2,31.93,0.56,0,0
88,"2019-12-02","Blight HC","UniqueFlask",5.96,34.8,1.4,2,1,0.28,35,1,1,1,20,0.52,35.57,35.4,100,1,0,6.755,2,50,4.42,7,31.58,0.52,0,0
89,"2019-12-03","Blight HC","UniqueFlask",7,33.75,1,2,1,0.26,35,1,1,1,20,0.53,36.83,35.4,100,1,0,7.26,2.04,50,4.53,7,30.42,0.53,0,0
90,"2019-12-04","Blight HC","UniqueFlask",5.43,38.31,1,2,1,0.26,35,1,1,1,20,0.52,33.1,21.9,100,1,0,7.5,2.16,50,3.69,7,30.14,0.52,0,0
91,"2019-12-05","Blight HC","UniqueFlask",5.35,35.8,1,0.89,1,0.24,35,1,1,2.2,22.46,0.47,36.16,21.9,100,0.83375,0,8.32,2.13,9,3.22,7,24.77,0.51,0,0
92,"2019-12-06","Blight HC","UniqueFlask",5,35.84,1,1.04,1,0.24,35,1,1.2,2.89,20,0.54,33.2,21.9,100,0.81,0,7.54,2.33,8,5,7,32.2,0.54,3200,0
93,"2019-12-07","Blight HC","UniqueFlask",5,31.47,1,0.97,1,0.31,35,1,1.31,1.24,19.97,0.68,32.78,21.9,100,0.85,0,6.95,2.94,8,5,7,32.36,0.52,3195.6,0
94,"2019-12-08","Blight HC","UniqueFlask",5,21.43,1,0.92,1.9,0.24276,35,1,1,1.1,20,0.84,32.91,24.36,100,0.71,0,8,2.95,8,4.92,0,31.59,0.54,3172,0
