"Day","Date","League","Type","A.Mother.s.Parting.Gift","Abandoned.Wealth","Anarchy.s.Price","Assassin.s.Favour","Atziri.s.Arsenal","Audacity","Birth.of.the.Three","Blind.Venture","Boundless.Realms","Bowyer.s.Dream","Call.to.the.First.Ones","Cartographer.s.Delight","Chaotic.Disposition","Coveted.Possession","Death","Destined.to.Crumble","Dialla.s.Subjugation","Doedre.s.Madness","Dying.Anguish","Earth.Drinker","Emperor.s.Luck","Emperor.of.Purity","Gemcutter.s.Promise","Gift.of.the.Gemling.Queen","Glimmer.of.Hope","Grave.Knowledge","Her.Mask","Heterochromia","Hope","House.of.Mirrors","Hubris","Humility","Hunter.s.Resolve","Hunter.s.Reward","Jack.in.the.Box","Lantador.s.Lost.Love","Last.Hope","Left.to.Fate","Light.and.Truth","Lingering.Remnants","Lost.Worlds","Loyalty","Lucky.Connections","Lucky.Deck","Lysah.s.Respite","Mawr.Blaidd","Merciless.Armament","Might.is.Right","Mitts","No.Traces","Pride.Before.the.Fall","Prosperity","Rain.of.Chaos","Rain.Tempter","Rats","Rebirth","Scholar.of.the.Seas","Shard.of.Fate","Struck.by.Lightning","The.Aesthete","The.Arena.Champion","The.Artist","The.Avenger","The.Battle.Born","The.Betrayal","The.Blazing.Fire","The.Body","The.Brittle.Emperor","The.Calling","The.Carrion.Crow","The.Cartographer","The.Cataclysm","The.Catalyst","The.Celestial.Justicar","The.Chains.that.Bind","The.Coming.Storm","The.Conduit","The.Cursed.King","The.Dapper.Prodigy","The.Dark.Mage","The.Demoness","The.Doctor","The.Doppelganger","The.Dragon","The.Dragon.s.Heart","The.Drunken.Aristocrat","The.Encroaching.Darkness","The.Endurance","The.Enlightened","The.Ethereal","The.Explorer","The.Eye.of.the.Dragon","The.Feast","The.Fiend","The.Fletcher","The.Flora.s.Gift","The.Formless.Sea","The.Forsaken","The.Fox","The.Gambler","The.Garish.Power","The.Gemcutter","The.Gentleman","The.Gladiator","The.Harvester","The.Hermit","The.Hoarder","The.Hunger","The.Immortal","The.Incantation","The.Inoculated","The.Inventor","The.Jester","The.King.s.Blade","The.King.s.Heart","The.Last.One.Standing","The.Lich","The.Lion","The.Lord.in.Black","The.Lover","The.Lunaris.Priestess","The.Mercenary","The.Metalsmith.s.Gift","The.Oath","The.Offering","The.One.With.All","The.Opulent","The.Pack.Leader","The.Pact","The.Penitent","The.Poet","The.Polymath","The.Porcupine","The.Queen","The.Rabid.Rhoa","The.Realm","The.Risk","The.Road.to.Power","The.Ruthless.Ceinture","The.Saint.s.Treasure","The.Scarred.Meadow","The.Scavenger","The.Scholar","The.Sephirot","The.Sigil","The.Siren","The.Soul","The.Spark.and.the.Flame","The.Spoiled.Prince","The.Standoff","The.Stormcaller","The.Summoner","The.Sun","The.Surgeon","The.Surveyor","The.Survivalist","The.Thaumaturgist","The.Throne","The.Tower","The.Traitor","The.Trial","The.Twins","The.Tyrant","The.Union","The.Valkyrie","The.Valley.of.Steel.Boxes","The.Vast","The.Visionary","The.Void","The.Warden","The.Warlord","The.Watcher","The.Web","The.Wind","The.Wolf","The.Wolf.s.Shadow","The.Wolven.King.s.Bite","The.Wolverine","The.Wrath","The.Wretched","Three.Faces.in.the.Dark","Thunderous.Skies","Time.Lost.Relic","Tranquillity","Treasure.Hunter","Turn.the.Other.Cheek","Vinia.s.Token","Volatile.Power","Wealth.and.Power","Blessing.of.God","Forbidden.Power","The.Breach","The.Deceiver","The.Dreamer","The.Insatiable","The.Iron.Bard","The.Obscured","The.Puzzle","The.World.Eater","A.Dab.of.Ink","Beauty.Through.Death","Boon.of.the.First.Ones","Harmony.of.Souls","Immortal.Resolve","Perfection","The.Admirer","The.Army.of.Blood","The.Beast","The.Cacophony","The.Celestial.Stone","The.Darkest.Dream","The.Dreamland","The.Endless.Darkness","The.Fathomless.Depths","The.Hale.Heart","The.Innocent","The.Jeweller.s.Boon","The.Master","The.Master.Artisan","The.Mayor","The.Nurse","The.Price.of.Protection","The.Professor","The.Rite.of.Elements","The.Sacrifice","The.Samurai.s.Eye","The.Sword.King.s.Salute","The.Twilight.Moon","The.Undaunted","The.Undisputed","The.Wilted.Rose","The.Witch","Three.Voices","Akil.s.Prophecy","Alluring.Bounty","Alone.in.the.Darkness","Arrogance.of.the.Vaal","Azyran.s.Reward","Boon.of.Justice","Buried.Treasure","Burning.Blood","Dark.Dreams","Dark.Temptation","Demigod.s.Wager","Echoes.of.Love","Imperial.Legacy","Monochrome","More.is.Never.Enough","Nook.s.Crown","Pride.of.the.First.Ones","Remembrance","Sambodhi.s.Vow","Seven.Years.Bad.Luck","The.Archmage.s.Right.Hand","The.Bargain","The.Damned","The.Deal","The.Deep.Ones","The.Demon","The.Eye.of.Terror","The.Fool","The.Golden.Era","The.Heroic.Shot","The.Journey","The.Landing","The.Life.Thief","The.Lord.of.Celebration","The.Mad.King","The.Messenger","The.Mountain","The.Old.Man","The.Price.of.Loyalty","The.Primordial","The.Seeker","The.Side.Quest","The.Skeleton","The.Wolf.s.Legacy","Thirst.for.Knowledge","Vanity","Vile.Power","Void.of.the.Elements","Baited.Expectations","Cameria.s.Cut","Deathly.Designs","Divine.Justice","Etched.in.Blood","Friendship","Squandered.Prosperity","Succor.of.the.Sinless","The.Bones","The.Chosen","The.Craving","The.Escape","The.Fishmonger","Underground.Forest"
121,"2017-12-02","Harbinger HC","DivinationCard",1,26.94,1,1,1,0,0,0,1,8,0,1,0,1,1,1,0,1,1,0,1,7,1,1,0,1,1,0,0,0,1,1.38256,0,0,1,1,5.59763,NA,1,1,0,1,0,0,2,0,0,1,1,NA,0,1,1,0,1,NA,1,1,1,4,1,0,2,1,0,NA,2,30,2,1,0,0,1,0,5.21,1,0,3,18.50769,3,0,612.10564,1,0,35.12,0,1,0.24795,20,0,0,NA,1,0,0,1,0,0,1,1,1,0.43795,1,2.12,3,1,1.93333,15.98923,0,1,1,1,0,1,50,60.54667,1,2,0,1,1,1,1,1,36.11,0,0,1.03077,1,0,0,23,5.36923,0,1,NA,3.18974,0,NA,9.11231,1,2.1,1,10,1,1,19,52.5641,0,1,2,1,2,0,1,0,0,2,0,0,0,0,0,0,4,2,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"2017-12-03","Harbinger HC","DivinationCard",1,29.8841,1,1,1,0,0,0,1,8,0,1,0,0,1,1,0,1,1,0,1,7,0,0,0,1,0,0,0,0,0,1.29,0,0,0,0,10,NA,1,0,0,0,0,0,2,0,0,0,0,NA,80,0,0,0,1,NA,1,0,0,4,0,0,2,1,0,NA,2,15,0,0.18944,0,0,1,0,5.21,0,0,3,22.6,3.03333,0,597.30487,0,0,35.12,0,0,0.918,20,0,0,NA,1,0,0,0,27,0,0,0,1,0.62034,0,2.12,3,1,3.09231,17.33462,0,0,0,0,0,1,50,59.94205,1,2,0,0,1,0,0,1,36.40846,0,0,1.12,1,0,0,23,2.6,0,0,NA,3.20103,0,NA,8.27641,0,2.1,0,10,0,0,19,50,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"2017-12-04","Harbinger HC","DivinationCard",1,30,0,1,1,0,0,0,1,8,0,1,0,0,1,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,1.26486,0,0,0,0,10,NA,1,0,0,0,0,0,2,0,0,0,0,NA,80,0,0,0,1,NA,1,0,0,4,0,0,2,1,0,NA,2.048,0,0,0.168,0,0,0,0,5.21,0,0,3,22.6,3.1,0,610.96257,0,0,35.12,0,0,1,20,0,0,NA,1,0,0,0,27,0,0,0,1,0.54,0,2.74857,3,1,3.01429,16.31,0,0,0,0,0,1,50,59.46,1,2,0,0,1,0,0,1,36.91914,0,0,1.74857,1,0,0,23,2.6,0,0,NA,3.2,0,NA,7.92,0,2.1,0,0,0,0,19,50,0,9,2,0,2,0,0,0,0,5,0,0,0,0,0,0,4.24343,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1.00343,0,0,0,0,0,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"2018-08-03","Incursion Flashback HC","DivinationCard",0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,0,3,1,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2018-08-04","Incursion Flashback HC","DivinationCard",0.39,0,0.68,0.4,0,0,NA,1,0,0,0,1,NA,1,1,2,0,0.48375,0.77063,2,0.27,4,1.23,0,0,0,1,15,3,0,0.54154,2,1,0,1,0.34,17.12,5,0,0,0,0.51,1,0,0,0,0,0,1,2,18,1,0.51,0,0.505,1,0.43,1.4,0,0,0,0,1,0.67,1,2.245,1,15.99,0.33,0.25,0,1,0.45,8.84833,2.54545,0,0.72,1,5.73556,0.8,0,300,1,2,0,1,0,0.66,0,5,0,1,0,0,0.596,0,0,NA,1,1.1,1,0.27,0.68,1.43143,NA,1.1,3,5.53969,NA,1,1,1.5,0,0.25,20,20,1,0,0,1,1,0,0.44,0,23.3,1.2,1,0,2,0,0,22.17,9.28778,0,0,0.25,3,NA,1.47,5,1,1,0.4925,8,0,0,0,52.36,0,0,0,1,5.35,0,3,0,0,8.79,0,2.845,0,0,0,0,2,7.432,0,0,0,0.27,0,0,0,24.64,0,1,39.14,3,1,0,0.34,0.82,0,0,1.4,0.365,0.5456,0.266,0,0,0,0,0.78,0,NA,0,1,0.25,30,NA,NA,NA,0,0,0,0,0.36,3,NA,0,50,1.1,NA,5,0,NA,3.42,32.85429,NA,0,NA,NA,10,0,NA,20,1,NA,30,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2018-08-05","Incursion Flashback HC","DivinationCard",0.32143,0,0.78273,0.4,3,2.3,NA,1,2,21.56,3,0.555,NA,0.5,0.56,2,0,0.58,0.4,2,0.16,4,1,0.49,0.45,0,0.77,10,1,0,0.45,2,1,0,0.76,0.36833,12.72944,5,0,0,0,0.71,1,0,3.12,0,0,0,0.75,0.63,18,0.795,0.43,0,0.32,1,0.93,1.4,0.45,3,0,0,2.5,0.53765,1,2,0.964,9.352,0.83,0.15,0,0.5,0.67688,11.39,3,0,1.195,13.74,6.19167,0.92,4,272.94,0.461,8.4,20,1,0.63,1,6.12,5.7,1,0.68,0.24,84.06,0.55,1.12,3,NA,1,0.74,1,0.3,0.72,1.45,NA,1,3,6.05273,NA,1,0,1,0,0.16,18,19.39,1,0.49,0.5,1,0.4925,0,0.31,0,21.48875,0.89,0.61,0,2,0,4.12,12,9.94273,28.9,0.485,0.28,3,NA,1,5,0,1,0.42,7,0,0,0,24.87,0,0.29,0,0.58,5,1,3,1,0,8,1,1.59,0,0,0,1,2,4,40,0,0,0.28409,5,0,1,27.105,0,0.59,27.345,2.1,1,1.12,0.36,0.36,0,0,1,0.25,0.3,0.25,0,1,3,4,0.37,0,NA,57.08,1,0.24,32.81,NA,NA,NA,0,0,42,0,0.43,2.24,NA,0,50,0.83167,NA,4,0,NA,3.76,22.66,NA,0,NA,NA,6.9,5,NA,28.278,0.89,NA,8,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2018-08-06","Incursion Flashback HC","DivinationCard",0.44,18.71,0.92,0.32,2.1,2.64,NA,1,2,20,1.575,0.53,NA,0.65,0.58,1,0,0.81469,0.48,2,0.28,4,0.8,0.54,0.66,0,0.78,10,1,0,0.53,2,0.78,0,0.72,0.39,6.18,5,0,0,3,0.75,0.97,0,1.83,0,0,0,0.96,0.7,18,0.78,0.3525,0,3,1,1,1.4,0.48,3,0,0,2,0.48,1,2,1,13.62,1,0.36283,0,0.53,0.82,13.52929,3,2,1.88,10,5.0476,1,2.2,228.29,0.47,8,20,1,0.66,1,13.2,6.4,1,0.77,0.35,86.43,1,1,3,NA,1,0.82,1,0.31145,0.91,1,NA,1,2.7,10.31109,NA,1,0,1.12,0,0.45385,18.155,18,0.71,0.54,0.53,1,0.48,0,0.48,2,18,0.95,0.65,4,2,6,4.12,11.89,9.99,25.845,0.53,0.32,2.56263,NA,1,5,1,0.79,0.42,6,1.1,0,8,24.87,0,0.32,20,0.49,4.48,1,3.01,1,28.335,7.29,1,1.42,4,0,0,0.39,1.5302,3.65,40,0,5,0.33,5,1,1,25.57556,30,0.43625,25,2,1,2,0.626,0.41,5,0,0.49,0.3,0.32,0.3405,40,1,2.5,4,0.32,0,NA,34.95,1,0.28,30,NA,NA,NA,0,0,32,0,0.654,3,NA,35,50,1,NA,4,0,NA,4,20,NA,50,NA,NA,5,4,NA,29,0.9,NA,8.41,0,NA,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2018-08-07","Incursion Flashback HC","DivinationCard",0.61364,17.98,0.77,0.3615,1.44,2.59,NA,1,2,19.49,1,0.5,NA,0.7,0.56,1,0,1,0.64,2,0.37788,3.43231,1,0.71,0.63,0,0.52,16.31,1.25,0,0.6,2,0.86,0,0.81,0.35,4,5.59,2,0,3,0.8935,1,0,1.85,0,0,5,1,0.7,19.21,0.54125,0.40571,0,1,1,1,1,0.58,2.11,0,0,0,0.45,1,1.17,1,10.98,0.78,0.49,0,0.63,0.71,14.49,2.95263,2,1.88,9,5,1.14,2,249.45455,0.72,8,18.45,1,0.7,1,10.96,12.48,0.5,1,0.39,100,1.03,1,3,NA,1,1,1,0.25585,0.71,1,NA,1,2,10,NA,1,1,1.23,0,1,20.14,15.82,0.92,0.7575,0.5,1,0.45,0,0.39,2,18.86,0.9,0.7,2.1,1.1,6,2.59,11.52063,12.37,21.065,0.56833,0.66041,2.07,NA,1,5,1,0.79,0.48,4.77,1.1,0,5.83,59.12,0,0.37,18,0.55,1,1,0,1,29.94,6.4,1,1.74,4,0,0,0.35,2,3,40,8.2,4.22,0.34,5,0.63,1,20,17.32833,0.43,30,0.72,1,2,0.48333,0.43778,5,1,0.57,0.52,0.3,0.41933,40,1,1.89,4,0.33,0,NA,27.89,1,0.2541,32.34,NA,NA,NA,10,0,32,5.06,1.01,3,NA,35,50,1,NA,3.7,0,NA,4.39,20,NA,50,NA,NA,4,4,NA,32.7,0.98333,NA,7.3,0,NA,1.12,0.85333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2018-08-08","Incursion Flashback HC","DivinationCard",0.99,16.33,1,0.48,1.7,1.29,NA,1,2,19.49,0.4,0.75,NA,0.7,0.63,1,0,1,0.88,2,1,3,1,0.89,0.63,0,0.89,12.63,1,520,0.65,2,0.93,0,0.59,0.15,4,5,2,2,3.12,1,1,0,1.85,0,0,5.23,0.9,0.96,20,0.63,0.69,0,1,1,1,1,0.64,2,1,0,8,0.45,0.988,1,1,10,1,0.71,0,0.76,1,15.57,3,2,1.4,6.79636,6.13045,1.62,2,276.59,0.96,7,14.41,1,0.88,1,9.63,13.49,0.5,1,0.48,83.76,1.015,1,3.35,NA,0.74,1,1,0.83,1,1,NA,1,2,9,NA,1,1,1.23,1,1,20.68,15,0.91,0.64,0.57,0.41,0.45,1,1,2,17.24,0.93,0.7,2.1,1.1,3.23,2.39,9.48316,14,18.98,0.63,0.9,1.81,NA,1,5,1,0.94,1,4.46,0.33,0,12,53.1,1,0.45,12,0.71,0.64,1,1,1,31.38,5.03333,1,1.9575,2.2,0,0,0.39,2,2.80667,40,8.2,7.23,0.6,2.19,0.7,1,16.67,16.16,0.48,28.86,0.77,1,2,0.59,0.33,5,1,0.66,0.99,0.44,0.88,0,1,1.89,4,0.34,0,NA,27.99,1,0.3,35,NA,NA,NA,10,120,24,8.4,1,3,NA,30,7.7,1,NA,2,0,NA,4.74,22.32,NA,50,NA,NA,4.95,2.265,NA,35,1,NA,7,0,NA,2,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2018-08-09","Incursion Flashback HC","DivinationCard",0.97,18.49,1,0.48,1.03,1,NA,1,2,19.49,0.51,0.82,NA,0.88,0.75,1,0,1,1,2,1,3,1,0.89,0.63,10,1,10,1,534.88,0.58,1.33,0.92,0,0.72,0.15,3,4.2,2,2,3,1,1,0,2,0,0,2.65,0.88,1,19.13294,0.66,0.82,0,1,1,1,1,0.7,2,5,0,8,0.45,1,1,1,8,1,0.83,0,0.99,1,16.04,3,2,0.96,5,6.87,1.96,1,341.34167,0.94,7,13.47,1,0.94,1,9.63,17.6,0.5,1,0.62,83.76,1,1,2.2,NA,0.75,1,1,1,1,1,NA,1,2,8,NA,1,1,1,1,1,24.54,15,0.99,0.66,0.58667,0.51,0.45,1,1,2,15,1,0.77,1.29,1.1,3,2,8.95292,13.04429,16.44,0.63,1,1.75,NA,1,4,1,0.94,1,4.67,0.34,1,11,42.85,15.04,0.45,11.1,0.69,0.65125,1,1,1,33.43,5.31,1,1.19,1.315,0,0,0.39,2,2,40,5.79,6.48,0.6,2.56,0.68,1,15,15,0.61,33.78,0.89,1,1.93679,0.67,0.35,5,1,1,0.9,0.59,1,0,1,1,6.57,0.3345,0,NA,25.09063,1,0.3,35,NA,NA,NA,7.2,120,24,7,1,3,NA,30,3,1,NA,2,0,NA,4.3,20.01909,NA,13.1,NA,NA,4.76,2,NA,37.39,1,NA,7.17,0,NA,0.56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2018-08-10","Incursion Flashback HC","DivinationCard",1,19.64,1,0.61,1.03,1,NA,1,2,16.92,0.73,0.75,NA,0.88,0.81,1,0,1,1,2,1,4,1,0.89,0.82,10,1,10,1,568,0.48,1.62,0.93,0,0.76,0.15,2,3.59333,1.4,2,3,1,1,5,2,8,0,4.58,0.89,1.04,20,0.69,1,0,1,1,1,1,0.58,2,0,7,8,0.45,1,1,1,8,1,0.89,0,0.99,1,16.68531,2.74304,2,0.32,5,6.39,2,1,326.76,0.95,5.73826,13.47,1,1,1,11.64,13.05,0.55833,1,0.69,76.39,1,1,1.4,NA,0.8,1,1,1,1,1,NA,1,2,8,NA,1,1,1,1,1,22,14,1,0.79167,0.7,0.43,0.45,1,1,2,12,1,0.79143,2,1.1,3,2,8,14,14.17,0.57,1,2,NA,1,4,1,0.87,1,4.35926,0.34,1,8.48,38.29,15.04,0.53,11.1,0.82,0.8,1,1,1,35.5,5,1,1.32321,2,0,0,0.37,2,2,40,3.98,6,0.67,3.03,0.68,1,12,13.46,0.54,53.978,0.89,1,1.72214,0.72,0.48,5,1,1,0.92,0.62,1,0,1,1,4,0.37,0,NA,25,1.09571,0.3,28,NA,NA,NA,4.29,67.92,17.23,4.8375,1,3,NA,25,3,1,NA,2,0,NA,4,21.71,NA,6.59,NA,NA,5,2,NA,27.49,1,NA,7,0,NA,0.56,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2018-08-11","Incursion Flashback HC","DivinationCard",0.99,19.5,1,1,1.15,1,NA,1,2,16.83,0.73,0.7,NA,0.99,0.88,1,0,1,1,2,1,3,1,0.96,1.01,0,1,10,1,568,0.80226,1.5,1,50,0.58,0.17,2,3,1.4,2.24,3,1,1,5,2,8,0,4,0.93,1.19,20,0.7,1,0,1,1,1,1,0.58,2,0,7,8,0.49,1,1,1,7.34,0.9701,0.99,2.43,0.99,1,15,2.88,2,0.32,5,7,2,1,331.38,0.96,4.76,13.47,1,1,1,11.11,14,0.57,1,0.67,77.43,0.99,1,1.4,NA,0.801,1,1,0.87,1,1,NA,1,2,7.95243,NA,1,1,1,1,1,22,15,1,1,0.71,0.5825,0.45,1,1,2,11.52857,1,0.89,2,1.1,3,2,7,13.05625,8.03,0.63,0.84,2,NA,1,5,1,0.95,1,4,0.34,1,7.61,26.57,15.04,0.53,2.98,0.83474,0.85,1,1.47,1,35.5,5,1,1.57,2,5,15.5,0.9,2,2,40,3.98,4.54111,0.8,2.82,0.68,1,11,10,0.54,47.87333,0.91,1,2,1,0.474,5,1,1,0.98,0.64,1,0,1,1.11,3.40667,0.34,0,NA,24.74,1.98,0.3,28,NA,NA,NA,4.29,60,17.23,3.16,1,3,NA,25,2.39,1,NA,2,0,NA,4,19.51,NA,8.32,NA,NA,5,2,NA,35.82429,1,NA,7.48,0,NA,0.58,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2018-08-12","Incursion Flashback HC","DivinationCard",0.56,17.94,1,1,1.05,1,NA,1,2,16.56,0.73,0.66,NA,1,1,1,0,1,1,2,1,3,1,0.89,1.03,0,1,10,1.62,576.48,0.86,1.90551,1,50,0.55,0.20538,2,3,1,2.46,3,1,1,5,2,60,5,4.05,1,1.79,23.06,0.72,1,5,1,1,1,1.31,1.1,2,1,7,2.64,0.6,1,1,0.64,7.27,0.99,1,2.43,1,0.92205,14.49,2.5,2,0.91,5,7,2,1,321.45,0.75,4,9.39,0,1,1,13.29,13.79,0.6,1,0.73,74.42,1.05,0.89,1.4,NA,0.81,1,1,0.37,1,1,NA,1,2.61,7.79875,NA,1,1,1,1,1,22.28,15,0.77,1.136,0.84,0.62,0.48,1,1,2,10,1,1,2,1,3,2.4,7.01,13.63857,5.48,0.65,0.86,1.72333,NA,1.62,5,1,0.95,1,4.6,0.34,1,5.91,27.65444,15.04,0.63,1.24,1,0.71,1,1.47,1,36.03,5.265,1,2,2,5,4.57,1.104,3,2,40,2,4.61,1,3,0.7,1,8,10,0.82,40,0.87,1,1.4,0.63,0.9,5,1,0.96,1,0.67,1,9,1,1.11,3.48125,0.6025,0,NA,22.97,1.89041,0.32,19.90409,NA,NA,NA,4.29,60,14.05,2.58,1,2.55,NA,30.66,2.54929,1,NA,2,0,NA,5,18.49,NA,7.61,NA,NA,5.44,2,NA,40,1,NA,8.34,0,NA,0.64,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
