"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Beachhead_T5","The.Perandus.Manor","Doryani.s.Machinarium","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
82,"2019-02-26","Betrayal","UniqueMap",3,1,2,4,3,1,14,3,1,1,5,1,95,45,63.72,9.95005,1,80,115,157.04,942.22983,277.23,NA,NA,NA,NA,NA,NA
83,"2019-02-27","Betrayal","UniqueMap",3,1,2,4,3,1,14.02505,3,1,1,5,1,95,45,63.72,9.77,0.75505,82.36,120,158,948,311.74519,NA,NA,NA,NA,NA,NA
84,"2019-02-28","Betrayal","UniqueMap",2.31,1,2,4,3,1,14,3,0.9,1,5,1,95,45,65.79633,9,0.8,83.95,119.17,157.84,947.22,314.99611,NA,NA,NA,NA,NA,NA
85,"2019-03-01","Betrayal","UniqueMap",2.39,1,2,4,3,1,14,3,1,1,5,1,95,45,68.45,10,0.99,94.86813,115,0,950.94,316.98,NA,NA,NA,NA,NA,NA
86,"2019-03-02","Betrayal","UniqueMap",2.96,1,2,4.4401,3,1,14,3,1,1,5,1,98,48.34,69.91,9.5701,1,120,115.71,140,950.94,316.98,NA,NA,NA,NA,NA,NA
87,"2019-03-03","Betrayal","UniqueMap",3,1,2,5,3,1,14.3,2.84005,1,1,5.61,1,98.9708,50,66.92,9.58,1,120,117.61025,150,948.03,371.16642,NA,NA,NA,NA,NA,NA
88,"2019-03-04","Betrayal","UniqueMap",2.88505,1,2,4.51,3,0.98,14.4,3,1,1,5.30535,1,99.41,56.88,65.17,10,0.96,120,119.57101,0,1081.47092,354.19727,NA,NA,NA,NA,NA,NA
89,"2019-03-05","Betrayal","UniqueMap",3,1,2,4.09,3,1,15,3,1,1,6,1,99.72,50,130.73,10,0.97,279.67,120,0,1227.38,391.81,NA,NA,NA,NA,NA,NA
1,"2019-09-06","Blight","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,"2019-09-07","Blight","UniqueMap",3,6,2,3,5.11714,2.8171,9.92,4.16913,3,2,6,7,20.53667,10,15.22,7,2,6.48,26,4,58.513,89.25,NA,NA,NA,NA,NA,NA
3,"2019-09-08","Blight","UniqueMap",4,6,2,3,6,3,11.2,5,3,3,6,7,21.36,10,10,7,1,8,26,5.12646,48.07053,70.82316,NA,NA,NA,NA,NA,NA
4,"2019-09-09","Blight","UniqueMap",4,5,4,3.34192,7,2,13,5,3,3,9,7.04932,30,13.63455,9.96875,7,1,10,25.6156,8,66.94656,60,NA,NA,NA,NA,NA,NA
5,"2019-09-10","Blight","UniqueMap",5,5,4,4,7,2,14,5,3,3,12.73525,8,32,13.97766,10,7,1,12,32,8.48566,77.70843,50,NA,NA,NA,NA,NA,NA
6,"2019-09-11","Blight","UniqueMap",4.8601,4.8,4,4,7,2,15.82778,4.93,2.75,3,11.35545,8,35,15,12,8,1.77,10.39,33,9,104.72958,50,NA,NA,NA,NA,NA,NA
7,"2019-09-12","Blight","UniqueMap",5,4.2,4,4,7,2,16,5,2.6102,3,9.15,10,37.795,19.54605,12,8,1.77,15,35.62394,12,110,49,NA,NA,NA,NA,NA,NA
8,"2019-09-13","Blight","UniqueMap",4,4,4,4,7,2,17,5,3,3,9.00071,10.99005,47,20,15.15,8,1.35025,20,45,15.00061,130,55.26,NA,NA,NA,NA,NA,NA
9,"2019-09-14","Blight","UniqueMap",4,3.6,4,4,7.20529,1.44,18,3.36,1.98,3,5.52,6.30152,45,20,17,6,1,24.96157,49,19.45505,120,79.87798,NA,NA,NA,NA,NA,NA
10,"2019-09-15","Blight","UniqueMap",3.38,2.4,2.88,3.75,7.33232,1.5,12.72,2.87005,1.92,2.00005,5.04,6,45.01,22.07038,17.77,5,1,22.92035,45.00005,19,120.00086,94.8,NA,NA,NA,NA,NA,NA
11,"2019-09-16","Blight","UniqueMap",3.25,2.5,2.6,3.87515,9.1202,1.56,11.44,2.6,1.5701,1.89,5.2,7.02,48,24,18.77,5.2,1.04,24.43515,45,20,125,85,NA,NA,NA,NA,NA,NA
12,"2019-09-17","Blight","UniqueMap",3.36,2.52,2.8,3.36,7,1.4,13.23005,2.8,1.68,1.68,6.16,6.70005,48,24,18.89,5.6,1.08,30,50,21.46056,130.9802,83.22005,NA,NA,NA,NA,NA,NA
13,"2019-09-18","Blight","UniqueMap",2.86,2.34,2.6,3.26,6.24,1.3,11.39545,2.6,1.56,1.8101,6.33505,6.4503,49.5502,24,18.91,5.98,1.03,30.97788,55,23.86525,144.39636,85.2701,NA,NA,NA,NA,NA,NA
14,"2019-09-19","Blight","UniqueMap",2.7,2.16,2.6,3.24,6.24,1.35,10.5401,2.52,1.35,1.62,6.70505,6.72,48.22222,21.65061,20.22,5.54,1,30,55,25,145,90,NA,NA,NA,NA,NA,NA
15,"2019-09-20","Blight","UniqueMap",2.9,2.03,2.8,3.77,6.3803,1.45,10.15,2.61,1.45,1.6802,6.67,6.72,49,20,21.68,6.38,0.87,26.55045,55,23,140,90,NA,NA,NA,NA,NA,NA
16,"2019-09-21","Blight","UniqueMap",3.2,2.24,2.88,4.48,7.68,1.6,9.9,2.64,1.6,1.92,7.04,7.36,50,21.04525,21.74,6.6,0.96,30,59.0101,23,153.13505,90,NA,NA,NA,NA,NA,NA
17,"2019-09-22","Blight","UniqueMap",3.4,2.38,3,5,8.4802,1.7,10.1402,3,1.7,2,6.8,8.08505,50,21.00505,30,6.46,1.02,32,59.0801,25,155.25253,90,NA,NA,NA,NA,NA,NA
18,"2019-09-23","Blight","UniqueMap",3.28015,2.45,3.06005,4.94,9.22005,1.75,10.9401,2.8,1.75,1.96,7,8.75,51.17152,21.6204,30.2,6.3,1,32.05096,60,27,160,95,NA,NA,NA,NA,NA,NA
19,"2019-09-24","Blight","UniqueMap",3.7,2.59,3,5,9.36,1.85,10.73,2.73,1.87525,1.9,6.84,9.12,50,22.04,35,6.66,1,35,63,28.69505,165.85626,100,NA,NA,NA,NA,NA,NA
20,"2019-09-25","Blight","UniqueMap",4,2.87505,3.36,5,10.08,1.95505,11,2.94,1.95,2,7.38,10.5,50,22.42505,36.4718,7,1,35,65,27.9303,175,130,NA,NA,NA,NA,NA,NA
21,"2019-09-26","Blight","UniqueMap",4,2.71,3.36,5,10.0301,1.68,11.29545,2.94,1.68,2,7.38,10.5,50,21,37.63,7.14,1,38,65,29.79707,174.7501,125,NA,NA,NA,NA,NA,NA
22,"2019-09-27","Blight","UniqueMap",4,2.64,3.51005,5,9.67,1.76,11,2.64,1.76,2,7.31,10.12,53,22,37.03,7.04,1,38,68,29,179.9801,115,NA,NA,NA,NA,NA,NA
23,"2019-09-28","Blight","UniqueMap",4,2.3401,3.14505,5,10.12,1.84,11.25,2.7,1.8101,2,6.9,11.04,54,22.5,37.37868,7,1,31.80081,67.0104,28,186.44,110,NA,NA,NA,NA,NA,NA
24,"2019-09-29","Blight","UniqueMap",4,2.35,3.4803,5,10.12,1.88,11.28,2.4,1.88,2,7.04,13.4301,55,23.5,37.57409,7.2,1,37,68.06061,30,190.11409,110,NA,NA,NA,NA,NA,NA
25,"2019-09-30","Blight","UniqueMap",4,2.0701,3.29,5,10.34,1.88,10.91035,2.4,1.88,2,7.05,12.69,58,23.5,38.67,7.1102,1,38,68.37045,30,210.24025,110,NA,NA,NA,NA,NA,NA
26,"2019-10-01","Blight","UniqueMap",3.6802,2,3.24505,5,10,1.88,9.87,2.35,1.88,2,7.05,12.15566,54.36505,23.5,38.67263,7.52,1,40,65.8,30,195.55505,110,NA,NA,NA,NA,NA,NA
27,"2019-10-02","Blight","UniqueMap",3.29505,2.15,2.90515,5,9.4,1.03505,9.87505,2.35,1.88,2,7.81051,12,55,23.00505,40.32,7.2,1,40,66.63121,32,194.4403,110,NA,NA,NA,NA,NA,NA
28,"2019-10-03","Blight","UniqueMap",3.65,2,3,4.9,9.8,1.92,10,2.45,1.8501,1.99,7.68,12,58,23.00005,45,7.84,1,39,70.07167,30,194.09,110,NA,NA,NA,NA,NA,NA
29,"2019-10-04","Blight","UniqueMap",3.08586,2,3,4.8,10,1.53,10,2.94,1.96,1.96,7.84,12.25,60,23,46,7.42,1,40,72,30,195.3802,110,NA,NA,NA,NA,NA,NA
30,"2019-10-05","Blight","UniqueMap",3,2,3,5,10,2,10.07515,2.94,2,2,7.4501,13.72,60,23.52,49,7.8,1,41.67828,73.1801,34.0503,194.97,110,NA,NA,NA,NA,NA,NA
31,"2019-10-06","Blight","UniqueMap",4,2,3,5,10,2,10.6,2.65,2,2,7.8,12.72,60,24,49,7.95,1,44,74.13005,34.23101,194.66005,110,NA,NA,NA,NA,NA,NA
32,"2019-10-07","Blight","UniqueMap",3.9802,2,3,4.86505,10,1.59,11,2.63515,2,2,7,12.72,58.16515,25,48.31,7.95,1,45,74.2,32.29505,196.3304,110.12626,NA,NA,NA,NA,NA,NA
33,"2019-10-08","Blight","UniqueMap",3,2,2.65,4.77,10,1.59,11,2.65,2,2,7.1604,12.72,58.3,22.8103,48.912,7.95,1,45.19646,72.03535,35.70091,196.5301,120,NA,NA,NA,NA,NA,NA
34,"2019-10-09","Blight","UniqueMap",3,2,2.7,4.86,9.04035,1,10.52005,2.2,1.87005,2,7,12,59,22,48.24348,7.7,1,45,73.9204,35.97066,209.2401,120,NA,NA,NA,NA,NA,NA
35,"2019-10-10","Blight","UniqueMap",3,2,2.8501,5,9,1.12,10.9801,2.85,1.71,2,7.0001,12,59,22,48,8,1,45,75,35,196.7301,119,NA,NA,NA,NA,NA,NA
36,"2019-10-11","Blight","UniqueMap",3,2,2.9,4.62,9,1.74,10.16667,2.9,1.74,2,7,11.6,58,22.56,47,8,1,45,75,33.14505,197.5302,119.49545,NA,NA,NA,NA,NA,NA
37,"2019-10-12","Blight","UniqueMap",3,2,2.9,5,10,1.16,11,2.9,1.74,2,7,12,55.64035,22,50,7.5803,1,45,75.49,33.0404,202.01066,129.00192,NA,NA,NA,NA,NA,NA
38,"2019-10-13","Blight","UniqueMap",3,2,2.96505,5,10,1.74,10,2.9,1.77,2,6.96,12,55,23,49.68,7.54,1,45,76.5,40,203.12,167.84071,NA,NA,NA,NA,NA,NA
39,"2019-10-14","Blight","UniqueMap",2.90005,2,3,5,10,1.04,10,2,1.72,1.82005,6.96,11.8,55,20,50,8,1,45,75,35,206.04015,150,NA,NA,NA,NA,NA,NA
40,"2019-10-15","Blight","UniqueMap",2.95005,2,2.96005,5,9,1,10,2,1.74,1.77,6.96005,11.01,53.62,21,50,7.54,1,45.54162,75,38,205.59,150,NA,NA,NA,NA,NA,NA
41,"2019-10-16","Blight","UniqueMap",2.9,2,2.9,5,9,1.5301,10,2.1901,1.18,1.88,6.96,11.6,54.45035,20,52,8,1,45,76,39.9403,204.96,150,NA,NA,NA,NA,NA,NA
42,"2019-10-17","Blight","UniqueMap",2.97,2,2.95,4.8004,9,1.01,10,2,1.01,1.97,7,11.8,52.6001,20,52,7.43005,1,45,75,35.66,202.42,149.08005,NA,NA,NA,NA,NA,NA
43,"2019-10-18","Blight","UniqueMap",2.95,1.77,2.95,5,8,1,10,2,1,2,6.5,12,54.39545,20,51.19,7.85,1,45,79,35,199.72,140,NA,NA,NA,NA,NA,NA
44,"2019-10-19","Blight","UniqueMap",3,1.83,3,5,8.1302,1,10,2,1.12035,1.83,6.95005,12,54.14035,20,49.88,7.5401,1,45,79.04051,35,192.71,144.26,NA,NA,NA,NA,NA,NA
45,"2019-10-20","Blight","UniqueMap",3,1.83,3,4.7802,9,1,10,2,1,1.98,7.00081,12.11005,54.9401,20,49.06,7.32,1,45,79,35,190.06,147.28101,NA,NA,NA,NA,NA,NA
46,"2019-10-21","Blight","UniqueMap",3,1.83,3,4.88,8.10005,1,10,2.08076,1.11,1.89,7,12,54,20,49,7.54005,1,45,77.43101,35.57187,185.43278,150,NA,NA,NA,NA,NA,NA
47,"2019-10-22","Blight","UniqueMap",3,2,3,4,9,1,10,2,1,1.89,7.85051,12,54,20,49,7.15035,1,45,74,40,178.68263,150,NA,NA,NA,NA,NA,NA
48,"2019-10-23","Blight","UniqueMap",2,1.89,2.69525,4,8,1,10,2.19505,1,1.86,7,10.47515,55,20,49.01,7,1,44.84657,74,40,174.65636,155.4504,NA,NA,NA,NA,NA,NA
49,"2019-10-24","Blight","UniqueMap",2.52,1.89,2,4,8,1,10,2,1,1.89,7,11.11015,55,20,49,7.44,1,45,75,35.6904,185.66576,150,NA,NA,NA,NA,NA,NA
50,"2019-10-25","Blight","UniqueMap",2.52,1.92,2,4,8,1,10,2,1.15505,1.89,7,11.48535,53.80535,20,49,6,1,44.8,75.35545,34.98515,191.91,145.6701,NA,NA,NA,NA,NA,NA
51,"2019-10-26","Blight","UniqueMap",2.71015,1.92,2.02061,4,8,1,10,2,1.28,1.92,7,11,55,20,48.34,7,1,45,75.42293,35,210.9604,145,NA,NA,NA,NA,NA,NA
52,"2019-10-27","Blight","UniqueMap",2.21,2,2.56,4,8,1,10,2,1.22,1.92,7,11.0401,55,20,49,7,1,45,73.96606,30,212.06909,145,NA,NA,NA,NA,NA,NA
53,"2019-10-28","Blight","UniqueMap",2.48,2,2.02,4,8,1,10,2,1.21015,1.92,6.9501,12,55,20,51.39,6.93,1,42.92,75,30,234.51035,148.94,NA,NA,NA,NA,NA,NA
54,"2019-10-29","Blight","UniqueMap",2,1.86505,2,4,8,1,10.4703,1.83,1,1.83,6.09515,12,54.91505,20,49.66,6.71,1,42.3403,75,30,251.7103,150,NA,NA,NA,NA,NA,NA
55,"2019-10-30","Blight","UniqueMap",2,1.87,2,4,7,1,10,1.77,1,1.77,6,11.72,53.6203,20,49.46,6,1,40,75,30,234.56,150,NA,NA,NA,NA,NA,NA
56,"2019-10-31","Blight","UniqueMap",2,2,2,4,7,1,10,1.7302,1,1.51,5.06515,11.97,55,20,45.46,6,1,40,75,33,209.09636,159.77,NA,NA,NA,NA,NA,NA
57,"2019-11-01","Blight","UniqueMap",2,1.83,2,4,8,1,9,1.72505,1,1.83,6,11.4902,55,20,45.46,6.3402,1,40,76.25,34.9802,212.79515,160.8702,NA,NA,NA,NA,NA,NA
58,"2019-11-02","Blight","UniqueMap",2,1.16505,2,4,8,1,9.28,1.8,1,1,5.96535,12,50,20,58.88,5.9303,1,40,78.83556,35,225.24848,170,NA,NA,NA,NA,NA,NA
59,"2019-11-03","Blight","UniqueMap",2,1.71,2,4,8,1,9,1.71,1,1.28,5.67505,11.02505,50,20,60,6,1,40,75.71505,30,243.29907,162.39,NA,NA,NA,NA,NA,NA
60,"2019-11-04","Blight","UniqueMap",2,1.71,2,4,8,1,8.97505,2,1,1.71,6,11,53.66,20,60,6,1,40,75,33.3803,252.25,158.35525,NA,NA,NA,NA,NA,NA
61,"2019-11-05","Blight","UniqueMap",2,1.68,2,4,8,1,8,2,1,1,5.7,10.93,54.1001,20,60,5.6,1,40,76.5804,34,240,160,NA,NA,NA,NA,NA,NA
62,"2019-11-06","Blight","UniqueMap",2,1.68,2,4,8,1,7.15,1.67,1.08,1,5.03005,10,53.16,20,60,6,1,40,75,34.8202,231.22586,158.835,NA,NA,NA,NA,NA,NA
63,"2019-11-07","Blight","UniqueMap",2,1,2,4,8,1,6.93005,1.68,1,1.12,5,10.34015,53.7701,20,64.61333,5.74111,1,44.89,75,30,232.59084,159.7,NA,NA,NA,NA,NA,NA
64,"2019-11-08","Blight","UniqueMap",2,1,2,4,8,1,7.61005,1,1,1.12,5,11,54.89,18,59.26,5.6,0.99005,44.61025,75.00056,30,229.88,152.92,NA,NA,NA,NA,NA,NA
65,"2019-11-09","Blight","UniqueMap",2,1.10005,2,4,8,1,8,1.8304,1.04005,1.65,5.7,11.20051,54.02005,18,56.6432,5.14,1,43.94,75,31.61,228.26,163.00418,NA,NA,NA,NA,NA,NA
66,"2019-11-10","Blight","UniqueMap",2,1.8,2,4,8,1,7.37015,1.71,1,1.14,5.7,12,54.01,19.48005,58.51,5.65,1,45,78.68015,36.00035,219.7403,156.96658,NA,NA,NA,NA,NA,NA
67,"2019-11-11","Blight","UniqueMap",2,1.74,2,4,8,1,8.7303,2,1,1,5,11.9501,55,19,58.76,6,1,45.54,75,35,217.76,155.54,NA,NA,NA,NA,NA,NA
68,"2019-11-12","Blight","UniqueMap",2,1.74,2,4,8,1,10,1.74,1,1.74,5.93005,12,55.07005,19,55,6.0201,1,45,75.59045,34,217.94318,155.83295,NA,NA,NA,NA,NA,NA
69,"2019-11-13","Blight","UniqueMap",2,1.8,2,4,7.84,1,10,1.77,1,1.72005,5.70051,12,54.60015,19,55,6,1,42.94,76.38005,32.15005,219.94,157.30243,NA,NA,NA,NA,NA,NA
70,"2019-11-14","Blight","UniqueMap",2,1.77015,2,3.78005,6.50045,1,10,1.77,1,1.0801,5,11.8,52,18.54005,54.6,6,1,42.97258,78,32,219.83,157.12788,NA,NA,NA,NA,NA,NA
71,"2019-11-15","Blight","UniqueMap",2,1.8,2,3,6,1,10.14,1.8,1,1,5,11,53.14045,19,53.55,6.07167,1,45,75,34,205.8701,158,NA,NA,NA,NA,NA,NA
72,"2019-11-16","Blight","UniqueMap",2,2,2,3.62071,7.2,1,10,1.51005,1,1,5.4002,10,52,19.59045,58.18,6,1,40,75,30,210,157.49074,NA,NA,NA,NA,NA,NA
73,"2019-11-17","Blight","UniqueMap",2,2,2,4,8,1,9.45,1.8,1,1,5,11.50071,50,20,55.45469,6,1,35,73.0604,30,220.51987,157.68492,NA,NA,NA,NA,NA,NA
74,"2019-11-18","Blight","UniqueMap",2,2,2,4,8.7,1,10,1.7403,1,1,5,11.8402,53,20,55,6,1,39.84,74.37005,29.43121,224,159.34036,NA,NA,NA,NA,NA,NA
75,"2019-11-19","Blight","UniqueMap",2,1.74,1.94,3,8,1,10,1,1,1.07,5.46015,11.02,55,20,56.81,5.8,1,42.17,74.58045,30,228.89634,163.00027,NA,NA,NA,NA,NA,NA
76,"2019-11-20","Blight","UniqueMap",1.98,1.58005,2,3,8.6203,1,10,1.08,1,1.33005,5,10.33015,55,20,57.32,5,1,41.3,73.0003,30,240,162.20347,NA,NA,NA,NA,NA,NA
77,"2019-11-21","Blight","UniqueMap",1.9,1.5,2,3,8,1,9.9,1.06005,1,1,5,10.48035,54,20,57.88,5,1,39.02081,72.4903,30,240.83483,161.32725,NA,NA,NA,NA,NA,NA
78,"2019-11-22","Blight","UniqueMap",1.96,1.5,2,3,8,1,9.72,1.21,1,1,5.8,10.9,54,20,59.52,5,1,40,74,30,241.84428,160.36705,NA,NA,NA,NA,NA,NA
79,"2019-11-23","Blight","UniqueMap",2,1.56,2,3,7,1,10,1.62,1,1.20005,5.4,10,54,20,62.11,6.11005,1,38.93,72.0704,30,240,158.92739,NA,NA,NA,NA,NA,NA
80,"2019-11-24","Blight","UniqueMap",2,1.66525,2,3,8,1,10,1.62,1,1.54,6,10.54505,52.28,20,62.91,6,1,38.61081,71.61505,31.46,250,231.30773,NA,NA,NA,NA,NA,NA
81,"2019-11-25","Blight","UniqueMap",2,1.52,2,3.72,8,1,10,1.59,1,1.02,6,10.4,52.19005,20,67.64,5.2,1,40,70,30,268.96017,225.42873,NA,NA,NA,NA,NA,NA
82,"2019-11-26","Blight","UniqueMap",2,2,2,3.64,8,1,9.85005,1.55,1.03,1.56,6,10.4,54,22,64.08,5.2,1,40,70,33.08025,285.08515,233.05263,NA,NA,NA,NA,NA,NA
83,"2019-11-27","Blight","UniqueMap",2,2,2,2.55,8.11505,1,9,2,1,1.51,6,10.2,55,21,60,6,1,40,67.42515,32.82,269.48556,222.59,NA,NA,NA,NA,NA,NA
84,"2019-11-28","Blight","UniqueMap",2.25,2,2,3.05,8.86,1,9,2,1.02,1.53,6,9.69,55,20,61.26,6,1,40.55545,65.1303,35,251.25566,236.27487,NA,NA,NA,NA,NA,NA
85,"2019-11-29","Blight","UniqueMap",2.52,2,2.14,3,9,1,9.1001,2,1.53,2,5.1,10,55,20.71005,64.99,6.34,1,38.52051,65.00152,31.79096,278.96272,233.822,NA,NA,NA,NA,NA,NA
86,"2019-11-30","Blight","UniqueMap",2.1,2,2.04,3,9,1,9.0601,2,1,1.97,5.8,10,55,21,65,6.12,1,40,61.07505,35,273.208,229.10181,NA,NA,NA,NA,NA,NA
87,"2019-12-01","Blight","UniqueMap",2,2,2.03,3,9,1.02,8.6503,2,1.1201,1.48515,6,9.9901,55,21,64.87,6.27525,1,40,61.35141,35,278.56788,227.68265,NA,NA,NA,NA,NA,NA
88,"2019-12-02","Blight","UniqueMap",2,2,2.04,3,9,1.4,8,2,1.5,1.52,5.23525,10,56.91,21,64.8,6,1,40,60,36.12,279.12011,225.78,NA,NA,NA,NA,NA,NA
89,"2019-12-03","Blight","UniqueMap",2,2,1.78505,3.4201,9,1,8.29505,2,1.5,1.5,5,10,57.64,22.46051,64.33,5.36525,1,40,62.40576,35.54051,280,252.88,NA,NA,NA,NA,NA,NA
90,"2019-12-04","Blight","UniqueMap",2,2,2,3.65505,8.81606,1,8.4901,1.63,1.48515,1.96,6,10,60,21,61.49,5.26525,1,40,60,35.3801,292.99876,261.63978,NA,NA,NA,NA,NA,NA
91,"2019-12-05","Blight","UniqueMap",2,2,2,3.55,8,1,9,1.69,1.07005,1.44015,6.1302,8.35106,60,21,62.66,5.77076,1,40,59.2402,35.36,291.02,268.01222,NA,NA,NA,NA,NA,NA
92,"2019-12-06","Blight","UniqueMap",2,2,2,3.38,8,1,9,2,1.33,1,5.08,8,60,21,60.82,6,1,39.84,60,35,296.25343,267.35,NA,NA,NA,NA,NA,NA
93,"2019-12-07","Blight","UniqueMap",2,2,2,3.03,8,1,9,2,1,1,5.06505,9,60,22,59.88,6,1,40,60,36.19,297.53639,267.35,NA,NA,NA,NA,NA,NA
94,"2019-12-08","Blight","UniqueMap",2,2,2.45,3.92,9,1,9,2,1,1.21,5,8.4602,62.41,22,59.65,6.95,1,39.13,60,36.09,301.92,301.09618,NA,NA,NA,NA,NA,NA
95,"2019-12-09","Blight","UniqueMap",2,2,2.45,4,9,1,10,1.63,1.4801,1.92,6,9.34,60,22.88,59.55,7,1,40,63.90535,36.77,322.08,323.17796,NA,NA,NA,NA,NA,NA
1,"2016-12-02","Breach","UniqueMap",0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2,"2016-12-03","Breach","UniqueMap",0,25.19857,23.84467,35.66667,11.53118,18.82059,15,8,11,NA,45.095,8.2,150,NA,93.4375,10.89095,8.08571,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
3,"2016-12-04","Breach","UniqueMap",11.47421,10.12456,9.19018,9.35649,8.32509,10.17491,15.49474,7.45702,6.67912,NA,15.69263,14.10286,99.61175,NA,89.75158,7.1986,4.18684,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
4,"2016-12-05","Breach","UniqueMap",6.99054,7.68696,6.79411,5.45161,5.93982,5.76804,11.75607,9.77929,5.42393,NA,13.33625,8.83161,38.81518,NA,65.79,7.09589,3.91,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
5,"2016-12-06","Breach","UniqueMap",6.37946,7.72714,7.84161,4.96768,6.48393,5.36911,10.19518,15.56589,4.71929,NA,15.9725,5.89393,37.55661,NA,68.49768,7.55214,3.96018,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
6,"2016-12-07","Breach","UniqueMap",5.29107,7.68661,9.30893,4.88714,7,4.94518,10.26143,20.22161,4.65554,NA,17.39482,5.49714,35.6275,NA,62.25786,8.01214,3.65054,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
7,"2016-12-08","Breach","UniqueMap",4.45911,6.02446,11.73696,4.73804,6.29857,4.75571,10.90357,20.21357,4.34304,NA,18.13482,5.47571,36.99589,NA,40.42893,7.62357,3.47429,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
8,"2016-12-09","Breach","UniqueMap",4.89536,6.42036,13.21089,4.14625,6.11071,4.92179,10.95518,19.51839,4.49893,NA,17.33107,5.32339,39.96304,NA,65.44179,8.18429,3.98214,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
9,"2016-12-10","Breach","UniqueMap",4.944,7.64455,12.91582,4,6.86582,4.67182,11.16655,19.02564,4.24182,NA,16.77945,4.92364,41.01327,NA,64.206,8.07673,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
10,"2016-12-11","Breach","UniqueMap",4.85418,9.74382,13.96364,3.974,7.884,4.66145,10.90582,18.224,4.14891,NA,16.722,5.00455,41.47291,NA,61.31709,8.16527,3.99964,NA,NA,NA,527.78,NA,NA,NA,NA,NA,NA,NA
11,"2016-12-12","Breach","UniqueMap",4.994,10.368,14.18182,4.12764,8.11382,4.25164,10.96473,17.27473,4.62145,NA,17.07509,5.50309,49.252,NA,61.97655,8.43164,3.98182,NA,NA,NA,530.78143,NA,NA,NA,NA,NA,NA,NA
12,"2016-12-13","Breach","UniqueMap",4.99429,10.23232,13.21054,4.30018,8.48232,4.08393,10.99732,17.51357,4.07482,NA,16.67125,5.35179,48.27446,NA,60.21714,8.37446,3.95821,NA,NA,NA,417.02589,NA,NA,NA,NA,NA,NA,NA
13,"2016-12-14","Breach","UniqueMap",4.385,11.23286,13.44232,4.95536,8.30375,3.96446,10.64339,18.66875,4.04946,NA,18.90875,4.73357,45.61357,NA,59.22571,8.06518,3.94357,NA,NA,NA,354.81625,NA,NA,NA,NA,NA,NA,NA
14,"2016-12-15","Breach","UniqueMap",4.00982,12.13286,13.45804,5.22482,8.22643,3.97518,11.59179,17.56643,3.95071,NA,19.36018,4.14125,48.28268,NA,60.55536,7.98393,3.57714,NA,NA,NA,317.94821,NA,NA,NA,NA,NA,NA,NA
15,"2016-12-16","Breach","UniqueMap",4,11.35673,13.32145,4.95836,7.94618,3.54327,11.53073,17.25091,3.63527,NA,19.67273,4.40273,53.58127,NA,61.98309,7.97145,3.10818,NA,NA,NA,249.50818,NA,NA,NA,NA,NA,NA,NA
16,"2016-12-17","Breach","UniqueMap",3.98818,10.30218,11.55745,5.00382,7.65091,3.02473,10.988,16.30873,3.19145,NA,18.75909,4,51.50691,NA,64.71182,7.61309,3,NA,NA,NA,315.302,NA,NA,NA,NA,NA,NA,NA
17,"2016-12-18","Breach","UniqueMap",3.99393,10.14625,11.08536,5.02482,7.60839,3.06107,10.56536,15.39875,3.63607,NA,18.70661,3.9625,53.21839,NA,64.75357,6.95893,3,NA,NA,NA,291.09125,NA,NA,NA,NA,NA,NA,NA
18,"2016-12-19","Breach","UniqueMap",3.97316,9.99439,11.22316,4.99667,7.65105,3.08439,10.26035,15.56333,3.32825,NA,17.59333,3.99596,56.97386,NA,65.26263,7.00649,3,NA,NA,NA,282.6686,NA,NA,NA,NA,NA,NA,NA
19,"2016-12-20","Breach","UniqueMap",3.86764,9.88764,10.00582,4.97309,7.20091,3.00109,9.91782,15.47709,3.35927,NA,17.13255,3.91273,57.914,NA,65.91036,7.23818,3,NA,NA,NA,279.27345,NA,NA,NA,NA,NA,NA,NA
