"Day","Date","League","Type","Abyssal.Incubator","Cartographer.s.Incubator","Celestial.Armoursmith.s.Incubator","Celestial.Blacksmith.s.Incubator","Celestial.Jeweller.s.Incubator","Decadent.Incubator","Diviner.s.Incubator","Eldritch.Incubator","Enchanted.Incubator","Feral.Incubator","Fine.Incubator","Foreboding.Incubator","Fossilised.Incubator","Fragmented.Incubator","Gemcutter.s.Incubator","Geomancer.s.Incubator","Infused.Incubator","Mysterious.Incubator","Obscured.Incubator","Ornate.Incubator","Otherworldly.Incubator","Primal.Incubator","Singular.Incubator","Skittering.Incubator","Thaumaturge.s.Incubator","Time.Lost.Incubator","Whispering.Incubator"
58,"2019-08-03","Legion","Incubator",0.44,0.5,1.1,1,4,2,1,10,1,NA,1,7.48116,2,1,0.33,24,1,1,2,3,2,0.39005,1,5,8.7003,25.84071,0.33
59,"2019-08-04","Legion","Incubator",0.5,0.46005,2,1,4,2,1,10,1,NA,1,8,2.0702,1,0.32,22.97015,1,1,2,3.04167,3,0.51,1,5,9.24005,23.31056,0.32
60,"2019-08-05","Legion","Incubator",0.32005,0.5,2,1.00005,4,2,1,9.00389,1,NA,1,8,3,1,0.31,23,1,1,2,3,2,0.5,1,5,9,22.34333,0.31
61,"2019-08-06","Legion","Incubator",0.6904,0.9101,2,1,4,2,1,9,1,NA,1,8,3,1,0.3,24,1,1,1,3.3702,2,0.67005,1,5.1803,9,24,0.3
62,"2019-08-07","Legion","Incubator",0.3,0.58,2,1.25015,4,2,1,9,1,NA,1,8,3,1,0.3,24,1,1,2,4,2,0.36,1,7,10,25,0.3
63,"2019-08-08","Legion","Incubator",0.33005,0.70005,2,2,4,2,1,9,1,NA,1,9,2,1,0.31,25,1,1,2,4,2,0.32015,0.85005,6.60025,10,25,0.31
64,"2019-08-09","Legion","Incubator",0.7401,1,2,2,4,2,1,9,1,NA,1,9,3,1,0.31,25,1,1,3,4,2,0.5,1,5,11.88005,25,0.31
65,"2019-08-10","Legion","Incubator",0.35,1,2,1.86,3.96015,2,1,9,1,NA,1,8.27005,2.26005,1,0.32,25.4802,1,1,2,3,2,0.5,1,5,11,25,0.32
66,"2019-08-11","Legion","Incubator",0.35,1,2,2,4,2,1,9.6301,1,NA,1,8,2,1,0.33,27,1,1,2,3,2,0.41005,1,5,10,26.90015,0.33
67,"2019-08-12","Legion","Incubator",0.38,0.85005,2,1.93025,4,2,1,10,1,NA,1,9,2,1,0.5,27,1.89005,1,2,3.6702,2,0.38,1,5,10,27.78025,0.38
68,"2019-08-13","Legion","Incubator",0.39,0.86,2,1.9502,4,2,1,8.55,1,NA,1,9,3,1,0.58,27.2101,1,1,2,3,2,0.44,1,5,10,26,0.38
69,"2019-08-14","Legion","Incubator",0.5,0.5,2,1,4,2,1,9.66515,1,NA,1,8,2,1,1,24.27071,1,1,3,2.78596,2,0.49,1,5.08586,10,25,0.37
70,"2019-08-15","Legion","Incubator",0.36,1,2,1,4,2,1,10,1,NA,1,7.62116,2,1,1,24,1,1,2,3,2.66152,0.36,1,5,10,25,0.36
71,"2019-08-16","Legion","Incubator",0.7,0.79,2,2,4,2,1,10,1,NA,1,8,2,1,1,23,1,1,3,3,3,1,1,5,11,25,0.35
72,"2019-08-17","Legion","Incubator",0.88025,1,2,1.7,4,2,1,10,1,NA,1,7.63056,2,1,1,23,1,1,2.42015,2,3,1,1,4,11,25,0.34
73,"2019-08-18","Legion","Incubator",0.34,0.98505,2,2,3.29505,2,1,10,1,NA,1,7,2,1,1,24.43525,1,1,2,2,2,0.97,1,5,10,25,0.34
74,"2019-08-19","Legion","Incubator",0.44,1,2,1.61,4,2.99,1,9,1,NA,1,7,2,1,1,24,1,1,2,2,2,0.77005,1,4,10,24,0.33
75,"2019-08-20","Legion","Incubator",0.88505,1,2,2,4,3,1,9.89091,1,NA,1,7,2,1,1,24.3503,1,1,2,2.4802,2.24121,0.98,1,5,10,22,0.31
76,"2019-08-21","Legion","Incubator",0.81005,1,2.07,2,3.77,3,1,10,1,NA,1,6.12015,2,1,1,23.55126,1,1,2,2,3,1,1,4.4401,10,22,0.31
77,"2019-08-22","Legion","Incubator",0.59515,1,2.21,2,4,3.7503,1,10.33202,1,NA,1,7,3,1,1,24,1,1,2,1.3,2.8501,1,1,5,10.1403,23.79,0.31
78,"2019-08-23","Legion","Incubator",0.4101,1,2,2,4,4,1.00192,10,1.20025,NA,1,7,2,1,1,22,2.3,1,2,2.14005,3,0.83005,1,4.27,10,21.59035,0.31
79,"2019-08-24","Legion","Incubator",0.31,0.99505,3.69,2,4,3,1,9.8001,1,NA,1,7.3001,3,1,1,22.45,1.93,1,2,3,3,0.97,1,3,10,22.08535,0.31
80,"2019-08-25","Legion","Incubator",1,1,1.32,2,4,1.37,1,8.97005,1,NA,1,7,2.7404,1,1,23.06056,1,1,2,2,2.2202,1,1,4.0002,10,23.72,0.31
81,"2019-08-26","Legion","Incubator",1,1,1,2,4,2,1,10,1,NA,1,7,1.95,1,1,24.03,1.12505,1,2,1,2.65,1,1,4,10,22.3103,0.54
82,"2019-08-27","Legion","Incubator",0.72,0.9301,1,2,4,1,1,10,1,NA,1,6,1.97,1,1,24.11505,1,1,2,2,2.49,0.83,0.92,3,9.75,21,0.5
83,"2019-08-28","Legion","Incubator",1,1,1,2,4,2,1,9.91,1,NA,1,6,1,1,1,25,1.62,1,2,1,2.39,1,1,2.82,10,20,0.52
84,"2019-08-29","Legion","Incubator",0.5,1,2,2,3,2,1,9.89,1,NA,1,6.69,1,1,1,24,1,1,1.36025,1,2.88,1,1,4,8.61,21.2201,0.5
85,"2019-08-30","Legion","Incubator",0.4901,1,2,2,3,3,1,9.29,1,NA,1,6.53566,1,1,1,24,1,1,2,1,3,0.97,1,3,8.87,20,0.51
86,"2019-08-31","Legion","Incubator",0.44,0.51,2,2,3.47,3,1,10,1,NA,1,6,1,1,1,24,1,1,2.17,2,2.0101,0.93015,1,4,10,20,0.5
87,"2019-09-01","Legion","Incubator",0.3,0.74005,3,2,4,3,1,10,1,NA,1.42,6,1.40025,1,1,23,2,1,2.0501,3,2.68005,1,1,4,10,20,0.62
88,"2019-09-02","Legion","Incubator",0.34545,1,3,2,4,3.65,1,10,1.62505,NA,2,5.7,2,1,1,22.2101,2.52505,1,2,3,3,1,1,4,10,20,0.57
89,"2019-09-03","Legion","Incubator",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"2019-12-13","Metamorph","Incubator",0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-12-14","Metamorph","Incubator",1,1,1,2,2.90516,1,1,NA,1,NA,2.43,1,1,1,1.11,19.30857,1,1,1,2,1,1,1,1,4,4,0.83
3,"2019-12-15","Metamorph","Incubator",1,1,1,1.96758,2,1,1,NA,1,NA,5.3,2,1,1,1.11,31.87968,1,1,1,1,1,1,1,1,3,4.78189,0.78
4,"2019-12-16","Metamorph","Incubator",1,1,1,1,2,1,2,NA,1,NA,6,2,1,1,1,32.43021,1,1,1,1.45556,1,1,1,1,3,8.72035,0.91
5,"2019-12-17","Metamorph","Incubator",1,1,1,1,1.5,1,3,NA,1,NA,1.4,3,1,1,0.6,30,1,1,1,1.28056,2,1,1,1,5,11,0.63
6,"2019-12-18","Metamorph","Incubator",1,1,1,1,1,1,3,NA,1,NA,5,4,1,1,0.70429,30,1,1,1,2,2,1,1,1,6,9,1
7,"2019-12-19","Metamorph","Incubator",1,1,1,1,1,1,3,NA,1,NA,5,4,1,1,1,26,1,1,1,1,2,1,1,1,7,9,1
8,"2019-12-20","Metamorph","Incubator",1,1,1,1,1,1,3,NA,1,NA,2.3,4,1,1,1,28,1,1,1,1,3,0.76005,1,2,7.82314,9.40924,1
9,"2019-12-21","Metamorph","Incubator",1,1,1,1,1,1,3,NA,1,NA,2.22,3,1,1,1,27,1,1,1,1,3,0.51,1,1,8,11,1
10,"2019-12-22","Metamorph","Incubator",0.78505,1,1,1,1,1,4,NA,1,NA,2,3,2,1,1.8,24.03818,1,1,1,1,3,0.46505,1,1,8,12,1
11,"2019-12-23","Metamorph","Incubator",0.44,1,1,1,1,1,4,NA,1,NA,2.87,3.9401,2,1,6.08,23,1,1,1,1,3,0.45,1,1,10,12,1
12,"2019-12-24","Metamorph","Incubator",0.5801,1,1,1,1,1,3,NA,1,NA,2.76,4,2,1,5,22,1,1,1,2,3,0.46005,1,1.1601,10,11.50056,1
13,"2019-12-25","Metamorph","Incubator",0.34,1,1,1,1,1,4,NA,1,NA,2.76,5,1.03,1,15.135,21,1,1,1,1.99505,3,0.33,1,1,9,14,1
14,"2019-12-26","Metamorph","Incubator",0.62,1,1,1,1,1,5,NA,1,NA,2.33,5,2,1,20.75,19,1,1,1,2,3,0.31,1,1,8,14,1
15,"2019-12-27","Metamorph","Incubator",0.29,1,1,1,1,1,5,NA,1,NA,2.33,5,2,1,23.41,20,1,1,1,1,2,0.66025,1,1,9,13.51247,1
16,"2019-12-28","Metamorph","Incubator",0.50061,1,1,1,1,1,5,NA,1,NA,2.33,5,2,1,23.72,20,1,1,1,2,2.76505,0.56,1,1.81505,10,12.1602,1
17,"2019-12-29","Metamorph","Incubator",1,1,1,1,1,1,5.66005,NA,1,NA,2,5,2,1,38.82,20,1,1,1,2,3,0.54,1,1,10,13,1
18,"2019-12-30","Metamorph","Incubator",0.51,1,1,1,1,1,5,NA,1,NA,2,6,2,1,40,19.42818,1,1,1,2,3,0.5803,1,2,10,13,1
19,"2019-12-31","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,2.33,5,2,1,40,18,1,1,1,1.05051,3,0.59505,1,2,10,14.9101,1
20,"2020-01-01","Metamorph","Incubator",0.91005,1,1,1,1,1,6,NA,1,NA,2.33,6,2,1,39.77,17.18414,1,1,1,2,2.62015,0.28005,1,2,10,15,1
21,"2020-01-02","Metamorph","Incubator",1,1,1,1,1,1,6,NA,1,NA,2.33,5.78025,2,1,39.83,17,1,1,1,2,2,0.56015,1,2,10,18,1
22,"2020-01-03","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,5,8,2,1,48.86,17,1,1,1,2,2,0.6,1,2,10,19,1
23,"2020-01-04","Metamorph","Incubator",1,1,1,1,1,1,8,NA,1,NA,14.76,8,2,1,49.91,16.2903,1,1,1,2,2,0.63,1,2,12,19,1
24,"2020-01-05","Metamorph","Incubator",0.83,1,1,1,1,1,7,NA,1,NA,19.58,7,2,1,50,15,1,1,1,2,2,0.78505,1,2,10.42525,17.67545,1
25,"2020-01-06","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,9.86,8,2,1,50,15,1,1,1,2,2,1,1,2,11,20,1
26,"2020-01-07","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,8.26,5.86,2,1,50,14,1,1,1,2,2.79,0.46,1,2,13,23,1
27,"2020-01-08","Metamorph","Incubator",1,1,1,1,1,1,8,NA,1,NA,10.495,6,2,1,50,14,1,1,1,2,3,1,1,2,14,20,1
28,"2020-01-09","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,552.45,7,2,1,50,13.4802,1,1,1,2,2,1,1,2.00005,13,19,1
29,"2020-01-10","Metamorph","Incubator",1,1,1,1,1.2703,1,7,NA,1,NA,557.45,7.83005,2,1,45,13,1,1,1,2,2,1,1,2,13,18,1
30,"2020-01-11","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,557.45,8.0801,2,1,40,12,1,1,1,2,2,0.55,1,2,12.45005,17,1
31,"2020-01-12","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,80,8,2,1,35.85,12,1,1,1,2,2,0.98,1,3,13,18,1
32,"2020-01-13","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,0,8,2,1,49.48,11,1,1,1,2,2,1,1,2.9801,13,17.9102,1
33,"2020-01-14","Metamorph","Incubator",1,1,1,1,1,1,6.00035,NA,1,NA,0,10,2,1,50,12,1,1,1,2,2.13005,1,1,3,13,18.1,1
34,"2020-01-15","Metamorph","Incubator",1,1,1,1,1,1,6.85076,NA,1,NA,3,10,2,1,49.97,12,1,1,1,2,2,1,1,2,14,17,1
35,"2020-01-16","Metamorph","Incubator",1,1,1,1,1,1,7.8702,NA,1,NA,3,10,2,1,49.86,12,1,1,1,2,2,1,1,2.87131,17.54576,17.69515,1
36,"2020-01-17","Metamorph","Incubator",1,1,1,1,1,1,8,NA,1,NA,5.94,10,2,1,48.26,13,1,1,1,2,3,1,1,3,15,18,1
37,"2020-01-18","Metamorph","Incubator",1,1,1,1,1,1,8,NA,1,NA,29.2,9.7201,2,1,50.08,12,1,1,1,2,3,0.8901,1,3,14,17.9601,1
38,"2020-01-19","Metamorph","Incubator",1,1,1,1,1,1,7,NA,1,NA,42.96,10,2,1,52.77,12.5601,1,1,1,2,3,0.89,1,2,15,18,1
39,"2020-01-20","Metamorph","Incubator",1,1,1,1,1,1,8,NA,1,NA,46.34,10.22081,2,1,49.95923,13,1,1,1,2,3,1,1,2,14.44076,19,1.691
40,"2020-01-21","Metamorph","Incubator",1,1,1,1,2,1,8,NA,1,NA,30.52,10,2,1,48.59,12.5602,1,1,1,2,3,1,1,2,14.38505,18,2
41,"2020-01-22","Metamorph","Incubator",1,1,1,1,2,1,9,NA,1,NA,27.8,10,2,1,48.99,12,1,1,1,1.2701,3,1,1,2,16,18,2
42,"2020-01-23","Metamorph","Incubator",1,1,1,1,2,1,10,NA,1,NA,23.43,11,2,1,48.74,12,1,1,1,2,3,1,1,2,15,18,2
43,"2020-01-24","Metamorph","Incubator",1,1,1,1,2,1,10,NA,1,NA,21.97,12,2,1,46.84,12,1,1,1,2,3,1,1,2,13,18,2
44,"2020-01-25","Metamorph","Incubator",1,1,1,1,1.46535,1,9,NA,1,NA,41.61,10,2,1,51.73,12.44,1,1,1,2,2.9802,1,1,2,13,15,2
45,"2020-01-26","Metamorph","Incubator",1,1,1,1,1.28,1,10,NA,1,NA,37.91,11.65505,2,1,43.94,13,1,1,1,2,2.82545,1,1,3,14,15,2
46,"2020-01-27","Metamorph","Incubator",1,1,1,1,1.3,1,10,NA,1,NA,40.02,11,1,1,34.56,13,1,1,1,2,2.31,0.8601,1,3,14,15,1.49
47,"2020-01-28","Metamorph","Incubator",1,1,1,1,1,1,11,NA,1,NA,38.45,11.03061,1.3001,1,11.15,14.7904,1,1,1,2,3,1,1,3,14,15,1.49
48,"2020-01-29","Metamorph","Incubator",1,1,1,1,1,1,11,NA,1,NA,36.91,12,1,1,11.04,15,1,1,1,2.0203,2,1,1,2.93,15,18,1.39
49,"2020-01-30","Metamorph","Incubator",1,1,1,1,1.4301,1,11,NA,1,NA,34.7,10.98515,1.90586,1,11.14,18,1,1,1,2,3,1.10606,1,2,16.0101,17,1
50,"2020-01-31","Metamorph","Incubator",1,1,1,1,1,1,11.78025,NA,1,NA,38.58,12.13439,1.38121,1,30,20,1,1,1,3,3,1,1,2,15,17.8302,1
51,"2020-02-01","Metamorph","Incubator",1,1,1,1,2,1,12,NA,1,NA,39.45,13,1,1,36.95,18.80202,1,1,1,2,4,1,1,2,15,18,1
52,"2020-02-02","Metamorph","Incubator",1,1,1,1,1.9801,1,12,NA,1,NA,39.45,14.03091,1,1,37.18,17.33035,1,1,1,2,3,1,1,2,15,18,1
53,"2020-02-03","Metamorph","Incubator",1,1,1,1,1.82505,1,12,NA,1,NA,46.76563,13,1,1,41.12,17.10061,1,1,1.59505,2,3,1,1,2,16.4102,18,1
54,"2020-02-04","Metamorph","Incubator",1,1,1,1,1.49005,1,13,NA,1,NA,61.41,14,1.2202,1,44.12167,19,1,1,2,3,2.8504,0.51,1,3,15,19,1
55,"2020-02-05","Metamorph","Incubator",1,1,1,1,2,1,12.9802,NA,1,NA,82.98,13,2,1,50,18,1,1,1,3,3,1,1,2,13.99505,18,1
56,"2020-02-06","Metamorph","Incubator",1,1,1,1,2,1,12,NA,1,NA,81.49,14.88,1.01515,1,50.22,18,1,1,1,3,2,1,1,3,12,19,1
57,"2020-02-07","Metamorph","Incubator",1,1,1,1,2,1,12,NA,1,NA,82.55,12,1.88515,1,51.53,18,1,1,1,3,2.37545,1,1,2,12,18,1
58,"2020-02-08","Metamorph","Incubator",1,1,1,1,2,1,12.35616,NA,1,NA,76.16,13,1.24535,1,60.72,19,1,1,1,2,3,1,1,2,13,17.92,1
59,"2020-02-09","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,89.16,12,1.01505,1,59.82,18,1,1,1,2,3,1,1,2.75051,13,17,1
60,"2020-02-10","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,124.42,13,1,1,61.99538,18,1,1,1,2,3,1,1,2,13,17,1
61,"2020-02-11","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,124.42,13,2,1,64.3,20,1,1,1,3,3,1,1,3,13,17,1
62,"2020-02-12","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,119.08,15,2,1,77.89,19,1,1,1,2.8101,3,1,1,3,14.69,16,1
63,"2020-02-13","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,92.95,14,1,1,67,20,1,1,1,3,3,1,1,2.70005,14.42066,16,1
64,"2020-02-14","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,96.20611,14,1.26535,1,74.62,19.8101,1,1,1,3,3,1,1,2,13,16,1.31
65,"2020-02-15","Metamorph","Incubator",1,1,1.15,1,2,1,13,NA,1,NA,132.47,15,2,1,80.51,20,1,1,1,3,3,1,1,2,14.69157,16,1
66,"2020-02-16","Metamorph","Incubator",1,1,1,1,1.13045,1,13.93035,NA,1,NA,124.84,13,2,1,74.22,20,1,1,1,3,3,1,1,2,17,16,1
67,"2020-02-17","Metamorph","Incubator",1,1,1,1,1,1,14,NA,1,NA,113.91,12.5404,2,1,70,18,1,1,1,2,3,1,1,2,15,16,1
68,"2020-02-18","Metamorph","Incubator",1,1,1,1,1,1,14,NA,1,NA,106.47,13,2,1,69.64,19,1,1,1,2,3,1,1,2,15,16,1
69,"2020-02-19","Metamorph","Incubator",1,1,1,1.53,3.3801,1,14,NA,1,NA,117.19,13,1.93,1,70.2,18,1,1,1,2,3,1,1,2.42056,15,16,1
70,"2020-02-20","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,103.98,13,2,1,68.88,19,1,1,1,2,3,0.84505,1,3,19.72172,16,1
71,"2020-02-21","Metamorph","Incubator",1,1,1,1,2,1,13,NA,1,NA,103.98,13,2,1,68.88,20,1,1,1,2,3,1,1,3,18,16,1
72,"2020-02-22","Metamorph","Incubator",1,1,1,1,2,1,14,NA,1,NA,64.49,14,2,1,68.44,19,1,1,1,2,3,0.91,1,2,19,16,1
73,"2020-02-23","Metamorph","Incubator",1,1,1,1,2.07,1,13,NA,1,NA,63.43,13,2.56,1,60,19,1,1,1,2,3,1,1,2.4604,19,16,1
74,"2020-02-24","Metamorph","Incubator",1,1,1,1,2,1,12,NA,1,NA,75.31,14,2,1,62.57,18.45025,1,1,1,2,3,0.83015,1,2.99,17.5803,16,1
75,"2020-02-25","Metamorph","Incubator",1,1,1,1,2.06,1,12,NA,1,NA,75.96,13,2,1,63.08296,19,1,1,1,2,2.7301,0.21515,1,3,17,16,1
76,"2020-02-26","Metamorph","Incubator",1.0901,1,1,1,2,1,11,NA,1,NA,77.99,12,2,1,62.38667,19,1,1,1,1.06,2,1,1,2.5001,17,16,1
77,"2020-02-27","Metamorph","Incubator",1,1,1,1,2,1,11,NA,1,NA,88.5,11,2,2.38232,61.34,19,1,1,1.03535,2,2.28,1,1,2.84,17,16,1
78,"2020-02-28","Metamorph","Incubator",1,1,1,1,1,1,11,NA,1,NA,88.04,11,2,1,60,19,1,1,1,2,3,1,1,2.97015,16.74,16,1
79,"2020-02-29","Metamorph","Incubator",1,1,1,1,1,1,10,NA,1,NA,89.46,11,2,1,60,19,1,1,1,2,3,1,1,2,15,15,3
80,"2020-03-01","Metamorph","Incubator",1,1,1,1,1.00015,1,12,NA,1,NA,89.46,11,2,1,59.94,19,1,1,1,2,3,1,1,2,16,15,3
81,"2020-03-02","Metamorph","Incubator",1,1,1,1,2,1,11,NA,1,NA,88,10.76,2,1,60.5,19,1,1,1,2,3,1,1,2,17,15,3
82,"2020-03-03","Metamorph","Incubator",1,1,1,1,2,1,11,NA,1,NA,88,11,2,1,60.15,19,1,1,1,2,3,0.97,1,2,17,15,3
83,"2020-03-04","Metamorph","Incubator",1,1,1,1,2,1,11,NA,1,NA,79.67714,11,2,1,60.26,18.99,0.96,1,1,1.91045,2.93,0.6601,1,2,17,15,3
84,"2020-03-05","Metamorph","Incubator",1,1,1,1,2,1,11,NA,1,NA,82.84,10.67,2,1,58.98,18,1,1,1,1.25,2.11111,0.51,1,2,16,16,3
85,"2020-03-06","Metamorph","Incubator",1,1,1,1,2,1,11,NA,1,NA,83.3,11,2,1,59,18,1,1,1,1.93,1.96005,0.52,1,2,17,15,3
86,"2020-03-07","Metamorph","Incubator",1,1,1,1,2,1,11,NA,1,NA,83.3,13.27,2,1,59.18,18,1,1,1,2,2,0.8501,1,2,17,16,3
87,"2020-03-08","Metamorph","Incubator",1,1,1,1,1.63035,1,11.05,NA,1,NA,82.73,13,2,1,58.97,18,1,1,1,2,2,1,1,2,17.02,16,3
88,"2020-03-09","Metamorph","Incubator",1,1,5.7,12.51,1.88,1,11,NA,1,NA,82.92,13,2.7,1,63.3,18.68,1,1,1,13.38,2,1,1,2,17,16,3
